diseaseID,GeneID,score
C0002395,3127,1.7935089
C0002395,7018,1.8593209
C0002395,7167,1.7967602
C0002395,267,1.7393197
C0002395,6517,0.8694016
C0002395,7019,0.889094
C0002395,8633,0.920323
C0002395,1141,2.2939925
C0002395,1,0.8357192
C0002395,9,0.8236077
C0002395,10,0.058381025
C0002395,12,-0.022597939
C0002395,15,1.3777735
C0002395,18,0.9859237
C0002395,19,-0.32412556
C0002395,20,-0.9207724
C0002395,22,0.34875798
C0002395,23,-0.08319228
C0002395,24,-0.92697513
C0002395,25,-0.12630007
C0002395,27,-0.8055221
C0002395,29,-0.2182424
C0002395,31,-0.7952535
C0002395,32,0.6307011
C0002395,34,0.8307041
C0002395,39,0.19027981
C0002395,163882,-0.66833735
C0002395,43,-0.088517666
C0002395,47,1.1541792
C0002395,49,-1.0140432
C0002395,50,0.73479676
C0002395,51,0.78695315
C0002395,52,1.0239574
C0002395,54,0.62567437
C0002395,58,1.3099204
C0002395,59,0.9836253
C0002395,60,-0.25441048
C0002395,70,0.93601894
C0002395,71,-0.23114994
C0002395,72,0.305497
C0002395,81,0.67732376
C0002395,86,0.5869727
C0002395,87,0.74695724
C0002395,88,-0.01860556
C0002395,89,-0.2559908
C0002395,90,0.87046605
C0002395,91,-0.06438795
C0002395,92,0.11305634
C0002395,93,-0.039428357
C0002395,94,-0.25856343
C0002395,95,0.8990953
C0002395,100,-1.1373473
C0002395,102,-0.20543675
C0002395,103,0.7639698
C0002395,107,0.48675162
C0002395,108,0.86071324
C0002395,109,0.88599515
C0002395,111,1.1752862
C0002395,112,-0.14951967
C0002395,113,1.2920556
C0002395,114,0.8544586
C0002395,116,1.356005
C0002395,117,1.0182805
C0002395,118,0.57710826
C0002395,119,-1.1641905
C0002395,120,0.62321174
C0002395,123,0.7010802
C0002395,128,-0.16804522
C0002395,133,-0.15315452
C0002395,134,1.1896657
C0002395,135,1.7418177
C0002395,136,1.02867
C0002395,142,-1.3426074
C0002395,143,0.6135155
C0002395,146,-0.19803065
C0002395,147,0.21042481
C0002395,148,-0.14778306
C0002395,150,1.2837877
