geneID,Gene_name,gid
9604,RNF14,1
2908,NR3C1,2
8031,NCOA4,3
2099,ESR1,4
7324,UBE2E1,5
367,AR,6
55585,UBE2Q1,7
10273,STUB1,8
9921,RNF10,9
1915,EEF1A1,10
7088,TLE1,11
10813,UTP14A,12
1287,COL4A5,13
60492,CCDC90B,14
9869,SETDB1,15
26994,RNF11,16
11060,WWP2,17
83737,ITCH,18
11059,WWP1,19
4734,NEDD4,20
51619,UBE2D4,21
10617,STAMBP,22
7322,UBE2D2,23
8078,USP5,24
2074,ERCC6,25
7321,UBE2D1,26
8737,RIPK1,27
9372,ZFYVE9,28
8517,IKBKG,29
10422,UBAC1,30
4646,MYO6,31
11201,POLI,32
133957,CCDC127,33
2060,EPS15,34
64750,SMURF2,35
10075,HUWE1,36
29978,UBQLN2,37
10241,CALCOCO2,38
9765,ZFYVE16,39
56893,UBQLN4,40
5788,PTPRC,41
6625,SNRNP70,42
868,CBLB,43
6233,RPS27A,44
10133,OPTN,45
27342,RABGEF1,46
29924,EPN1,47
55040,EPN3,48
22905,EPN2,49
26088,GGA1,50
54165,DCUN1D1,51
23163,GGA3,52
10318,TNIP1,53
6386,SDCBP,54
8887,TAX1BP1,55
8925,HERC1,56
7334,UBE2N,57
165918,RNF168,58
10015,PDCD6IP,59
7128,TNFAIP3,60
23327,NEDD4L,61
7311,UBA52,62
8924,HERC2,63
59348,ZNF350,64
146691,TOM1L2,65
7314,UBB,66
7316,UBC,67
84164,ASCC2,68
10254,STAM2,69
28954,REM1,70
7534,YWHAZ,71
783,CACNB2,72
782,CACNB1,73
10971,YWHAQ,74
785,CACNB4,75
7533,YWHAH,76
7531,YWHAE,77
57132,CHMP1B,78
23020,SNRNP200,79
25904,CNOT10,80
6749,SSRP1,81
128866,CHMP4B,82
8045,RASSF7,83
8766,RAB11A,84
8802,SUCLG1,85
27183,VPS4A,86
9525,VPS4B,87
5119,CHMP1A,88
51510,CHMP5,89
5372,PMM1,90
5870,RAB6A,91
445,ASS1,92
2006,ELN,93
64400,AKTIP,94
369,ARAF,95
2272,FHIT,96
7329,UBE2I,97
6714,SRC,98
3329,HSPD1,99
2232,FDXR,100
2934,GSN,101
163051,ZNF709,102
382,ARF6,103
22795,NID2,104
3915,LAMC1,105
1305,COL13A1,106
6498,SKIL,107
3339,HSPG2,108
8536,CAMK1,109
4842,NOS1,110
10014,HDAC5,111
801,CALM1,112
