diseaseId,DOID
C0018923,0001816
C0033999,0002116
C0024291,0050120
C1800706,0050156
C0022972,0050214
C0010308,0050328
C0342200,0050328
C0032580,0050424
C0035258,0050425
C0038325,0050426
C0043346,0050427
C0022584,0050428
C0085106,0050429
C0349788,0050431
C0236792,0050432
C1563715,0050434
C0524582,0050436
C0878677,0050437
C0271097,0050439
C0271694,0050440
C1720859,0050440
C1720860,0050440
C1720861,0050440
C0268263,0050441
C1720864,0050441
C0282527,0050444
C0733682,0050445
C1845168,0050445
C3540852,0050445
C1721005,0050448
C0265334,0050449
C1706595,0050449
C1721007,0050449
C0268450,0050450
C1142166,0050451
C0342731,0050452
C0398691,0050452
C1959626,0050452
C0266463,0050453
C0266483,0050453
C1848213,0050454
C1868720,0050454
C0085568,0050456
C0349639,0050458
C0085681,0050459
C0796117,0050460
C1956097,0050460
C0268255,0050464
C0265961,0050467
C1851480,0050467
C0587248,0050469
C0546966,0050472
C0268425,0050473
C0265962,0050474
C0265313,0050475
C1869114,0050475
C1869115,0050475
C0221043,0050477
C0023493,0050523
C0393538,0050530
C1306122,0050534
C0399352,0050591
C0796028,0050647
C0266006,0050677
C0265339,0050681
C1859405,0050684
C1857941,0050693
C0878681,0050699
C1845167,0050699
C1848336,0050699
C0028043,0050742
C0393576,0050766
C0030421,0050773
C1849930,0050791
C1849678,0050797
C1869122,0050802
C1854466,0050814
C0004245,0050820
C0265354,0050834
C2936502,0050834
C0013423,0050835
C0393598,0050835
C0752207,0050835
C0037315,0050847
C0268390,0050854
C1319315,0050861
C0162510,0050876
C0025149,0050902
C0206663,0050902
C0752122,0050957
C0272167,0060020
C0162538,0060025
C0024305,0060060
C0700595,0060160
C0751781,0060162
C0009319,0060180
C0156147,0060192
C0206138,0060218
C0004238,0060224
C0265268,0060227
C0393590,0060230
C1275078,0060234
C0342790,0060235
C0268118,0060236
C1863688,0060236
C1838625,0060237
C1832390,0060238
C0175697,0060239
C1834339,0060239
C1848862,0060241
C3280146,0060241
C0038131,0060243
C3489627,0060243
C1846431,0060247
C0796154,0060248
C0036439,0060249
C0265301,0060251
C0265205,0060254
C1853698,0060255
C0406811,0060256
C3714534,0060256
C0406775,0060257
C0406811,0060258
C0005745,0060260
C0266573,0060261
C0302892,0060263
C1867983,0060263
C0266468,0060264
C1848526,0060267
C2676466,0060268
C2676465,0060269
C1842687,0060272
C1856974,0060273
C1857762,0060274
C1969084,0060275
C1864851,0060280
C0266568,0060282
C0019050,0060284
C0024790,0060284
C0086774,0060284
C1868598,0060285
C1863557,0060290
C0812437,0060291
C1832409,0060294
C0267662,0060296
C0344530,0060305
C1868684,0060306
C0026363,0060316
C0029294,0060316
C1510460,0060316
C0023487,0060318
C0018790,0060319
C0795690,0060321
C1306503,0060321
C0025312,0060326
C0086664,0060326
C0795690,0060327
C1306503,0060327
C1836033,0060337
C1850625,0060346
C1855840,0060348
C1835265,0060349
C1861451,0060354
C1855772,0060356
C0795956,0060357
C0268596,0060358
C1856401,0060358
C1856403,0060358
C1856405,0060358
C0340834,0060366
C0406726,0060373
C0406727,0060374
C1868118,0060375
C2745997,0060376
C0796102,0060382
C1860119,0060383
C0024145,0060386
C1859148,0060387
C1842870,0060410
C0268647,0060439
C1275685,0060444
C1562113,0060448
C0339273,0060449
C0339277,0060451
C0271287,0060456
C0432242,0060462
C1707291,0060463
C0399440,0060466
C0265264,0060468
C0265219,0060469
C0796004,0060473
C1836123,0060481
C2748572,0060484
C1970431,0060488
C0877024,0060490
C1838979,0060536
C1319466,0060549
C1860224,0060550
C1847640,0060556
C1854664,0060559
C0796137,0060565
C1857663,0060589
C1292772,0060597
C1608393,0060610
C1866994,0060614
C1865349,0060640
C0566602,0060643
C1838654,0060644
C1857253,0060650
C0079154,0060655
C0271829,0060744
C0406585,0060762
C3164344,0060785
C1846058,0060799
C0796254,0060800
C1846278,0060801
C1846055,0060812
C1839735,0060815
C0796022,0060821
C1846130,0060825
C1859194,0060832
C1868679,0060833
C1836573,0060834
C0266526,0060844
C0265309,0060847
C0030809,0060851
C1836876,0060852
C2931246,0060853
C0268436,0060854
C1449843,0060855
C0338503,0060857
C0013338,0060870
C0432306,0060877
C2931121,0060881
C0432268,0060886
C0796089,0060902
C3280283,0070039
C2673885,0070121
C2750804,0070139
C0268354,0070143
C0268351,0070144
C0432336,0070144
C0002768,0070145
C0020075,0070145
C0020074,0070146
C0020072,0070161
C0270914,0070161
C0020071,0070162
C1720860,0070202
C1720861,0070204
C1720859,0070207
C1704423,0070212
C0268312,0070221
C3489789,0070222
C1865643,0070223
C2931008,0070253
C1853736,0070254
C0398739,0070255
C2931009,0070256
C2931010,0070257
C1970344,0070258
C2931011,0070259
C1970021,0070260
C1846843,0070299
C1847593,0070300
C1838280,0070303
C1843042,0070307
C0279607,0070328
C0878773,0070355
C0080178,0080016
C0021847,0080072
C0205710,0080122
C0009402,0080199
C1865869,0080314
C1858854,0080315
C1858854,0080316
C0949658,0080326
C0403399,0080390
