GeneID,diseaseID,postive_negative,train_test
29979,C1864148,0,train
29979,C0026985,0,train
29979,C1862839,0,train
29979,C1832708,0,train
55593,C1832708,0,train
29979,C0205824,0,train
29979,C0002768,0,train
1071,C0002768,0,train
29979,C4727877,0,train
4125,C2752147,0,train
29979,C3554606,0,train
29979,C4748869,0,train
29979,C2678055,0,train
4125,C2676231,0,train
29979,C1836573,0,train
55593,C1836573,0,train
55577,C3496069,0,train
54550,C3496069,0,train
2078,C3496069,0,train
29979,C4310751,0,train
1663,C1567741,0,train
933,C1567741,0,train
3174,C1567741,0,train
168544,C1567741,0,train
29979,C4015141,0,train
29979,C0013903,0,train
55593,C0013903,0,train
29979,C4551559,0,train
29979,C0030809,0,train
29979,C1968602,0,train
29979,C3661525,0,train
4125,C0432090,0,train
1071,C0432090,0,train
29979,C3553960,0,train
8499,C3805278,0,train
57787,C3805278,0,train
5504,C3805278,0,train
53340,C3805278,0,train
23186,C3805278,0,train
10507,C3805278,0,train
29979,C1857041,0,train
4125,C0302892,0,train
29979,C1851316,0,train
29979,C3279662,0,train
8499,C0019025,0,train
57787,C0019025,0,train
9324,C0019025,0,train
53340,C0019025,0,train
23186,C0019025,0,train
5708,C0019025,0,train
8867,C0027819,0,train
9221,C0027819,0,train
11011,C0027819,0,train
5802,C0027819,0,train
10787,C0027819,0,train
80329,C0027819,0,train
408,C0027819,0,train
55750,C0027819,0,train
10741,C0027819,0,train
319,C0027819,0,train
91624,C0027819,0,train
26502,C0027819,0,train
384,C0027819,0,train
2065,C0242383,0,train
9794,C0242383,0,train
81609,C0242383,0,train
4781,C0242383,0,train
149483,C0242383,0,train
752,C0242383,0,train
10260,C0242383,0,train
378884,C0242383,0,train
11332,C0242383,0,train
1908,C0242383,0,train
1146,C0242383,0,train
9744,C0242383,0,train
2562,C0242383,0,train
1948,C0242383,0,train
160140,C0242383,0,train
55165,C0242383,0,train
650,C0242383,0,train
29979,C3553951,0,train
1442,C3853779,0,train
2672,C3853779,0,train
2078,C3853779,0,train
29979,C2749982,0,train
4125,C0751038,0,train
55593,C0751038,0,train
92421,C0496905,0,train
10426,C0496905,0,train
3660,C0496905,0,train
5519,C0496905,0,train
2207,C0496905,0,train
5800,C0496905,0,train
29979,C1847827,0,train
29979,C0040479,0,train
55593,C0040479,0,train
29979,C0022283,0,train
55593,C0022283,0,train
4125,C4540484,0,train
8497,C1449842,0,train
10376,C1449842,0,train
5504,C1449842,0,train
83853,C1449842,0,train
23186,C1449842,0,train
10507,C1449842,0,train
29979,C1832525,0,train
8541,C0524702,0,train
55835,C0524702,0,train
5504,C0524702,0,train
894,C0524702,0,train
134266,C0524702,0,train
10507,C0524702,0,train
29979,C1846278,0,train
4125,C0017332,0,train
55593,C0017332,0,train
133396,C0008312,0,train
1024,C0008312,0,train
3568,C0008312,0,train
9369,C0008312,0,train
181,C0008312,0,train
1123,C0008312,0,train
408,C0008312,0,train
78990,C0008312,0,train
56034,C0008312,0,train
4750,C0008312,0,train
93487,C0008312,0,train
1004,C0008312,0,train
3759,C0008312,0,train
9051,C0008312,0,train
29085,C0008312,0,train
4125,C3501912,0,train
5991,C4551993,0,train
54935,C4551993,0,train
954,C4551993,0,train
9255,C4551993,0,train
5867,C4551993,0,train
5530,C4551993,0,train
222389,C4551993,0,train
55840,C4551993,0,train
23524,C4551993,0,train
56667,C4551993,0,train
26269,C4551993,0,train
5609,C4551993,0,train
5967,C4551993,0,train
865,C4551993,0,train
1173,C4551993,0,train
5245,C4551993,0,train
10850,C4551993,0,train
9618,C4551993,0,train
3691,C4551993,0,train
90427,C4551993,0,train
23534,C4551993,0,train
7165,C4551993,0,train
84067,C4551993,0,train
105375355,C4551993,0,train
29979,C1855465,0,train
29979,C1859538,0,train
29979,C0040100,0,train
29979,C0034960,0,train
55593,C0034960,0,train
29979,C3276096,0,train
29979,C1563715,0,train
55593,C1563715,0,train
29979,C1842382,0,train
