diseaseID,id
C3669121,0
C4755260,1
C4749855,2
C4305240,3
C3697269,4
C4304594,5
C0268296,6
C4707828,7
C4304540,8
C1857252,9
C1859817,10
C1864912,11
C2936346,12
C3266101,13
C1853490,14
C4304537,15
C4749458,16
C4304532,17
C4706258,18
C0342471,19
C0342727,20
C1857776,21
C2751532,22
C1291230,23
C0268600,24
C1859499,25
C0342728,26
C0574084,27
C4039473,28
C4225393,29
C4040739,30
C3553597,31
C4540171,32
C4310650,33
C0796137,34
C2936419,35
C2751317,36
C3151782,37
C3714042,38
C1856273,39
C2751325,40
C4510744,41
C3489793,42
C3151064,43
C4015129,44
C3669122,45
C0268525,46
C0740302,47
C4304529,48
C4304526,49
C2931223,50
C0878676,51
C4304514,52
C2713347,53
C4750783,54
C4304505,55
C0175701,56
C2931850,57
C0265265,58
C1563730,59
C0270858,60
C4552048,61
C4014361,62
C0000744,63
C1860224,64
C4025845,65
C4020869,66
C4049796,67
C4022810,68
C4021664,69
C4021762,70
C4021812,71
C4018871,72
C4021790,73
C4021821,74
C4025846,75
C0000809,76
C1844862,77
C0014553,78
C1861099,79
C4553705,80
C1855772,81
C0473575,82
C0265559,83
C0265273,84
C0265274,85
C0152200,86
C1857618,87
C1849792,88
C1841721,89
C4225297,90
C2931753,91
C2936797,92
C0268410,93
C3900122,94
C0702166,95
C4551962,96
C3151037,97
C0001144,98
C2931758,99
C0158489,100
C2936664,101
C0268443,102
C0751919,103
C0220989,104
C0751449,105
C4518087,106
C4305324,107
C0702169,108
C0917990,109
C0796147,110
C2931760,111
C1843096,112
C3495588,113
C1275078,114
C0030044,115
C0001197,116
C0392439,117
C0221036,118
C0220659,119
C3276228,120
C3553250,121
C1332140,122
C1860119,123
C4225317,124
C0265971,125
C0796280,126
C0001206,127
C1863616,128
C0796182,129
C2930970,130
C4225404,131
C1864356,132
C0265287,133
C1863307,134
C0271583,135
C1857451,136
C4014803,137
C1306214,138
C3711389,139
C1442958,140
C0751779,141
C0149821,142
C0394996,143
C0751956,144
C0521664,145
C0546126,146
C0948089,147
C4707658,148
C0023440,149
C2930974,150
C2930975,151
C2930977,152
C1455728,153
C0162565,154
C2609414,155
C1565662,156
C0022672,157
C0242488,158
C0023449,159
C0023462,160
C0023465,161
C1879321,162
C2930976,163
C4511003,164
C0026998,165
C0023479,166
C4706387,167
C0023487,168
C0519066,169
C0267937,170
C0857501,171
C1970173,172
C0265268,173
C4551482,174
C3280182,175
C3553748,176
C3809092,177
C0001403,178
C0338106,179
C0279628,180
C1319315,181
