diseaseId,HPOID
C2748544,0000303
C2748544,0001609
C3711387,0000076
C3711387,0010864
C0036202,0000083
C0036202,0000873
C0036202,0000433
C0036202,0012735
C0036202,0002045
C0036202,0000953
C0036202,0012219
C0036202,0000501
C1836330,0001249
C0039685,0000520
C0039263,0000975
C0039263,0002076
C0039263,0002105
C2748572,0012103
C2748572,0000091
C2748572,0002342
C2748572,0000407
C0043207,0001260
C0043207,0002360
C0043207,0100016
C0043207,0003198
C0043207,0000407
C0398650,0000967
C2677613,0000252
C0521802,0001903
C0521802,0002719
C0521802,0001626
C0878676,0002067
C0878676,0002063
C0878676,0002527
C0566602,0012115
C0566602,0010638
C0566602,0100869
C1849508,0001252
C1291560,0100022
C0238111,0000752
C0393702,0010849
C0393702,0000718
C0008312,0011971
C0008312,0002908
C0008312,0001262
C0027708,0000822
C0027708,0002027
C0032027,0200034
C0032027,0000989
C1842398,0001974
C1842398,0001058
C2936739,0012735
C2936739,0011220
C2936739,0005692
C3887645,0001595
C3887645,0002757
C3887645,0000938
C3887645,0100750
C3887645,0001880
C3887645,0001363
C3266898,0001103
C3266898,0002027
C0265202,0000682
C0265202,0100543
C0300948,0005640
C0300948,0000076
C0300948,0100710
C0300948,0008479
C0300948,0002607
C0300948,0030680
C0300948,0000202
C0344490,0005640
C0344490,0002023
C0344490,0001762
C0344490,0000062
C2609260,0000086
C2609260,0002308
C2609260,0002089
C2609260,0000921
C2609260,0000202
C0238339,0100027
C0238339,0000819
C0265962,0003355
C2931482,0003010
C0553586,0011039
C0553586,0007565
C0221043,0002637
C0339535,0007663
C0008525,0000662
C0008525,0000545
C0008525,0000529
C0796154,0000280
C0796154,0000154
C0796154,0000465
C0796154,0000431
C0796154,0003196
C0796154,0006101
C0796154,0001539
C0796154,0001252
C0796154,0000776
C1260386,0000822
C1260386,0002170
C0265264,0000772
C0265264,0009829
C0949595,0000252
C0751587,0006532
C0751587,0001136
C0751587,0002353
C0403814,0003251
C0011859,0002230
C0011859,0002155
C0011859,0000845
C0221032,0000336
C0221032,0000819
C0221032,0002230
C0221032,0002155
C0221032,0001394
C0221032,0000845
C0008029,0000648
C0795956,0000505
C0162361,0100543
C0162361,0000535
C0162361,0000982
C0392475,0001263
C0392475,0006487
C0392475,0004209
C0392475,0000272
C0392475,0000568
C0392475,0007452
C0796012,0001249
C0796012,0000175
C0796012,0001537
C0796012,0007833
C0796012,0000582
C0796012,0000343
C0796012,0006610
C0796012,0000013
C0796012,0002120
C0796012,0012745
C0796012,0002263
C0796022,0000347
C0796022,0005692
C0796022,0007018
C0796022,0000275
C0796022,0001166
C0796022,0000738
C0043119,0100585
C0043119,0000934
C0043119,0002216
C0043119,0100578
C0043119,0002209
C0043119,0009726
C0175697,0000196
C0175704,0000316
C0175704,0004322
C0175704,0002650
C0175704,0003006
C0175704,0000465
C0175704,0001480
C0175704,0004414
C0175704,0001003
C0175704,0004306
C0013261,0012732
C0013261,0000486
C0013261,0009601
C0265309,0006459
C0265309,0002857
C0265309,0001156
C0265309,0005736
C0265343,0001511
C0265343,0000047
C0265343,0100589
C0265343,0000269
C0265343,0000023
C0018054,0000044
C0265233,0004397
C0265233,0000689
C0265233,0000368
C0265233,0008572
C0265233,0005280
C0265233,0008736
C0265233,0000046
C0265233,0001537
C0265233,0000218
C0265233,0000003
C0796095,0001376
C0796095,0000343
C0796095,0000486
C0796095,0001582
C1531773,0000037
C1531773,0100026
C0235752,0002817
C0235752,0000969
C0235752,0001269
C0235752,0001052
C0235752,0005293
C0235752,0002650
C2931029,0002650
C2931029,0001249
C0342549,0000798
C1504412,0003251
C1860224,0007392
C1860224,0001539
C1860224,0010720
C0796137,0006695
C0796137,0003196
C0796137,0001161
C0796137,0000921
C0796137,0002205
C0796137,0000175
C0796137,0002269
C0796137,0003272
C0796137,0000835
C0265559,0003974
C0271742,0000846
C1844862,0001631
C2752074,0001263
C1846722,0001274
C1846722,0000767
C2931840,0002360
C2931840,0000431
C2931840,0000389
C0268263,0000463
C0268263,0000505
C0268263,0007703
C1720864,0000252
C1720864,0000256
C1720864,0008155
C1720864,0001250
C1720864,0004322
C2931893,0001999
C0268255,0002205
C0268255,0000504
C0268255,0001387
C0268255,0002829
C0016788,0000280
C0016788,0005264
C0016788,0001640
C0016788,0000943
C0016788,0011220
C0024790,0005528
C0024790,0002015
C0029455,0005789
C0029455,0000252
C0020725,0001048
C0020725,0005280
C0020725,0002808
C0020725,0001824
C0020725,0200020
C2931894,0001498
C2931894,0002240
C2931894,0009092
C2931894,0007759
C2931894,0100679
C0023806,0000505
C0023806,0001350
C0023806,0000768
C0023806,0001251
C0023806,0010729
C0268226,0002750
C0268226,0001337
C0268226,0002353
C0268226,0001350
C0268226,0002652
C0268226,0001252
C0268226,0003355
C0268226,0001744
C0268226,0007957
C0238286,0004345
C0238286,0000512
C0238286,0000232
C0085132,0001252
C0085132,0001840
C0016719,0030183
C0016719,0010873
C0016719,0001324
C0010674,0002613
C0162671,0003401
C0162671,0000739
C0162671,0000508
C0162671,0000083
C0162671,0002269
C0162671,0000252
C0162671,0007018
C0162671,0000738
C0162671,0000093
C0162671,0001012
C0162671,0002076
C0162671,0003457
C0162671,0001733
C0238288,0003457
C0238288,0000407
C0022541,0007703
C0162672,0003200
C2677903,0000316
C2677903,0001508
C2677903,0000337
C2677903,0000431
C2677903,0002342
C2677903,0000609
C2677903,0000407
C2936781,0002486
C0002986,0001945
C0002986,0001369
C0035372,0002353
C0035372,0011675
C0085548,0001080
C0085548,0001407
C0085548,0000400
C0265354,0011611
C0265354,0000632
C0265354,0000396
C0265354,0000126
C0265354,0002553
C0265354,0000076
C0265354,0001252
C0265354,0002992
C0002736,0001257
C0002736,0030195
C0020179,0100022
C0012236,0000627
C0012236,0000582
C0012236,0000568
C0012236,0007302
C0012236,0000717
C0012236,0000508
C0012236,0001660
C0012236,0001511
C0012236,0000076
C0012236,0000130
C0012236,0002960
C0012236,0002619
C0012236,0000286
C0012236,0000385
C0012236,0001744
C0012236,0001508
C0220704,0000396
C0220704,0002999
C0220704,0002099
C0220704,0000765
C0220704,0000829
C0220704,0002607
C0220704,0001629
C0220704,0003326
C0220704,0001873
C0795907,0002101
C0795907,0000501
C0795907,0001636
C0795907,0000836
C0795907,0000347
C0795907,0000717
C0795907,0001166
C0795907,0000028
C0795907,0000405
C0795907,0000175
C0795907,0001081
C0795907,0001762
C0795907,0000414
C0795907,0000023
C0795907,0001263
C0795907,0000385
C0795907,0000252
C0795907,0001250
C0795907,0100765
C2936346,0002566
C2936346,0000508
C2936346,0001511
C2936346,0012303
C2936346,0100753
C2936346,0001136
C2936346,0001601
C2936346,0001561
C2936346,0004322
C2936346,0000389
C3266101,0001513
C3266101,0011496
C3266101,0002999
C3266101,0001061
C3266101,0000113
C3266101,0001643
C3266101,0000836
C3266101,0000670
C3266101,0000322
C3266101,0012303
C3266101,0000778
C3266101,0001081
C3266101,0001136
C3266101,0000470
C3266101,0001328
C3266101,0000648
C3266101,0000821
C3266101,0001263
