geneID,Gene_name,gid
25913,POT1,1
54496,PRMT7,2
7555,CNBP,3
3182,HNRNPAB,4
51499,TRIAP1,5
9531,BAG3,6
2516,NR5A1,7
22913,RALY,8
7167,TPI1,9
83987,CCDC8,10
56945,MRPS22,11
580,BARD1,12
7153,TOP2A,13
4627,MYH9,14
493829,TRIM72,15
6314,ATXN7,16
6883,TAF12,17
672,BRCA1,18
84916,UTP4,19
526,ATP6V1B2,20
23545,ATP6V0A2,21
5888,RAD51,22
7316,UBC,23
23287,AGTPBP1,24
1938,EEF2,25
3187,HNRNPH1,26
8872,CDC123,27
10006,ABI1,28
6949,TCOF1,29
84101,USP44,30
624,BDKRB2,31
2870,GRK6,32
1613,DAPK3,33
80179,MYO19,34
3932,LCK,35
2885,GRB2,36
8481,OFD1,37
1785,DNM2,38
5071,PRKN,39
7324,UBE2E1,40
8888,MCM3AP,41
22883,CLSTN1,42
1528,CYB5A,43
1576,CYP3A4,44
3958,LGALS3,45
79648,MCPH1,46
3178,HNRNPA1,47
9820,CUL7,48
5111,PCNA,49
4191,MDH2,50
7791,ZYX,51
11244,ZHX1,52
79577,CDC73,53
79923,NANOG,54
9442,MED27,55
84246,MED10,56
7812,CSDE1,57
2688,GH1,58
6997,TDGF1,59
2817,GPC1,60
8683,SRSF9,61
55832,CAND1,62
7161,TP73,63
4609,MYC,64
3480,IGF1R,65
409,ARRB2,66
27,ABL2,67
4734,NEDD4,68
26112,CCDC69,69
9070,ASH2L,70
2099,ESR1,71
9971,NR1H4,72
3835,KIF22,73
57448,BIRC6,74
4171,MCM2,75
1828,DSG1,76
5925,RB1,77
1124,CHN2,78
81855,SFXN3,79
56993,TOMM22,80
6780,STAU1,81
57545,CC2D2A,82
653784,MZT2A,83
222229,LRWD1,84
84033,OBSCN,85
84458,LCOR,86
351,APP,87
22976,PAXIP1,88
254827,NAALADL2,89
1952,CELSR2,90
4163,MCC,91
56681,SAR1A,92
4914,NTRK1,93
9601,PDIA4,94
