GeneID,diseaseID,postive_negative,train_test
3074,C0036161,1,train
1482,C0027126,1,train
7555,C0027126,1,train
26986,C0005684,1,train
79366,C0005684,1,train
360,C0005684,1,train
10735,C0005684,1,train
79718,C0005684,1,train
8821,C0005684,1,train
10460,C0005684,1,train
9700,C0005684,1,train
119391,C0005684,1,train
27127,C0005684,1,train
2186,C0005684,1,train
58508,C0005684,1,train
3488,C0005684,1,train
5646,C0005684,1,train
84966,C0005684,1,train
50807,C0005684,1,train
267,C0005684,1,train
8836,C0005684,1,train
898,C0005684,1,train
688,C0005684,1,train
389289,C0005684,1,train
8243,C0005684,1,train
55252,C0005684,1,train
4502,C0005684,1,train
7874,C0005684,1,train
3908,C0005684,1,train
10979,C0005684,1,train
7364,C0005684,1,train
5533,C0005684,1,train
6573,C0005684,1,train
4504,C0005684,1,train
57412,C0005684,1,train
84181,C0005684,1,train
4016,C0005684,1,train
9611,C0005684,1,train
9582,C0005684,1,train
9649,C0005684,1,train
140767,C0005684,1,train
3149,C0005684,1,train
3978,C0005684,1,train
10723,C0005684,1,train
1580,C0005684,1,train
2175,C0005684,1,train
2954,C0005684,1,train
8000,C0005684,1,train
7799,C0005684,1,train
51479,C0005684,1,train
84171,C0005684,1,train
81037,C0005684,1,train
255022,C0005684,1,train
5819,C0005684,1,train
8320,C0005684,1,train
26986,C0005695,1,train
79366,C0005695,1,train
360,C0005695,1,train
10735,C0005695,1,train
79718,C0005695,1,train
8821,C0005695,1,train
10460,C0005695,1,train
9700,C0005695,1,train
119391,C0005695,1,train
27127,C0005695,1,train
2186,C0005695,1,train
58508,C0005695,1,train
3488,C0005695,1,train
5646,C0005695,1,train
84966,C0005695,1,train
50807,C0005695,1,train
267,C0005695,1,train
8836,C0005695,1,train
898,C0005695,1,train
688,C0005695,1,train
389289,C0005695,1,train
8243,C0005695,1,train
55252,C0005695,1,train
4502,C0005695,1,train
7874,C0005695,1,train
3908,C0005695,1,train
10979,C0005695,1,train
7364,C0005695,1,train
5533,C0005695,1,train
6573,C0005695,1,train
4504,C0005695,1,train
57412,C0005695,1,train
84181,C0005695,1,train
4016,C0005695,1,train
9611,C0005695,1,train
9582,C0005695,1,train
3149,C0005695,1,train
140767,C0005695,1,train
9649,C0005695,1,train
3978,C0005695,1,train
10723,C0005695,1,train
1580,C0005695,1,train
2175,C0005695,1,train
2954,C0005695,1,train
8000,C0005695,1,train
7799,C0005695,1,train
51479,C0005695,1,train
84171,C0005695,1,train
81037,C0005695,1,train
255022,C0005695,1,train
5819,C0005695,1,train
8320,C0005695,1,train
5424,C0020619,1,train
2488,C0020619,1,train
6870,C0020619,1,train
6866,C0020619,1,train
55315,C0020619,1,train
3972,C0020619,1,train
1968,C0020619,1,train
9723,C0342384,1,train
6870,C0342384,1,train
2796,C0342384,1,train
54756,C0342384,1,train
2798,C0342384,1,train
6866,C0342384,1,train
8822,C0342384,1,train
55717,C0342384,1,train
23767,C0342384,1,train
1848,C0342384,1,train
285025,C0342384,1,train
389549,C0342384,1,train
2990,C0085132,1,train
3679,C1263858,1,train
2542,C0268146,1,train
9131,C0020179,1,train
2030,C0020179,1,train
2596,C0020179,1,train
140767,C0020179,1,train
84152,C0020179,1,train
51447,C0020179,1,train
1827,C0020179,1,train
3064,C0020179,1,train
6515,C0020179,1,train
4129,C0020179,1,train
5649,C0020179,1,train
79718,C0023487,1,train
5909,C0023487,1,train
366,C0023487,1,train
64859,C0023487,1,train
3687,C0023487,1,train
3683,C0023487,1,train
81608,C0023487,1,train
359948,C0023487,1,train
7704,C0023487,1,train
23604,C0023487,1,train
8243,C0023487,1,train
9632,C2936346,1,train
421,C2936346,1,train
7290,C2936346,1,train
7353,C2936346,1,train
2812,C2936346,1,train
2253,C2936346,1,train
1577,C0085580,1,train
1889,C0085580,1,train
481,C0085580,1,train
5740,C0085580,1,train
50632,C0085580,1,train
8490,C0085580,1,train
229,C0016751,1,train
84033,C0007194,1,train
84665,C0007194,1,train
51778,C0007194,1,train
27063,C0007194,1,train
6548,C0007194,1,train
85366,C0007194,1,train
2548,C0007194,1,train
7125,C0007194,1,train
23493,C0007194,1,train
8557,C0007194,1,train
4624,C0007194,1,train
70,C0007194,1,train
84676,C0007194,1,train
27295,C0007194,1,train
57538,C0007194,1,train
4634,C0007194,1,train
7414,C0007194,1,train
4719,C0007194,1,train
7168,C0007194,1,train
58498,C0007194,1,train
8736,C0007194,1,train
845,C0007194,1,train
6262,C0007194,1,train
55210,C0007194,1,train
1832,C0007194,1,train
125972,C0007194,1,train
6902,C0007194,1,train
4635,C0007194,1,train
3920,C0007194,1,train
4633,C0007194,1,train
7139,C0007194,1,train
775,C0007194,1,train
4625,C0007194,1,train
58,C0007194,1,train
84148,C0007194,1,train
85366,C0949658,1,train
4607,C0949658,1,train
57158,C0949658,1,train
