GeneID,diseaseID,postive_negative,train_test
10811,C0036161,0,train
84525,C0027126,0,train
132160,C0027126,0,train
5509,C0005684,0,train
923,C0005684,0,train
50937,C0005684,0,train
347733,C0005684,0,train
5660,C0005684,0,train
6709,C0005684,0,train
5479,C0005684,0,train
8603,C0005684,0,train
8106,C0005684,0,train
80162,C0005684,0,train
10775,C0005684,0,train
7153,C0005684,0,train
147011,C0005684,0,train
1845,C0005684,0,train
7015,C0005684,0,train
55974,C0005684,0,train
57576,C0005684,0,train
285971,C0005684,0,train
53349,C0005684,0,train
51372,C0005684,0,train
10999,C0005684,0,train
113828,C0005684,0,train
22990,C0005684,0,train
51230,C0005684,0,train
51265,C0005684,0,train
5995,C0005684,0,train
162417,C0005684,0,train
9457,C0005684,0,train
116225,C0005684,0,train
5827,C0005684,0,train
283576,C0005684,0,train
91056,C0005684,0,train
23032,C0005684,0,train
254528,C0005684,0,train
55299,C0005684,0,train
5911,C0005684,0,train
26035,C0005684,0,train
1582,C0005684,0,train
51146,C0005684,0,train
282808,C0005684,0,train
64333,C0005684,0,train
10808,C0005684,0,train
2958,C0005684,0,train
1660,C0005684,0,train
83874,C0005684,0,train
84626,C0005684,0,train
23412,C0005684,0,train
7084,C0005684,0,train
92400,C0005684,0,train
143662,C0005684,0,train
22849,C0005684,0,train
94134,C0005684,0,train
5509,C0005695,0,train
923,C0005695,0,train
50937,C0005695,0,train
347733,C0005695,0,train
5660,C0005695,0,train
6709,C0005695,0,train
5479,C0005695,0,train
8603,C0005695,0,train
8106,C0005695,0,train
80162,C0005695,0,train
10775,C0005695,0,train
7153,C0005695,0,train
147011,C0005695,0,train
1845,C0005695,0,train
7015,C0005695,0,train
55974,C0005695,0,train
57576,C0005695,0,train
285971,C0005695,0,train
53349,C0005695,0,train
51372,C0005695,0,train
10999,C0005695,0,train
113828,C0005695,0,train
22990,C0005695,0,train
51230,C0005695,0,train
51265,C0005695,0,train
5995,C0005695,0,train
162417,C0005695,0,train
9457,C0005695,0,train
116225,C0005695,0,train
5827,C0005695,0,train
283576,C0005695,0,train
91056,C0005695,0,train
23032,C0005695,0,train
254528,C0005695,0,train
55299,C0005695,0,train
5911,C0005695,0,train
26035,C0005695,0,train
1582,C0005695,0,train
51146,C0005695,0,train
282808,C0005695,0,train
64333,C0005695,0,train
10808,C0005695,0,train
2958,C0005695,0,train
1660,C0005695,0,train
83874,C0005695,0,train
84626,C0005695,0,train
23412,C0005695,0,train
7084,C0005695,0,train
92400,C0005695,0,train
143662,C0005695,0,train
22849,C0005695,0,train
94134,C0005695,0,train
943,C0020619,0,train
54816,C0020619,0,train
5819,C0020619,0,train
55174,C0020619,0,train
4139,C0020619,0,train
126868,C0020619,0,train
11172,C0020619,0,train
27122,C0342384,0,train
339201,C0342384,0,train
138162,C0342384,0,train
22919,C0342384,0,train
8408,C0342384,0,train
10946,C0342384,0,train
115908,C0342384,0,train
140576,C0342384,0,train
51655,C0342384,0,train
55585,C0342384,0,train
1591,C0342384,0,train
22930,C0342384,0,train
10811,C0085132,0,train
10811,C1263858,0,train
54467,C0268146,0,train
80746,C0020179,0,train
6947,C0020179,0,train
51100,C0020179,0,train
158798,C0020179,0,train
2976,C0020179,0,train
26580,C0020179,0,train
55140,C0020179,0,train
51337,C0020179,0,train
9879,C0020179,0,train
137735,C0020179,0,train
1859,C0020179,0,train
9867,C0023487,0,train
6947,C0023487,0,train
1633,C0023487,0,train
158798,C0023487,0,train
51608,C0023487,0,train
26580,C0023487,0,train
55140,C0023487,0,train
80129,C0023487,0,train
51046,C0023487,0,train
55297,C0023487,0,train
1859,C0023487,0,train
2976,C2936346,0,train
26058,C2936346,0,train
59269,C2936346,0,train
84273,C2936346,0,train
55297,C2936346,0,train
54816,C2936346,0,train
114884,C0085580,0,train
26058,C0085580,0,train
79817,C0085580,0,train
284184,C0085580,0,train
137735,C0085580,0,train
54816,C0085580,0,train
10811,C0016751,0,train
353149,C0007194,0,train
89853,C0007194,0,train
400798,C0007194,0,train
57282,C0007194,0,train
221806,C0007194,0,train
11059,C0007194,0,train
51339,C0007194,0,train
144404,C0007194,0,train
386672,C0007194,0,train
161742,C0007194,0,train
54941,C0007194,0,train
6121,C0007194,0,train
91694,C0007194,0,train
5965,C0007194,0,train
5898,C0007194,0,train
201562,C0007194,0,train
79089,C0007194,0,train
6124,C0007194,0,train
387597,C0007194,0,train
146198,C0007194,0,train
214,C0007194,0,train
57060,C0007194,0,train
93099,C0007194,0,train
84153,C0007194,0,train
254773,C0007194,0,train
27249,C0007194,0,train
10723,C0007194,0,train
8435,C0007194,0,train
7143,C0007194,0,train
8398,C0007194,0,train
10017,C0007194,0,train
27127,C0007194,0,train
51594,C0007194,0,train
1523,C0007194,0,train
8527,C0007194,0,train
