GeneID,diseaseID,postive_negative,train_test
9324,C1708353,0,train
4314,C1708353,0,train
80233,C1708353,0,train
2146,C1708353,0,train
23263,C1708353,0,train
65062,C1708353,0,train
54471,C1708353,0,train
636,C1708353,0,train
150483,C1708353,0,train
5935,C1708353,0,train
10654,C1853949,0,train
3306,C3714896,0,train
3306,C3553250,0,train
3306,C0342735,0,train
130576,C0019163,0,train
57465,C0019163,0,train
64770,C0019163,0,train
7128,C0019163,0,train
220136,C0019163,0,train
3306,C2931662,0,train
10654,C0268543,0,train
10654,C1864233,0,train
3306,C0796184,0,train
2079,C0012236,0,train
29952,C0012236,0,train
201254,C0012236,0,train
23307,C0012236,0,train
51629,C0012236,0,train
5036,C0012236,0,train
23190,C0012236,0,train
23616,C0012236,0,train
150483,C0012236,0,train
2911,C0012236,0,train
151246,C0012236,0,train
124936,C0012236,0,train
54973,C0012236,0,train
130576,C0751717,0,train
57465,C0751717,0,train
9764,C0018975,0,train
9794,C0018975,0,train
55062,C0018975,0,train
22800,C0018975,0,train
220136,C0018975,0,train
5678,C0018975,0,train
3306,C4283841,0,train
4093,C3658301,0,train
200916,C3658301,0,train
64770,C3658301,0,train
4306,C3658301,0,train
8804,C3658301,0,train
90799,C3658301,0,train
64794,C3658301,0,train
23616,C3658301,0,train
374291,C3658301,0,train
3146,C3658301,0,train
6416,C3658301,0,train
728294,C3658301,0,train
29914,C3658301,0,train
9764,C0751020,0,train
57465,C0751020,0,train
64770,C0751020,0,train
4728,C0751020,0,train
10406,C0751020,0,train
340371,C0751020,0,train
130576,C1846707,0,train
9794,C1846707,0,train
55062,C1846707,0,train
22800,C1846707,0,train
170392,C1840299,0,train
57465,C1840299,0,train
130576,C0272051,0,train
57465,C0272051,0,train
64770,C0272051,0,train
10654,C4084822,0,train
3306,C4310746,0,train
3306,C0854145,0,train
10654,C3279754,0,train
130576,C0031190,0,train
9794,C0031190,0,train
3306,C2931276,0,train
10654,C1861380,0,train
286006,C0011265,0,train
9721,C0011265,0,train
81847,C0011265,0,train
344657,C0011265,0,train
8658,C0011265,0,train
503542,C0011265,0,train
79902,C0011265,0,train
9902,C0011265,0,train
593,C0011265,0,train
643008,C0011265,0,train
27342,C0011265,0,train
221443,C0011265,0,train
79937,C0011265,0,train
8939,C0011265,0,train
57494,C0011265,0,train
90326,C0011265,0,train
1291,C0011265,0,train
5063,C0011265,0,train
6521,C0011265,0,train
4071,C0011265,0,train
11243,C0011265,0,train
158,C0011265,0,train
30062,C0011265,0,train
5516,C0011265,0,train
6296,C0011265,0,train
1595,C0011265,0,train
84076,C0011265,0,train
221002,C0011265,0,train
159195,C0011265,0,train
93210,C0011265,0,train
27429,C0011265,0,train
6192,C0011265,0,train
23204,C0011265,0,train
340990,C0011265,0,train
387597,C0011265,0,train
23336,C0011265,0,train
23369,C0011265,0,train
8533,C0011265,0,train
8909,C0011265,0,train
84899,C0011265,0,train
283219,C0011265,0,train
9962,C0011265,0,train
57497,C0011265,0,train
4026,C0011265,0,train
56659,C0011265,0,train
130576,C0013384,0,train
57465,C0013384,0,train
64770,C0013384,0,train
10654,C1837203,0,train
3306,C1866777,0,train
3306,C1835923,0,train
3306,C3151236,0,train
3306,C1970848,0,train
9764,C0003123,0,train
57465,C0003123,0,train
64770,C0003123,0,train
4728,C0003123,0,train
740,C0003123,0,train
858,C0003123,0,train
10654,C4310756,0,train
3306,C3151057,0,train
3306,C0017926,0,train
25942,C0403553,0,train
8994,C0403553,0,train
6249,C0403553,0,train
23307,C0403553,0,train
8804,C0403553,0,train
4236,C0403553,0,train
23190,C0403553,0,train
23616,C0403553,0,train
1408,C0403553,0,train
944,C0403553,0,train
5550,C0403553,0,train
23467,C0403553,0,train
130576,C0268355,0,train
9794,C0268355,0,train
79047,C0268355,0,train
55437,C0345904,0,train
54823,C0345904,0,train
10165,C0345904,0,train
57198,C0345904,0,train
89874,C0345904,0,train
285600,C0345904,0,train
3590,C0345904,0,train
9867,C0345904,0,train
283129,C0345904,0,train
381,C0345904,0,train
54477,C0345904,0,train
2267,C0345904,0,train
9,C0345904,0,train
255189,C0345904,0,train
1268,C0345904,0,train
91689,C0345904,0,train
5582,C0345904,0,train
11280,C0345904,0,train
5055,C0345904,0,train
3659,C0345904,0,train
81558,C0345904,0,train
399909,C0345904,0,train
54460,C0345904,0,train
5359,C0345904,0,train
5863,C0345904,0,train
54431,C0345904,0,train
6623,C0345904,0,train
10126,C0345904,0,train
1810,C0345904,0,train
5250,C0345904,0,train
1659,C0345904,0,train
6622,C0345904,0,train
3196,C0345904,0,train
29990,C0345904,0,train
55312,C0345904,0,train
1103,C0345904,0,train
26152,C0345904,0,train
4602,C0345904,0,train
5651,C0345904,0,train
5868,C0345904,0,train
26037,C0345904,0,train
257629,C0345904,0,train
4236,C0345904,0,train
60468,C0345904,0,train
827,C0345904,0,train
10712,C0345904,0,train
159686,C0345904,0,train
340277,C0345904,0,train
29087,C0345904,0,train
727830,C0345904,0,train
79954,C0345904,0,train
346389,C0345904,0,train
6428,C0345904,0,train
148206,C0345904,0,train
124936,C0345904,0,train
79956,C0345904,0,train
29107,C0345904,0,train
200186,C0345904,0,train
6124,C0345904,0,train
5796,C0345904,0,train
7429,C0345904,0,train
5683,C0345904,0,train
3313,C0345904,0,train
57691,C0345904,0,train
4242,C0345904,0,train
359787,C0345904,0,train
84152,C0345904,0,train
375341,C0345904,0,train
25797,C0345904,0,train
54848,C0345904,0,train
3823,C0345904,0,train
7681,C0345904,0,train
2242,C0345904,0,train
54463,C0345904,0,train
56978,C0345904,0,train
51582,C0345904,0,train
8935,C0345904,0,train
285141,C0345904,0,train
