GeneID,diseaseID,postive_negative,train_test
6343,C0036161,0,train
341,C0027126,0,train
3274,C0027126,0,train
1417,C0005684,0,train
131831,C0005684,0,train
728712,C0005684,0,train
9114,C0005684,0,train
54436,C0005684,0,train
23478,C0005684,0,train
85300,C0005684,0,train
5563,C0005684,0,train
29895,C0005684,0,train
1155,C0005684,0,train
63941,C0005684,0,train
64066,C0005684,0,train
10682,C0005684,0,train
119,C0005684,0,train
1349,C0005684,0,train
219453,C0005684,0,train
90121,C0005684,0,train
643669,C0005684,0,train
91404,C0005684,0,train
23767,C0005684,0,train
6119,C0005684,0,train
27255,C0005684,0,train
57835,C0005684,0,train
140832,C0005684,0,train
128866,C0005684,0,train
10623,C0005684,0,train
54469,C0005684,0,train
8856,C0005684,0,train
1352,C0005684,0,train
10721,C0005684,0,train
157695,C0005684,0,train
113451,C0005684,0,train
150572,C0005684,0,train
158521,C0005684,0,train
356,C0005684,0,train
3720,C0005684,0,train
221527,C0005684,0,train
5465,C0005684,0,train
259293,C0005684,0,train
79768,C0005684,0,train
10858,C0005684,0,train
92703,C0005684,0,train
3594,C0005684,0,train
4854,C0005684,0,train
1282,C0005684,0,train
4586,C0005684,0,train
6238,C0005684,0,train
8727,C0005684,0,train
54881,C0005684,0,train
25834,C0005684,0,train
83862,C0005684,0,train
10948,C0005684,0,train
1417,C0005695,0,train
131831,C0005695,0,train
728712,C0005695,0,train
9114,C0005695,0,train
54436,C0005695,0,train
23478,C0005695,0,train
85300,C0005695,0,train
5563,C0005695,0,train
29895,C0005695,0,train
1155,C0005695,0,train
63941,C0005695,0,train
64066,C0005695,0,train
10682,C0005695,0,train
119,C0005695,0,train
1349,C0005695,0,train
219453,C0005695,0,train
90121,C0005695,0,train
643669,C0005695,0,train
91404,C0005695,0,train
23767,C0005695,0,train
6119,C0005695,0,train
27255,C0005695,0,train
57835,C0005695,0,train
140832,C0005695,0,train
128866,C0005695,0,train
10623,C0005695,0,train
54469,C0005695,0,train
8856,C0005695,0,train
1352,C0005695,0,train
10721,C0005695,0,train
157695,C0005695,0,train
113451,C0005695,0,train
150572,C0005695,0,train
158521,C0005695,0,train
356,C0005695,0,train
3720,C0005695,0,train
221527,C0005695,0,train
5465,C0005695,0,train
259293,C0005695,0,train
79768,C0005695,0,train
10858,C0005695,0,train
92703,C0005695,0,train
3594,C0005695,0,train
4854,C0005695,0,train
1282,C0005695,0,train
4586,C0005695,0,train
6238,C0005695,0,train
8727,C0005695,0,train
54881,C0005695,0,train
25834,C0005695,0,train
83862,C0005695,0,train
10948,C0005695,0,train
126374,C0020619,0,train
65980,C0020619,0,train
3064,C0020619,0,train
3615,C0020619,0,train
728294,C0020619,0,train
340419,C0020619,0,train
23022,C0020619,0,train
29902,C0342384,0,train
245910,C0342384,0,train
55177,C0342384,0,train
9738,C0342384,0,train
2242,C0342384,0,train
10980,C0342384,0,train
9993,C0342384,0,train
387597,C0342384,0,train
114790,C0342384,0,train
