geneID,Gene_name,gid
381,ARF5,1
6712,SPTBN2,2
23303,KIF13B,3
162,AP1B1,4
55605,KIF21A,5
51014,TMED7,6
55738,ARFGAP1,7
287,ANK2,8
3831,KLC1,9
51226,COPZ2,10
56992,KIF15,11
84516,DCTN5,12
84643,KIF2B,13
55614,KIF16B,14
3834,KIF25,15
11014,KDELR2,16
81876,RAB1B,17
10972,TMED10,18
9371,KIF3B,19
29127,RACGAP1,20
57731,SPTBN4,21
8729,GBF1,22
1781,DYNC1I2,23
3630,INS,24
9265,CYTH3,25
832,CAPZB,26
9727,RAB11FIP3,27
23527,ACAP2,28
3797,KIF3C,29
51143,DYNC1LI1,30
22920,KIFAP3,31
1314,COPA,32
10652,YKT6,33
1315,COPB1,34
9922,IQSEC1,35
10112,KIF20A,36
6836,SURF4,37
26088,GGA1,38
988,CDC5L,39
1780,DYNC1I1,40
5861,RAB1A,41
10121,ACTR1A,42
830,CAPZA2,43
829,CAPZA1,44
966,CD59,45
51332,SPTBN5,46
2348,FOLR1,47
8615,USO1,48
1062,CENPE,49
3833,KIFC1,50
64147,KIF9,51
24137,KIF4A,52
55582,KIF27,53
375,ARF1,54
377,ARF3,55
64837,KLC2,56
23046,KIF21B,57
51164,DCTN4,58
221458,KIF6,59
146909,KIF18B,60
547,KIF1A,61
26153,KIF26A,62
3798,KIF5A,63
23423,TMED3,64
55860,ACTR10,65
9585,KIF20B,66
1783,DYNC1LI2,67
23647,ARFIP2,68
54732,TMED9,69
286,ANK1,70
378,ARF4,71
8853,ASAP2,72
1604,CD55,73
6709,SPTAN1,74
8766,RAB11A,75
285643,KIF4B,76
81930,KIF18A,77
147700,KLC3,78
11258,DCTN3,79
124602,KIF19,80
9493,KIF23,81
10282,BET1,82
10945,KDELR1,83
288,ANK3,84
1778,DYNC1H1,85
6711,SPTBN1,86
3799,KIF5B,87
9276,COPB2,88
10671,DCTN6,89
50807,ASAP1,90
10540,DCTN2,91
3832,KIF11,92
10959,TMED2,93
9267,CYTH1,94
11004,KIF2C,95
372,ARCN1,96
10749,KIF1C,97
140735,DYNLL2,98
23095,KIF1B,99
6710,SPTB,100
26958,COPG2,101
90990,KIFC2,102
22820,COPG1,103
27236,ARFIP1,104
55083,KIF26B,105
93661,CAPZA3,106
9744,ACAP1,107
84440,RAB11FIP4,108
8655,DYNLL1,109
84364,ARFGAP2,110
3796,KIF2A,111
3835,KIF22,112
113220,KIF12,113
9554,SEC22B,114
89953,KLC4,115
26286,ARFGAP3,116
2108,ETFA,117
11015,KDELR3,118
6708,SPTA1,119
164,AP1G1,120
11127,KIF3A,121
22818,COPZ1,122
11316,COPE,123
