GeneID,diseaseID,postive_negative,train_test
8735,C1708353,0,train
2110,C1708353,0,train
11017,C1708353,0,train
55601,C1708353,0,train
22983,C1708353,0,train
90441,C1708353,0,train
319101,C1708353,0,train
222171,C1708353,0,train
6603,C1708353,0,train
116541,C1708353,0,train
81614,C1853949,0,train
60676,C3714896,0,train
81614,C3553250,0,train
60676,C0342735,0,train
115701,C0019163,0,train
124641,C0019163,0,train
23002,C0019163,0,train
6915,C0019163,0,train
440193,C0019163,0,train
57215,C0019163,0,train
60676,C2931662,0,train
60676,C0268543,0,train
81614,C1864233,0,train
60676,C0796184,0,train
2570,C0012236,0,train
56981,C0012236,0,train
115703,C0012236,0,train
257364,C0012236,0,train
54020,C0012236,0,train
132158,C0012236,0,train
26074,C0012236,0,train
1104,C0012236,0,train
56996,C0012236,0,train
9181,C0751717,0,train
819,C0751717,0,train
115701,C0018975,0,train
92715,C0018975,0,train
9620,C0018975,0,train
115557,C0018975,0,train
5525,C0018975,0,train
55735,C0018975,0,train
60676,C4283841,0,train
4624,C3658301,0,train
51102,C3658301,0,train
9416,C3658301,0,train
79132,C3658301,0,train
5324,C3658301,0,train
128486,C3658301,0,train
3886,C3658301,0,train
255324,C3658301,0,train
54617,C3658301,0,train
6201,C3658301,0,train
24146,C3658301,0,train
2735,C3658301,0,train
4109,C3658301,0,train
115701,C0751020,0,train
92715,C0751020,0,train
9620,C0751020,0,train
9630,C0751020,0,train
5525,C0751020,0,train
3054,C0751020,0,train
8085,C1846707,0,train
1512,C1846707,0,train
10732,C1846707,0,train
10298,C1846707,0,train
55160,C1840299,0,train
819,C1840299,0,train
9181,C0272051,0,train
23547,C0272051,0,train
1840,C0272051,0,train
81614,C4084822,0,train
60676,C4310746,0,train
60676,C0854145,0,train
60676,C1832187,0,train
81614,C3279754,0,train
9181,C0031190,0,train
819,C0031190,0,train
81614,C2931276,0,train
60676,C1861380,0,train
10505,C0011265,0,train
90417,C0011265,0,train
5652,C0011265,0,train
257629,C0011265,0,train
4771,C0011265,0,train
50837,C0011265,0,train
3963,C0011265,0,train
7289,C0011265,0,train
57619,C0011265,0,train
343070,C0011265,0,train
84962,C0011265,0,train
11063,C0011265,0,train
128869,C0011265,0,train
65125,C0011265,0,train
4015,C0011265,0,train
728927,C0011265,0,train
221336,C0011265,0,train
5831,C0011265,0,train
3936,C0011265,0,train
79913,C0011265,0,train
25827,C0011265,0,train
5689,C0011265,0,train
56158,C0011265,0,train
6372,C0011265,0,train
56931,C0011265,0,train
57381,C0011265,0,train
27166,C0011265,0,train
10618,C0011265,0,train
25987,C0011265,0,train
170685,C0011265,0,train
7711,C0011265,0,train
6399,C0011265,0,train
29841,C0011265,0,train
9915,C0011265,0,train
3604,C0011265,0,train
27173,C0011265,0,train
254427,C0011265,0,train
23415,C0011265,0,train
80114,C0011265,0,train
6699,C0011265,0,train
1875,C0011265,0,train
63934,C0011265,0,train
4734,C0011265,0,train
701,C0011265,0,train
56912,C0011265,0,train
55160,C0013384,0,train
819,C0013384,0,train
60676,C1837203,0,train
60676,C1866777,0,train
81614,C1835923,0,train
60676,C3151236,0,train
60676,C1970848,0,train
115701,C0003123,0,train
92715,C0003123,0,train
9620,C0003123,0,train
2922,C0003123,0,train
5525,C0003123,0,train
6804,C0003123,0,train
613212,C0003123,0,train
60676,C4310756,0,train
81614,C3151057,0,train
60676,C0017926,0,train
11113,C0403553,0,train
51102,C0403553,0,train
11017,C0403553,0,train
91543,C0403553,0,train
55732,C0403553,0,train
140902,C0403553,0,train
319101,C0403553,0,train
255324,C0403553,0,train
6603,C0403553,0,train
51258,C0403553,0,train
140689,C0403553,0,train
8994,C0403553,0,train
23092,C0268355,0,train
23547,C0268355,0,train
113878,C0268355,0,train
5050,C0345904,0,train
93474,C0345904,0,train
6575,C0345904,0,train
56948,C0345904,0,train
57343,C0345904,0,train
285220,C0345904,0,train
7408,C0345904,0,train
168400,C0345904,0,train
3716,C0345904,0,train
25920,C0345904,0,train
65267,C0345904,0,train
388595,C0345904,0,train
283849,C0345904,0,train
79849,C0345904,0,train
374864,C0345904,0,train
6484,C0345904,0,train
219487,C0345904,0,train
441670,C0345904,0,train
84938,C0345904,0,train
1270,C0345904,0,train
51142,C0345904,0,train
202309,C0345904,0,train
146223,C0345904,0,train
3083,C0345904,0,train
7084,C0345904,0,train
658,C0345904,0,train
8437,C0345904,0,train
116540,C0345904,0,train
25,C0345904,0,train
84517,C0345904,0,train
59349,C0345904,0,train
4250,C0345904,0,train
81605,C0345904,0,train
56478,C0345904,0,train
1718,C0345904,0,train
10418,C0345904,0,train
1565,C0345904,0,train
245929,C0345904,0,train
54520,C0345904,0,train
23408,C0345904,0,train
6940,C0345904,0,train
84816,C0345904,0,train
9627,C0345904,0,train
54876,C0345904,0,train
170572,C0345904,0,train
2348,C0345904,0,train
11093,C0345904,0,train
84722,C0345904,0,train
2054,C0345904,0,train
54888,C0345904,0,train
10164,C0345904,0,train
161,C0345904,0,train
286006,C0345904,0,train
83648,C0345904,0,train
3918,C0345904,0,train
4926,C0345904,0,train
1230,C0345904,0,train
55103,C0345904,0,train
8688,C0345904,0,train
10320,C0345904,0,train
54984,C0345904,0,train
489,C0345904,0,train
5587,C0345904,0,train
25890,C0345904,0,train
10435,C0345904,0,train
140947,C0345904,0,train
153090,C0345904,0,train
23085,C0345904,0,train
9080,C0345904,0,train
54033,C0345904,0,train
9043,C0345904,0,train
119774,C0345904,0,train
4000,C0345904,0,train
6401,C0345904,0,train
2487,C0345904,0,train
4317,C0345904,0,train
84619,C0345904,0,train
7010,C0345904,0,train
60676,C3808953,0,train
81614,C0424082,0,train
81614,C3149750,0,train
81614,C3150677,0,train
2494,C0346163,0,train
80184,C0346163,0,train
1198,C0346163,0,train
9907,C0346163,0,train
4828,C0346163,0,train
81614,C0432230,0,train
60676,C1142379,0,train
9181,C0016781,0,train
284312,C0016781,0,train
1840,C0016781,0,train
81614,C0752288,0,train
60676,C1282908,0,train
2268,C0023264,0,train
2123,C0023264,0,train
126259,C0023264,0,train
23179,C0023264,0,train
1456,C0023264,0,train
6374,C0023264,0,train
22900,C0023264,0,train
5935,C0023264,0,train
5042,C0023264,0,train
84188,C0023264,0,train
1136,C0023264,0,train
27146,C0023264,0,train
2053,C0023264,0,train
4294,C0023264,0,train
9069,C0023264,0,train
81856,C0023264,0,train
221336,C0023264,0,train
51147,C0023264,0,train
10146,C0023264,0,train
83746,C0023264,0,train
79145,C0023264,0,train
23198,C0023264,0,train
6847,C0023264,0,train
114,C0023264,0,train
29099,C0023264,0,train
6519,C0023264,0,train
84260,C0023264,0,train
6844,C0023264,0,train
25987,C0023264,0,train
11163,C0023264,0,train
83881,C0023264,0,train
9117,C0023264,0,train
158800,C0023264,0,train
582,C0023264,0,train
7023,C0023264,0,train
54892,C0023264,0,train
285193,C0023264,0,train
166752,C0023264,0,train
80114,C0023264,0,train
84272,C0023264,0,train
10592,C0023264,0,train
79957,C0023264,0,train
252969,C0023264,0,train
9020,C0023264,0,train
6759,C0003886,0,train
