diseaseId,diseaseName,did
C3669121,11-Beta-hydroxylase deficiency,1
C4755260,12p12.1 microdeletion syndrome,2
C4749855,14q11.2 microduplication syndrome,3
C4305240,14q12 microdeletion syndrome,4
C3697269,15q24 Microdeletion,5
C4304594,16q24.3 microdeletion syndrome,6
C0268296,17-Hydroxysteroid Dehydrogenase Deficiency,7
C4707828,1p31p32 microdeletion syndrome,8
C4304540,1q44 microdeletion syndrome,9
C1857252,"2,4-Dienoyl-CoA Reductase Deficiency",10
C1859817,2-AMINOADIPIC 2-OXOADIPIC ACIDURIA,11
C1864912,2-Methylbutyryl-CoA Dehydrogenase Deficiency,12
C2936346,22q11 Deletion Syndrome,13
C3266101,22q11 partial monosomy syndrome,14
C1853490,22q13.3 Deletion Syndrome,15
C4304537,2p21 microdeletion syndrome,16
C4749458,2p21 microdeletion syndrome without cystinuria,17
C4304532,2q23.1 microdeletion syndrome,18
C4706258,2q33.1 microdeletion syndrome,19
C0342471,3 beta-Hydroxysteroid dehydrogenase deficiency,20
C0342727,"3-@METHYLGLUTACONIC ACIDURIA, TYPE I",21
C1857776,"3-@METHYLGLUTACONIC ACIDURIA, TYPE V",22
C2751532,3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,23
C1291230,3-Hydroxyacyl-CoA Dehydrogenase Deficiency,24
C0268600,3-methylcrotonyl CoA carboxylase 1 deficiency,25
C1859499,3-methylcrotonyl CoA carboxylase 2 deficiency,26
C0342728,3-Methylglutaconic aciduria type 1,27
C0574084,3-Methylglutaconic aciduria type 3,28
C4039473,3-methylglutaconic aciduria type 5,29
C4225393,3-methylglutaconic aciduria type 7,30
C4040739,"3-methylglutaconic aciduria type IV with sensorineural deafness, encephalopathy and Leigh-like syndrome",31
C3553597,"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME",32
C4540171,"3-METHYLGLUTACONIC ACIDURIA, TYPE IX",33
C4310650,"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII",34
C0796137,3C syndrome,35
