GeneID,diseaseID,postive_negative,train_test
7428,C0027126,0,train
9533,C0027126,0,train
55746,C0005684,0,train
88,C0005684,0,train
170506,C0005684,0,train
2125,C0005684,0,train
6330,C0005684,0,train
6257,C0005684,0,train
85377,C0005684,0,train
51172,C0005684,0,train
55037,C0005684,0,train
1606,C0005684,0,train
80279,C0005684,0,train
4137,C0005684,0,train
55894,C0005684,0,train
55191,C0005684,0,train
57594,C0005684,0,train
55052,C0005684,0,train
8820,C0005684,0,train
285596,C0005684,0,train
1311,C0005684,0,train
23308,C0005684,0,train
55565,C0005684,0,train
9857,C0005684,0,train
7295,C0005684,0,train
9796,C0005684,0,train
28996,C0005684,0,train
10099,C0005684,0,train
79023,C0005684,0,train
4776,C0005684,0,train
56899,C0005684,0,train
2779,C0005684,0,train
4733,C0005684,0,train
1442,C0005684,0,train
3817,C0005684,0,train
4311,C0005684,0,train
3150,C0005684,0,train
55746,C0005695,0,train
88,C0005695,0,train
170506,C0005695,0,train
2125,C0005695,0,train
6330,C0005695,0,train
6257,C0005695,0,train
85377,C0005695,0,train
51172,C0005695,0,train
55037,C0005695,0,train
1606,C0005695,0,train
80279,C0005695,0,train
4137,C0005695,0,train
55894,C0005695,0,train
55191,C0005695,0,train
57594,C0005695,0,train
55052,C0005695,0,train
8820,C0005695,0,train
285596,C0005695,0,train
1311,C0005695,0,train
23308,C0005695,0,train
55565,C0005695,0,train
9857,C0005695,0,train
7295,C0005695,0,train
9796,C0005695,0,train
28996,C0005695,0,train
10099,C0005695,0,train
79023,C0005695,0,train
4776,C0005695,0,train
56899,C0005695,0,train
2779,C0005695,0,train
4733,C0005695,0,train
1442,C0005695,0,train
3817,C0005695,0,train
4311,C0005695,0,train
3150,C0005695,0,train
6281,C0020619,0,train
4208,C0020619,0,train
873,C0020619,0,train
3750,C0020619,0,train
9482,C0020619,0,train
5167,C0020619,0,train
8527,C0342384,0,train
9051,C0342384,0,train
637,C0342384,0,train
433,C0342384,0,train
9779,C0342384,0,train
10610,C0342384,0,train
54921,C0342384,0,train
57159,C0342384,0,train
28996,C0085132,0,train
286826,C1263858,0,train
9816,C0020179,0,train
1821,C0020179,0,train
4701,C0020179,0,train
5213,C0020179,0,train
11331,C0020179,0,train
5435,C0020179,0,train
10413,C0020179,0,train
6142,C0020179,0,train
51742,C0020179,0,train
9816,C0023487,0,train
6641,C0023487,0,train
60528,C0023487,0,train
50617,C0023487,0,train
10518,C0023487,0,train
5437,C0023487,0,train
5606,C0023487,0,train
6142,C0023487,0,train
319,C0023487,0,train
501,C0085580,0,train
1429,C0085580,0,train
874,C0085580,0,train
4779,C0085580,0,train
28996,C0016751,0,train
7572,C0007194,0,train
9472,C0007194,0,train
3508,C0007194,0,train
2946,C0007194,0,train
4792,C0007194,0,train
55973,C0007194,0,train
3665,C0007194,0,train
2192,C0007194,0,train
9846,C0007194,0,train
10226,C0007194,0,train
8192,C0007194,0,train
9406,C0007194,0,train
10215,C0007194,0,train
54205,C0007194,0,train
26508,C0007194,0,train
4832,C0007194,0,train
84307,C0007194,0,train
84440,C0007194,0,train
276,C0007194,0,train
57050,C0007194,0,train
9585,C0007194,0,train
9095,C0007194,0,train
55103,C0007194,0,train
92304,C0007194,0,train
6504,C0007194,0,train
3631,C0007194,0,train
63970,C0007194,0,train
8567,C0949658,0,train
2167,C0949658,0,train
6318,C0949658,0,train
27243,C0949658,0,train
1512,C0949658,0,train
3750,C0949658,0,train
26056,C0949658,0,train
898,C3495498,0,train
26260,C0034069,0,train
2243,C0034069,0,train
10421,C0034069,0,train
117154,C0034069,0,train
6154,C0034069,0,train
55295,C0034069,0,train
27005,C0034069,0,train
5688,C0034069,0,train
26973,C0034069,0,train
81793,C0034069,0,train
57175,C0034069,0,train
3251,C0034069,0,train
64324,C0034069,0,train
28996,C1842362,0,train
28996,C2677637,0,train
6508,C3711374,0,train
4359,C3711374,0,train
6888,C3711374,0,train
3481,C3711374,0,train
9021,C3711374,0,train
8528,C3711374,0,train
8192,C3711374,0,train
1006,C3711374,0,train
4089,C3711374,0,train
4750,C3711374,0,train
386724,C3711374,0,train
1198,C3711374,0,train
30851,C3711374,0,train
7472,C3711374,0,train
7450,C3711374,0,train
55144,C3711374,0,train
64754,C3711374,0,train
114814,C3711374,0,train
84337,C3711374,0,train
994,C3711374,0,train
55230,C3711374,0,train
7155,C3711374,0,train
11216,C3711374,0,train
80829,C3711374,0,train
7159,C0276496,0,train
59307,C0276496,0,train
5036,C0276496,0,train
9411,C0276496,0,train
667,C0276496,0,train
54913,C0276496,0,train
5307,C0276496,0,train
171017,C0276496,0,train
8038,C0276496,0,train
84065,C0276496,0,train
84701,C0276496,0,train
805,C0276496,0,train
7185,C0276496,0,train
5610,C0276496,0,train
51286,C0276496,0,train
5702,C0276496,0,train
10413,C0276496,0,train
462,C0276496,0,train
3553,C0276496,0,train
3082,C0276496,0,train
81688,C0276496,0,train
321,C0276496,0,train
6000,C0276496,0,train
112939,C0276496,0,train
26517,C0276496,0,train
10240,C0276496,0,train
170591,C0276496,0,train
2260,C0276496,0,train
8900,C0020071,0,train
22980,C0002395,0,train
252884,C0002395,0,train
3744,C0002395,0,train
79870,C0002395,0,train
6835,C0002395,0,train
10717,C0002395,0,train
64395,C0002395,0,train
388324,C0002395,0,train
6513,C0002395,0,train
23204,C0002395,0,train
5778,C0002395,0,train
84289,C0002395,0,train
4034,C0002395,0,train
4134,C0002395,0,train
56478,C0002395,0,train
135112,C0002395,0,train
10274,C0002395,0,train
3707,C0002395,0,train
219541,C0002395,0,train
92737,C0002395,0,train
3661,C0002395,0,train
28511,C0002395,0,train
6776,C0002395,0,train
1464,C0002395,0,train
6205,C0002395,0,train
4952,C0002395,0,train
7701,C0002395,0,train
2570,C0002395,0,train
4001,C0002395,0,train
407,C0002395,0,train
6210,C0002395,0,train
5279,C0002395,0,train
28996,C0019069,0,train
28996,C0015523,0,train
23303,C0028754,0,train
6656,C0028754,0,train
10272,C0028754,0,train
59338,C0028754,0,train
81551,C0028754,0,train
5270,C0028754,0,train
54872,C0028754,0,train
339855,C0028754,0,train
4603,C0028754,0,train
10825,C0028754,0,train
6531,C0028754,0,train
6457,C0028754,0,train
820,C0028754,0,train
4700,C0028754,0,train
2661,C0028754,0,train
4685,C0028754,0,train
6689,C0028754,0,train
56950,C0028754,0,train
23367,C0028754,0,train
2837,C0028754,0,train
3308,C0028754,0,train
3115,C0028754,0,train
162417,C0028754,0,train
1143,C0028754,0,train
11043,C0028754,0,train
1828,C0028754,0,train
55746,C0028754,0,train
4852,C0028754,0,train
7145,C0028754,0,train
55140,C0028754,0,train
50617,C0028754,0,train
5873,C0028754,0,train
1299,C0028754,0,train
4762,C0028754,0,train
29888,C0028754,0,train
2157,C0028754,0,train
339403,C0028754,0,train
10856,C0028754,0,train
140290,C0028754,0,train
2957,C0028754,0,train
10432,C0028754,0,train
57559,C0028754,0,train
25977,C0028754,0,train
7335,C0028754,0,train
54836,C0028754,0,train
8774,C0028754,0,train
1378,C0028754,0,train
27430,C0028754,0,train
2241,C0028754,0,train
57692,C0028754,0,train
123,C0028754,0,train
9111,C0028754,0,train
128,C0028754,0,train
79980,C0028754,0,train
9244,C0028754,0,train
54910,C0028754,0,train
4067,C0028754,0,train
2155,C0028754,0,train
51291,C0028754,0,train
56848,C0028754,0,train
689,C0028754,0,train
9150,C0028754,0,train
1759,C0028754,0,train
5733,C0028754,0,train
4320,C0028754,0,train
64376,C0028754,0,train
10226,C0028754,0,train
9205,C0028754,0,train
3568,C0028754,0,train
88,C0028754,0,train
6840,C0028754,0,train
2529,C0028754,0,train
55124,C0028754,0,train
6553,C0028754,0,train
5708,C0028754,0,train
145258,C2752147,0,train
57546,C4721806,0,train
1948,C4721806,0,train
581,C4721806,0,train
3320,C4721806,0,train
915,C4721806,0,train
1443,C4721806,0,train
4440,C4721806,0,train
146760,C4721806,0,train
28996,C2677889,0,train
28996,C4551511,0,train
28996,C0268186,0,train
145258,C0221014,0,train
51560,C0040028,0,train
7428,C0040028,0,train
3764,C0040028,0,train
7428,C4722330,0,train
51082,C4722330,0,train
28996,C0268151,0,train
4794,C0023452,0,train
3398,C0023452,0,train
134353,C0023452,0,train
117154,C0023452,0,train
84779,C0023452,0,train
55295,C0023452,0,train
56915,C0023452,0,train
5685,C0023452,0,train
4302,C0023452,0,train
57118,C0023452,0,train
8527,C0023452,0,train
79803,C0023452,0,train
84838,C0023452,0,train
26047,C1961102,0,train
3777,C1961102,0,train
4606,C1961102,0,train
25841,C1961102,0,train
3399,C1961102,0,train
79760,C1961102,0,train
5597,C1961102,0,train
117154,C1961102,0,train
8522,C1961102,0,train
2040,C1961102,0,train
6120,C1961102,0,train
9493,C1961102,0,train
26276,C1961102,0,train
64005,C1961102,0,train
527,C1961102,0,train
3225,C1961102,0,train
28996,C0085859,0,train
379,C1567741,0,train
6721,C1567741,0,train
3764,C1567741,0,train
28996,C0043119,0,train
286826,C0231341,0,train
898,C0002312,0,train
898,C0013423,0,train
145258,C0022595,0,train
9814,C0019202,0,train
4935,C0019202,0,train
9656,C0019202,0,train
10519,C0019202,0,train
54874,C0019202,0,train
8900,C3495801,0,train
28996,C1859592,0,train
28996,C2750815,0,train
80705,C0035334,0,train
58487,C0035334,0,train
255488,C0035334,0,train
57658,C0035334,0,train
9126,C0035334,0,train
7015,C0035334,0,train
5091,C0035334,0,train
23761,C0035334,0,train
1431,C0035334,0,train
9,C0035334,0,train
7205,C0035334,0,train
972,C0035334,0,train
4087,C0035334,0,train
252969,C0035334,0,train
6125,C0035334,0,train
23380,C0035334,0,train
23484,C0035334,0,train
79602,C0035334,0,train
4741,C0035334,0,train
10477,C0035334,0,train
51474,C0035334,0,train
2665,C0035334,0,train
1213,C0035334,0,train
8399,C0035334,0,train
5099,C0035334,0,train
5293,C0035334,0,train
25766,C0035334,0,train
5453,C0035334,0,train
4588,C0035334,0,train
2668,C0035334,0,train
5201,C0035334,0,train
4326,C0035334,0,train
27071,C0035334,0,train
4223,C0035334,0,train
11193,C0035334,0,train
1793,C0035334,0,train
50484,C0035334,0,train
89858,C0035334,0,train
3766,C0035334,0,train
118460,C0035334,0,train
931,C0035334,0,train
3860,C0035334,0,train
10957,C0035334,0,train
65997,C0035334,0,train
90480,C0035334,0,train
440068,C0035334,0,train
30836,C0043459,0,train
6689,C0043459,0,train
8204,C0043459,0,train
140885,C0043459,0,train
92797,C0043459,0,train
9734,C0043459,0,train
51375,C0043459,0,train
10726,C0043459,0,train
54538,C0043459,0,train
57486,C0043459,0,train
5460,C0043459,0,train
1961,C0043459,0,train
55970,C0751594,0,train
6640,C0751594,0,train
54763,C0751594,0,train
5550,C0751594,0,train
79365,C0751594,0,train
27336,C0751594,0,train
2547,C0751594,0,train
5971,C0751594,0,train
1906,C0751594,0,train
285596,C0751594,0,train
55970,C3658299,0,train
6640,C3658299,0,train
54763,C3658299,0,train
5550,C3658299,0,train
79365,C3658299,0,train
27336,C3658299,0,train
2547,C3658299,0,train
5971,C3658299,0,train
1906,C3658299,0,train
285596,C3658299,0,train
28996,C1850569,0,train
898,C0342788,0,train
55832,C0011854,0,train
10519,C0011854,0,train
51187,C0011854,0,train
117154,C0011854,0,train
8513,C0011854,0,train
2131,C0011854,0,train
27130,C0011854,0,train
259266,C0011854,0,train
54776,C0011854,0,train
81793,C0011854,0,train
6385,C0011854,0,train
79602,C0011854,0,train
6877,C0011854,0,train
28996,C1854989,0,train
286826,C1843463,0,train
28996,C0017924,0,train
8567,C0410203,0,train
4208,C0410203,0,train
873,C0410203,0,train
3750,C0410203,0,train
8774,C0410203,0,train
9306,C0410203,0,train
159195,C0001973,0,train
7074,C0001973,0,train
163126,C0001973,0,train
7105,C0001973,0,train
2962,C0001973,0,train
27158,C0001973,0,train
4580,C0001973,0,train
169522,C0001973,0,train
203447,C0001973,0,train
80314,C0001973,0,train
5460,C0001973,0,train
6643,C0001973,0,train
10267,C0001973,0,train
3806,C0001973,0,train
51085,C0001973,0,train
4085,C0001973,0,train
4752,C0001973,0,train
114,C0001973,0,train
4250,C0001973,0,train
5319,C0001973,0,train
26517,C0001973,0,train
9118,C0001973,0,train
10741,C0001973,0,train
23555,C0001973,0,train
10605,C0001973,0,train
7597,C0001973,0,train
54892,C0001973,0,train
81876,C0001973,0,train
201176,C0001973,0,train
5745,C0001973,0,train
3902,C0001973,0,train
1298,C0001973,0,train
7547,C0001973,0,train
6473,C0001973,0,train
226,C0001973,0,train
51059,C0001973,0,train
63970,C0001973,0,train
400961,C0001973,0,train
23406,C0001973,0,train
3775,C0001973,0,train
8404,C0001973,0,train
3608,C0001973,0,train
3845,C0001973,0,train
5063,C0001973,0,train
8515,C0001973,0,train
9820,C0001973,0,train
3956,C0001973,0,train
79364,C0001973,0,train
6605,C0001973,0,train
5903,C0001973,0,train
5858,C0001973,0,train
10652,C0001973,0,train
1861,C0001973,0,train
5738,C0001973,0,train
9112,C0001973,0,train
650,C0001973,0,train
939,C0001973,0,train
53919,C0001973,0,train
8913,C0001973,0,train
10616,C0001973,0,train
80254,C0001973,0,train
7265,C0001973,0,train
2081,C0001973,0,train
5965,C0001973,0,train
1759,C0001973,0,train
30012,C0001973,0,train
11330,C0001973,0,train
6900,C0001973,0,train
51191,C0001973,0,train
8061,C0001973,0,train
1456,C0001973,0,train
56899,C0001973,0,train
83855,C0001973,0,train
817,C0001973,0,train
2232,C0001973,0,train
9501,C0001973,0,train
10282,C0001973,0,train
8939,C0001973,0,train
3674,C0001973,0,train
3824,C0001973,0,train
26270,C0001973,0,train
7004,C0001973,0,train
64218,C0001973,0,train
10653,C0001973,0,train
2549,C0001973,0,train
9212,C0001973,0,train
26278,C0001973,0,train
29966,C0001973,0,train
4782,C0001973,0,train
5898,C0001973,0,train
9862,C0001973,0,train
6373,C0001973,0,train
2060,C0001973,0,train
23533,C0001973,0,train
8192,C0001973,0,train
5350,C0001973,0,train
93663,C0001973,0,train
7005,C0001973,0,train
10288,C0001973,0,train
23641,C0001973,0,train
9751,C0001973,0,train
4681,C0001973,0,train
7075,C0001973,0,train
126282,C0001973,0,train
83746,C0001973,0,train
7184,C0001973,0,train
2692,C0001973,0,train
80142,C0001973,0,train
85359,C0001973,0,train
5828,C0001973,0,train
1737,C0001973,0,train
27297,C0001973,0,train
56917,C0001973,0,train
892,C0001973,0,train
7078,C0001973,0,train
3216,C0043346,0,train
6720,C0043346,0,train
379,C0043346,0,train
55224,C0043346,0,train
8660,C0004153,0,train
8997,C0004153,0,train
637,C0004153,0,train
2734,C0004153,0,train
433,C0004153,0,train
10610,C0004153,0,train
10309,C0004153,0,train
5162,C0004153,0,train
84461,C0032460,0,train
90627,C0032460,0,train
6271,C0032460,0,train
1795,C0032460,0,train
7514,C0032460,0,train
51548,C0032460,0,train
55920,C0032460,0,train
114571,C0032460,0,train
26232,C0032460,0,train
11102,C0032460,0,train
9775,C0032460,0,train
4707,C0032460,0,train
2550,C0032460,0,train
5270,C0032460,0,train
10951,C0032460,0,train
3065,C0032460,0,train
54903,C0032460,0,train
