ID,Term
GO:0007266,Rho Protein Signal Transduction
GO:0007613,Memory
GO:1902531,Regulation of Intracellular Signal Transduction
GO:0032434,Regulation of Proteasomal Ubiquitin-Dependent Protein Catabolic Process
GO:0021895,Cerebral Cortex Neuron Differentiation
GO:0045187,"Regulation of Circadian Sleep/Wake Cycle, Sleep"
GO:0033605,Positive Regulation of Catecholamine Secretion
GO:0035095,Behavioral Response to Nicotine
GO:0046184,Aldehyde Biosynthetic Process
GO:0071281,Cellular Response to Iron Ion
GO:0030665,Clathrin-Coated Vesicle Membrane
GO:0030659,Cytoplasmic Vesicle Membrane
GO:0030666,Endocytic Vesicle Membrane
GO:0030139,Endocytic Vesicle
GO:0030658,Transport Vesicle Membrane
GO:0030669,Clathrin-Coated Endocytic Vesicle Membrane
GO:0045334,Clathrin-Coated Endocytic Vesicle
GO:0032593,Insulin-Responsive Compartment
GO:1990712,HFE-transferrin Receptor Complex
GO:0055037,Recycling Endosome
