ID,Term
GO:0006936,Muscle Contraction
GO:0060391,Positive Regulation of SMAD Protein Signal Transduction
GO:0006285,"Base-Excision Repair, AP Site Formation"
GO:0060390,Regulation of SMAD Protein Signal Transduction
GO:0006304,DNA Modification
GO:0061036,Positive Regulation of Cartilage Development
GO:1902806,Regulation of Cell Cycle G1/S Phase Transition
GO:0003181,Atrioventricular Valve Morphogenesis
GO:0090100,+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway
GO:0001935,Endothelial Cell Proliferation
GO:0005922,Connexin Complex
GO:0005921,Gap Junction
GO:0043231,Intracellular Membrane-Bounded Organelle
GO:0005911,Cell-Cell Junction
GO:0005641,Nuclear Envelope Lumen
GO:0042105,Alpha-Beta T Cell Receptor Complex
GO:0044853,Plasma Membrane Raft
GO:0097651,"Phosphatidylinositol 3-Kinase Complex, Class I"
GO:0005943,"Phosphatidylinositol 3-Kinase Complex, Class IA"
GO:0030122,AP-2 Adaptor Complex
GO:0019104,DNA N-glycosylase Activity
GO:0016799,"Hydrolase Activity, Hydrolyzing N-glycosyl Compounds"
GO:0036122,BMP Binding
GO:0005243,Gap Junction Channel Activity
GO:0022829,Wide Pore Channel Activity
GO:0001099,Basal RNA Polymerase II Transcription Machinery Binding
GO:0015631,Tubulin Binding
GO:0046935,1-Phosphatidylinositol-3-Kinase Regulator Activity
GO:1903763,Gap Junction Channel Activity Involved in Cell Communication by Electrical Coupling
GO:0140008,Histone H4 Reader Activity
