diseaseID,GeneID,score
C0002395,84720,1.4633286
C0002395,84992,1.2880734
C0002395,5257,1.2719662
C0002395,84919,1.1132318
C0002395,779,1.0583795
C0002395,2707,1.0510558
C0002395,25942,1.0131701
C0002395,2548,1.007936
C0002395,4173,1.0068426
C0002395,10982,1.003408
C0002395,735,0.9960253
C0002395,668,0.99333155
C0002395,8481,0.9711144
C0002395,79092,0.9649681
C0002395,79912,0.96094424
C0002395,4595,0.9568865
C0002395,203068,0.92452455
C0002395,85439,0.92195886
C0002395,9049,0.91960144
C0002395,11155,0.915907
C0002395,22934,0.9145088
C0002395,8106,0.9079646
C0002395,1031,0.9023035
C0002395,1141,0.87300587
C0002395,29967,0.8712829
C0002395,10436,0.87002975
C0002395,168667,0.8662236
C0002395,4054,0.8520233
C0002395,3454,0.85161805
C0002395,5296,0.848434
C0002395,10804,0.8483063
C0002395,1066,0.8455197
C0002395,3818,0.84537685
C0002395,7137,0.84441376
C0002395,249,0.8407543
C0002395,79577,0.8388066
C0002395,54820,0.82862365
C0002395,10342,0.82843435
C0002395,1758,0.8259327
C0002395,140803,0.82365674
C0002395,7148,0.8236289
C0002395,55697,0.82291806
C0002395,23462,0.821542
C0002395,659,0.81864285
C0002395,7068,0.8166982
C0002395,629,0.81371343
C0002395,4913,0.8117964
C0002395,8200,0.81171024
C0002395,6872,0.80050826
C0002395,51371,0.797735
C0002395,9132,0.79195774
C0002395,29954,0.7854599
C0002395,11178,0.78377235
C0002395,57096,0.78172153
C0002395,6505,0.77966183
C0002395,6904,0.7744514
C0002395,55534,0.77310556
C0002395,9775,0.7650337
C0002395,653361,0.7634584
C0002395,242,0.7629475
C0002395,26278,0.7622329
C0002395,3651,0.7621275
C0002395,7466,0.7613817
C0002395,81620,0.7605524
C0002395,5313,0.7602187
C0002395,2161,0.7599163
C0002395,10000,0.7577967
C0002395,6905,0.75539464
C0002395,8573,0.75391996
C0002395,4758,0.75184464
C0002395,427,0.7483619
C0002395,51738,0.74504304
C0002395,1778,0.7428341
C0002395,5645,0.7426859
C0002395,3700,0.74109185
C0002395,54902,0.7399756
C0002395,1482,0.7378025
C0002395,658,0.7373206
C0002395,1369,0.7369433
C0002395,3060,0.7361412
C0002395,3785,0.7356285
C0002395,1129,0.7354635
C0002395,85440,0.73357326
C0002395,3972,0.7323031
C0002395,617,0.73092663
C0002395,3767,0.73073435
C0002395,10522,0.7307011
C0002395,4908,0.72606504
C0002395,11274,0.7258217
C0002395,84823,0.72422814
C0002395,84920,0.72407764
C0002395,3848,0.7240595
C0002395,26585,0.723248
C0002395,23495,0.72293246
C0002395,6900,0.7222558
C0002395,6135,0.7219096
C0002395,27022,0.72134197
C0002395,2535,0.7209704
C0002395,990,0.7209171
C0002395,2138,0.7196319
C0002395,222546,0.7169944
C0002395,8312,0.71591586
C0002395,3516,0.71453786
C0002395,10585,0.71446586
C0002395,717,0.71375906
C0002395,70,0.70984584
C0002395,8724,0.7091007
C0002395,54938,0.70865005
C0002395,5350,0.7085064
C0002395,9210,0.7060828
C0002395,10133,0.70564187
C0002395,6324,0.7056105
