GeneID,diseaseID,label,score
221037,C2936346,0,0.0
6239,C2936346,1,0.0
54931,C2936346,1,0.0
374900,C2936346,0,0.0
421,C3266101,0,0.0
6239,C3266101,1,0.0
55174,C3266101,1,0.0
9808,C3266101,0,0.0
5495,C4304537,1,0.0
9808,C4304537,0,0.0
9581,C4749458,0,0.0
9270,C4749458,1,0.0
64087,C0268600,1,0.09090909090909091
84525,C0268600,0,0.0
28952,C0796137,1,0.0
10569,C0796137,0,0.0
6845,C4510744,1,0.0
9808,C4510744,0,0.0
3973,C3489793,0,0.0
9270,C3489793,1,0.0
6210,C2931850,1,0.027777777777777776
11224,C2931850,1,0.013513513513513514
6235,C2931850,0,0.0036231884057971015
80333,C2931850,0,0.0
2110,C2931850,1,0.041666666666666664
7525,C2931850,0,0.0
867,C1563730,1,0.0
6947,C1563730,0,0.0
79783,C0270858,1,0.0
9808,C0270858,0,0.0
8772,C4049796,1,0.0
84525,C4049796,0,0.0
2806,C4022810,1,0.0
1781,C4022810,0,0.0
9808,C4022810,1,0.0
10498,C4022810,0,0.0
23291,C4021812,1,0.0
10569,C4021812,0,0.0
129285,C4018871,1,0.0
84525,C4018871,0,0.0
7703,C4021790,1,0.0
23512,C4021790,1,0.0
54931,C4021790,0,0.0
374900,C4021790,0,0.0
8295,C4021821,1,0.004524886877828055
84525,C4021821,0,0.0
84148,C4025846,1,0.0
9808,C4025846,0,0.0
9586,C0000809,1,0.0
84525,C0000809,0,0.0
8629,C0014553,0,0.0
9254,C0014553,1,0.0
9472,C0014553,0,0.0
140886,C0014553,1,0.0
8629,C4553705,0,0.0
51305,C4553705,0,0.0
9472,C4553705,1,0.0
140886,C4553705,1,0.0
1261,C0152200,1,0.0
2780,C0152200,1,0.058823529411764705
137735,C0152200,0,0.0
6947,C0152200,0,0.0
10320,C2936664,1,0.0
4791,C2936664,1,0.0
54931,C2936664,0,0.0
9808,C2936664,0,0.0
359,C0268443,0,0.0
9270,C0268443,1,0.0
10908,C0751449,1,0.0
10569,C0751449,0,0.0
2348,C0702169,0,0.0
4886,C0702169,1,0.0
57822,C0702169,1,0.0
635,C0702169,0,0.004545454545454545
24137,C0702169,0,0.0
1508,C0702169,1,0.0
6900,C0702169,1,0.05
5873,C0702169,0,0.0
2290,C0796147,1,0.0
10569,C0796147,0,0.0
4644,C3495588,1,0.058823529411764705
84525,C3495588,0,0.0
51715,C1275078,0,0.0
9270,C1275078,1,0.0
4745,C0030044,0,0.0
1947,C0030044,0,0.0
60529,C0030044,1,0.0
25988,C0030044,1,0.0
887,C0030044,1,0.0
9808,C0030044,0,0.0
55630,C0001197,1,0.0
929,C0001197,0,0.0
130340,C0392439,0,0.0
9270,C0392439,1,0.0
9049,C0001206,1,0.0
84525,C0001206,0,0.0
658,C2930970,1,0.043478260869565216
51284,C2930970,0,0.0
9719,C0265287,0,0.0
9270,C0265287,1,0.0
79798,C1857451,0,0.0
9270,C1857451,1,0.0
9049,C1306214,1,0.0
10569,C1306214,0,0.0
4758,C0751779,1,0.0
378884,C0751779,1,1.0
26278,C0751779,0,0.0
10225,C0751779,0,0.0
107987373,C0751779,0,0.0
113763,C0751779,1,0.0
10594,C0751956,0,0.0
5139,C0751956,1,0.0
463,C0751956,1,0.0
287,C0751956,0,0.0
3777,C0751956,0,0.004273504273504274
6947,C0751956,1,0.0
54809,C0751956,1,0.0037313432835820895
1048,C0751956,0,0.0
1111,C0751956,1,0.0
94030,C0751956,0,0.0
79783,C0521664,1,0.0
9808,C0521664,0,0.0
5649,C0546126,1,0.0
7018,C0546126,1,0.0
5819,C0546126,1,0.0
7167,C0546126,1,0.0
267,C0546126,1,0.0
57091,C0546126,0,0.0
3416,C0546126,0,0.0
3635,C0546126,1,0.0
945,C0546126,0,0.0
25921,C0546126,1,0.003875968992248062
51071,C0546126,0,0.0
219927,C0546126,0,0.0
112942,C0546126,0,0.0
3691,C0546126,1,0.0
126402,C0546126,1,0.0
5618,C0546126,0,0.0
259249,C0546126,0,0.0
26261,C0546126,0,0.0
7171,C0948089,1,0.0
5689,C0948089,1,0.0
3945,C0948089,1,0.01818181818181818
81027,C0948089,1,0.0
374969,C0948089,0,0.0
11177,C0948089,0,0.0
23199,C0948089,0,0.0
23612,C0948089,0,0.0
2057,C0023440,0,0.0
8073,C0023440,1,0.0
4928,C2930974,1,0.0
805,C2930974,0,0.0
4928,C2930975,1,0.0
805,C2930975,0,0.0
4928,C2930977,1,0.0
805,C2930977,0,0.0
10457,C2609414,1,0.0
4878,C2609414,0,0.0
2621,C2609414,1,0.0125
54600,C2609414,0,0.0
7018,C2609414,1,0.0
3048,C2609414,0,0.0
83451,C2609414,1,0.0
5193,C2609414,1,0.0
10276,C2609414,0,0.0
9678,C2609414,1,0.0
10592,C2609414,0,0.0
3698,C2609414,0,0.0
10457,C1565662,1,0.0
4878,C1565662,0,0.0
2621,C1565662,1,0.0125
54600,C1565662,0,0.0
7018,C1565662,1,0.0
3048,C1565662,0,0.0
83451,C1565662,1,0.0
5193,C1565662,1,0.0
10276,C1565662,0,0.0
9678,C1565662,1,0.0
10592,C1565662,0,0.0
3698,C1565662,0,0.0
2052,C0242488,0,0.003424657534246575
7032,C0242488,1,0.0
6947,C0242488,0,0.0
10498,C0242488,1,0.0
10320,C0023449,1,0.0
929,C0023449,0,0.0
57697,C0023465,1,0.3333333333333333
2188,C0023465,1,0.14285714285714285
51119,C0023465,1,0.0
10459,C0023465,1,0.0
162968,C0023465,0,0.0
18,C0023465,0,0.0
6364,C0023465,0,0.0
10475,C0023465,0,0.0
5457,C1879321,0,0.0034482758620689655
309,C1879321,0,0.0
1512,C1879321,1,0.0
11040,C1879321,0,0.0049261083743842365
8028,C1879321,0,0.0
4026,C1879321,1,0.0058823529411764705
4291,C1879321,0,0.0
3205,C1879321,1,0.0
2052,C1879321,0,0.0
4066,C1879321,1,0.010309278350515464
10919,C1879321,0,0.0
1052,C1879321,1,0.0
1269,C1879321,1,0.0
822,C1879321,1,0.0
928,C1879321,0,0.0
79750,C1879321,1,0.0
113540,C1879321,1,0.0
6598,C1879321,1,0.0
11127,C1879321,0,0.0
51676,C1879321,1,0.0
3516,C1879321,1,0.0
1514,C1879321,1,0.0
55798,C1879321,0,0.0
825,C1879321,1,0.0
219287,C1879321,0,0.0
11006,C1879321,0,0.0
7153,C1879321,0,0.0
785,C1879321,0,0.0
23746,C1879321,0,0.0
79924,C1879321,1,0.0
4928,C2930976,1,0.0
805,C2930976,0,0.0
5457,C0026998,0,0.0034482758620689655
309,C0026998,0,0.0
1512,C0026998,1,0.0
11040,C0026998,0,0.0049261083743842365
8028,C0026998,0,0.0
4026,C0026998,1,0.0058823529411764705
4291,C0026998,0,0.0
3205,C0026998,1,0.0
2052,C0026998,0,0.0
4066,C0026998,1,0.010309278350515464
10919,C0026998,0,0.0
1052,C0026998,1,0.0
1269,C0026998,1,0.0
822,C0026998,1,0.0
928,C0026998,0,0.0
79750,C0026998,1,0.0
113540,C0026998,1,0.0
6598,C0026998,1,0.0
11127,C0026998,0,0.0
51676,C0026998,1,0.0
3516,C0026998,1,0.0
1514,C0026998,1,0.0
55798,C0026998,0,0.0
825,C0026998,1,0.0
219287,C0026998,0,0.0
11006,C0026998,0,0.0
7153,C0026998,0,0.0
785,C0026998,0,0.0
23746,C0026998,0,0.0
79924,C0026998,1,0.0
4629,C0023479,1,0.0
10569,C0023479,0,0.0
5903,C4706387,1,0.0
84525,C4706387,0,0.0
64778,C0023487,0,0.0
1053,C0023487,0,0.0
4926,C0023487,1,0.0
374393,C0023487,1,0.00398406374501992
4542,C0023487,1,0.0
7136,C0023487,0,0.0
4047,C0519066,0,0.0
51284,C0519066,1,0.0
11330,C0267937,1,0.0
10569,C0267937,0,0.0
1152,C0857501,1,0.008928571428571428
84525,C0857501,0,0.0
57572,C0265268,1,0.0
9808,C0265268,0,0.0
57572,C4551482,1,0.0
9808,C4551482,0,0.0
23274,C0001403,0,0.0
8073,C0001403,1,0.0
5519,C0338106,1,0.0
10569,C0338106,0,0.0
56033,C0279628,1,0.0
23373,C0279628,0,0.0
5118,C0279628,1,0.0
9808,C0279628,0,0.0
6787,C1319315,1,0.0
5260,C1319315,1,0.0
156,C1319315,0,0.0
6872,C1319315,0,0.0
51086,C1319315,1,0.0
5378,C1319315,1,0.013333333333333334
5885,C1319315,1,0.0
389840,C1319315,1,0.0053475935828877
1024,C1319315,0,0.0
5426,C1319315,0,0.0
5157,C1319315,0,0.0
60401,C1319315,0,0.0
10938,C1319315,0,0.0
54870,C1319315,0,0.0
92714,C1319315,1,0.0
339965,C1319315,1,0.0
3488,C1319315,0,0.0
7478,C1319315,1,0.0
65220,C1319315,1,0.0
217,C1319315,1,0.0
4736,C1319315,0,0.0
4885,C1319315,0,0.0
9748,C0152013,1,0.0
226,C0152013,1,0.0
10922,C0152013,1,0.0055248618784530384
3843,C0152013,0,0.0
4342,C0152013,1,0.0
27102,C0152013,1,0.0
5092,C0152013,1,0.0
6470,C0152013,1,0.0
51280,C0152013,1,0.01282051282051282
6565,C0152013,1,0.0
6637,C0152013,1,0.0
140803,C0152013,0,0.0
6599,C0152013,1,0.0
4736,C0152013,1,0.0
28969,C0152013,1,0.0
814,C0152013,0,0.0
2182,C0152013,1,0.0
6241,C0152013,1,0.0
6795,C0152013,0,0.0
10452,C0152013,0,0.0
83743,C0152013,1,0.0
8761,C0152013,1,0.0
79711,C0152013,0,0.0
55342,C0152013,1,0.0
10360,C0152013,0,0.0
51592,C0152013,0,0.0
688,C0152013,0,0.0
7083,C0152013,1,0.0
51081,C0152013,1,0.0
1003,C0152013,1,0.0
157378,C0152013,0,0.0
2760,C0152013,0,0.0
22877,C0152013,0,0.0
80024,C0152013,0,0.0
51621,C0152013,0,0.0
84298,C0152013,0,0.0
54431,C0152013,1,0.0
84830,C0152013,1,0.0
143244,C0152013,1,0.0
54863,C0152013,0,0.0
121340,C0152013,0,0.0
115948,C0152013,0,0.0
81889,C0152013,0,0.0
133619,C0152013,1,0.0
2026,C0152013,0,0.0
79733,C0152013,1,0.0
23466,C0152013,1,0.0
3001,C0152013,0,0.037037037037037035
203859,C0152013,0,0.0
6457,C0152013,0,0.0
5271,C0152013,1,0.0
54814,C0152013,0,0.0
222389,C0152013,0,0.0
283459,C0152013,0,0.0
9696,C0152013,0,0.0
79339,C0152013,0,0.0
1316,C0007112,1,0.0
2175,C0007112,0,0.0
137735,C0007112,1,0.0
9808,C0007112,0,0.0
6599,C0205641,1,0.0
242,C0205641,1,0.0
2886,C0205641,1,0.0
563,C0205641,0,0.0
1938,C0205641,1,0.0
1548,C0205641,0,0.0
3312,C0205641,0,0.0
79633,C0205641,1,0.0
1592,C0205641,0,0.0
26050,C0205641,1,0.0
6943,C0205641,0,0.0
51230,C0205641,1,0.0
8833,C0205641,1,0.0
6674,C0205641,0,0.0
64857,C0205641,1,0.0
55220,C0205641,0,0.0
25791,C0205641,0,0.0
89845,C0205641,0,0.0
6599,C0205642,1,0.0
242,C0205642,1,0.0
2886,C0205642,1,0.0
563,C0205642,0,0.0
1938,C0205642,1,0.0
1548,C0205642,0,0.0
3312,C0205642,0,0.0
79633,C0205642,1,0.0
1592,C0205642,0,0.0
26050,C0205642,1,0.0
6943,C0205642,0,0.0
51230,C0205642,1,0.0
8833,C0205642,1,0.0
6674,C0205642,0,0.0
64857,C0205642,1,0.0
55220,C0205642,0,0.0
25791,C0205642,0,0.0
89845,C0205642,0,0.0
6599,C0205645,1,0.0
242,C0205645,1,0.0
2886,C0205645,1,0.0
563,C0205645,0,0.0
1938,C0205645,1,0.0
1548,C0205645,0,0.0
3312,C0205645,0,0.0
79633,C0205645,1,0.0
1592,C0205645,0,0.0
26050,C0205645,1,0.0
6943,C0205645,0,0.0
51230,C0205645,1,0.0
8833,C0205645,1,0.0
6674,C0205645,0,0.0
64857,C0205645,1,0.0
55220,C0205645,0,0.0
25791,C0205645,0,0.0
89845,C0205645,0,0.0
4781,C0010606,1,0.0
2982,C0010606,1,0.008849557522123894
4082,C0010606,0,0.0
3691,C0010606,0,0.024390243902439025
9863,C0010606,1,0.004016064257028112
5591,C0010606,0,0.0
55534,C0010606,1,0.0
6605,C0010606,1,0.0
51477,C0010606,0,0.0
23209,C0010606,1,0.0
23543,C0010606,0,0.0
54756,C0010606,0,0.0
23135,C0010606,0,0.0
253558,C0010606,0,0.0
51699,C0010606,1,0.0
7322,C0010606,0,0.0
127343,C0010606,1,0.0
150223,C0010606,1,0.0
5550,C0010606,1,0.0
7695,C0010606,0,0.0
2235,C0010606,1,0.0
10636,C0010606,1,0.0
90589,C0010606,0,0.0
1821,C0010606,0,0.0
55929,C0010606,1,0.0
10489,C0010606,0,0.0
7296,C0205646,1,0.0
6573,C0205646,1,0.0
492,C0205646,1,0.0
5757,C0205646,0,0.0
1428,C0205646,0,0.0
9310,C0205646,0,0.0
113763,C0205646,0,0.0
10417,C0205646,1,0.0
7296,C0205648,1,0.0
6573,C0205648,1,0.0
492,C0205648,1,0.0
5757,C0205648,0,0.0
1428,C0205648,0,0.0
9310,C0205648,0,0.0
113763,C0205648,0,0.0
10417,C0205648,1,0.0
7296,C0205649,1,0.0
6573,C0205649,1,0.0
492,C0205649,1,0.0
5757,C0205649,0,0.0
1428,C0205649,0,0.0
9310,C0205649,0,0.0
113763,C0205649,0,0.0
10417,C0205649,1,0.0
7296,C0205651,1,0.0
6573,C0205651,1,0.0
492,C0205651,1,0.0
5757,C0205651,0,0.0
1428,C0205651,0,0.0
9310,C0205651,0,0.0
113763,C0205651,0,0.0
10417,C0205651,1,0.0
3700,C0032580,0,0.0
26585,C0032580,1,0.0
345651,C0032580,1,0.0
64096,C0032580,0,0.0
272,C2931781,0,0.0
9270,C2931781,1,0.0
359,C3542500,0,0.0
9270,C3542500,1,0.0
2798,C0750887,0,0.0
929,C0750887,1,0.0
5567,C0206667,0,0.0
929,C0206667,1,0.0
6240,C0206686,0,0.0
10569,C0206686,1,0.0
5189,C0162309,1,0.125
6947,C0162309,0,0.0
51268,C0282525,1,0.07142857142857142
3295,C0282525,1,0.017543859649122806
5193,C0282525,0,0.0
10225,C0282525,0,0.0
107987373,C0282525,0,0.0
11214,C0282525,1,1.0
215,C1527231,1,0.047619047619047616
929,C1527231,0,0.0
6569,C0341703,1,0.0
9808,C0341703,0,0.0
7139,C0751172,0,0.0
10569,C0751172,1,0.0
8312,C0279607,1,0.009615384615384616
84525,C0279607,0,0.0
5966,C0220597,1,0.0
9808,C0220597,0,0.0
1308,C0268374,1,0.07692307692307693
9808,C0268374,0,0.0
8019,C0278876,0,0.0
5015,C0278876,1,0.0
6281,C0278876,1,0.0
92335,C0278876,1,0.0
23081,C0278876,1,0.0
5680,C0278876,0,0.0
9991,C0278876,1,0.0
729830,C0278876,0,0.0
10815,C0278876,0,0.0
10744,C0278876,0,0.0
