GeneID,diseaseID,label,score
221037,C2936346,1,0.0
7290,C2936346,1,0.0
343099,C2936346,0,0.0
90874,C2936346,0,0.0
7290,C3266101,0,0.0
2548,C3266101,1,0.0
79823,C4304537,0,0.0
2548,C4304537,1,1.0
9581,C4749458,0,0.0
3250,C4749458,1,0.14285714285714285
64087,C0268600,0,0.0
341,C0268600,1,0.25
6845,C4510744,1,0.0
83744,C4510744,0,0.0
3973,C3489793,1,0.0
3250,C3489793,0,0.0
6232,C2931850,1,0.010869565217391304
6235,C2931850,1,0.01098901098901099
6210,C2931850,1,0.00909090909090909
973,C2931850,0,0.0
10446,C2931850,0,0.0
51700,C2931850,0,0.0
2879,C1563730,0,0.0
57826,C1563730,1,0.009174311926605505
9457,C0270858,0,0.0
138050,C0270858,1,0.0
1024,C4049796,0,0.0
3250,C4049796,1,0.0
5515,C4022810,1,0.0
23162,C4022810,0,0.0
9662,C4022810,0,0.0
23551,C4022810,1,0.0
23291,C4021812,1,0.0
4018,C4021812,0,0.0
23512,C4018871,1,0.0
3250,C4018871,0,0.0
54499,C4021790,0,0.0
26173,C4021790,1,0.0
6505,C4021790,0,0.0
95681,C4021790,1,0.0
8295,C4021821,1,0.0
3250,C4021821,0,0.0
84148,C4025846,0,0.0
2548,C4025846,1,0.0
50511,C0000809,0,0.0
3250,C0000809,1,0.0
9254,C0014553,1,0.02631578947368421
57826,C0014553,0,0.0
9254,C4553705,1,0.02631578947368421
57826,C4553705,0,0.0
22926,C0152200,1,0.0
5149,C0152200,0,0.0
6505,C0152200,0,0.0
54930,C0152200,1,1.0
115650,C2936664,1,0.058823529411764705
29851,C2936664,0,0.0
29124,C2936664,0,0.0
10382,C2936664,1,0.0
359,C0268443,1,0.16666666666666666
4018,C0268443,0,0.0
6342,C0751449,1,0.0
3250,C0751449,0,0.0
5652,C0702169,1,0.0
6497,C0702169,0,0.0
7546,C0702169,0,0.0
2348,C0702169,1,0.0
643226,C0702169,1,0.0
11160,C0702169,0,0.0
9857,C0702169,0,0.0
25796,C0702169,1,0.0
374654,C0796147,0,0.0
341,C0796147,1,0.0
4644,C3495588,1,0.07692307692307693
4018,C3495588,0,0.0
51715,C1275078,0,0.010101010101010102
341,C1275078,1,0.0
4745,C0030044,1,0.0
4091,C0030044,0,0.0
10382,C0030044,0,0.0
23551,C0030044,1,0.0
55630,C0001197,1,0.0
83744,C0001197,0,0.0
130340,C0392439,1,0.0
3250,C0392439,0,0.0
8200,C2930970,1,0.03225806451612903
83744,C2930970,0,0.0
4054,C0265287,0,0.004329004329004329
341,C0265287,1,0.0
2642,C1857451,1,0.0
3250,C1857451,0,0.0
9049,C1306214,0,0.0
3250,C1306214,1,0.0
9570,C0751779,1,0.0
57465,C0751779,0,0.0
5274,C0751779,1,0.0
933,C0751779,1,0.0
10446,C0751779,0,0.0
51700,C0751779,0,0.0
1482,C0751956,1,0.0
7941,C0751956,1,0.0
3777,C0751956,1,0.0
463,C0751956,0,0.0
10594,C0751956,0,0.0
8091,C0751956,1,0.0
55957,C0751956,0,0.0
26060,C0751956,0,0.0
199692,C0751956,0,0.0
317649,C0751956,1,0.0
9457,C0521664,0,0.0
138050,C0521664,1,0.0
1965,C0546126,0,0.01098901098901099
27328,C0546126,1,0.0
9510,C0546126,1,0.0
57091,C0546126,0,0.0
3635,C0546126,1,0.0
341,C0546126,0,0.0
6517,C0546126,0,0.0
1808,C0546126,1,0.0
7447,C0546126,1,0.0
8322,C0546126,0,0.0
55209,C0546126,1,0.0
54069,C0546126,0,0.0
6191,C0546126,0,0.0
23765,C0546126,1,0.0
5502,C0546126,1,0.0
80135,C0546126,0,0.0
10885,C0546126,1,0.0
55815,C0546126,0,0.0
397,C0948089,0,0.0
3945,C0948089,1,0.0
81027,C0948089,1,0.0
338382,C0948089,1,0.0
795,C0948089,1,0.0
5563,C0948089,0,0.0
3300,C0948089,0,0.0
164668,C0948089,0,0.0
2057,C0023440,1,0.0
83744,C0023440,0,0.0
3219,C2930974,0,0.0
