GeneID,diseaseID,label,score
221037,C2936346,1,0.00012992392060070835
7290,C2936346,1,0.00019207299076895063
343099,C2936346,0,9.599586020689405e-06
90874,C2936346,0,3.190500907699442e-05
7290,C3266101,0,0.0002609492203576986
2548,C3266101,1,0.00020307528987228193
79823,C4304537,0,0.00014294900732638626
2548,C4304537,1,0.015789723736121093
9581,C4749458,0,5.455844683622973e-05
3250,C4749458,1,0.00919456308823995
64087,C0268600,0,7.102965625458452e-05
341,C0268600,1,0.007142345105367734
6845,C4510744,1,0.00014126752374528246
83744,C4510744,0,6.36280420276009e-06
3973,C3489793,1,0.00017683440494334219
3250,C3489793,0,9.079865608440292e-05
6232,C2931850,1,0.001603073989756941
6235,C2931850,1,0.0016266510867386404
6210,C2931850,1,0.0014212868716672053
973,C2931850,0,0.0006704374863418592
10446,C2931850,0,0.0003126323520499185
51700,C2931850,0,8.699688885030589e-05
2879,C1563730,0,0.00026401799415431065
57826,C1563730,1,0.0005883748516550539
9457,C0270858,0,0.00019259020433892157
138050,C0270858,1,8.920523723609328e-05
1024,C4049796,0,7.86429154714161e-05
3250,C4049796,1,8.714374672954913e-05
5515,C4022810,1,0.0005004245141260926
23162,C4022810,0,0.0005393159622198528
9662,C4022810,0,0.00021448408746935804
23551,C4022810,1,0.0005216753287598857
23291,C4021812,1,2.724557839973396e-05
4018,C4021812,0,3.803386208892866e-05
23512,C4018871,1,1.8366506427837677e-05
3250,C4018871,0,1.5157018893690553e-05
54499,C4021790,0,0.0004231479038262034
26173,C4021790,1,0.00048471979157594915
6505,C4021790,0,0.00011205385486602564
95681,C4021790,1,0.0002426480816431259
8295,C4021821,1,0.00012342366421776683
3250,C4021821,0,3.456182793396037e-05
84148,C4025846,0,0.00028066930691929406
2548,C4025846,1,0.00021474448231611655
50511,C0000809,0,9.768553427330261e-05
3250,C0000809,1,8.634159518245163e-05
9254,C0014553,1,0.0013509272661176464
57826,C0014553,0,0.00022627742782447462
9254,C4553705,1,0.0013509272661176464
57826,C4553705,0,0.00022627742782447462
22926,C0152200,1,0.0003337054027215201
5149,C0152200,0,0.0005833572280891402
6505,C0152200,0,0.00015243280833147557
54930,C0152200,1,0.026804864547743213
115650,C2936664,1,0.001057533388597675
29851,C2936664,0,0.0003778256835496668
29124,C2936664,0,8.363986430771554e-05
10382,C2936664,1,0.0005381729085272019
359,C0268443,1,0.00014318580087621148
4018,C0268443,0,9.516991790602752e-05
6342,C0751449,1,8.139610951189528e-05
3250,C0751449,0,0.000355834903533041
5652,C0702169,1,0.0009832034666365534
6497,C0702169,0,0.0008199671652412555
7546,C0702169,0,0.0009301742556595075
2348,C0702169,1,0.0009397290584932946
643226,C0702169,1,0.0005676773410287633
11160,C0702169,0,0.0004371617988892724
9857,C0702169,0,9.475935759729964e-05
25796,C0702169,1,0.03596492858084216
374654,C0796147,0,6.388877509580948e-05
341,C0796147,1,6.944502978789124e-05
4644,C3495588,1,0.00029256063987745504
4018,C3495588,0,9.000764211539739e-05
51715,C1275078,0,6.991131796087276e-05
341,C1275078,1,7.194844214087099e-05
4745,C0030044,1,0.0006249114827663031
4091,C0030044,0,0.0006457361934891915
10382,C0030044,0,0.000242310363013552
23551,C0030044,1,0.00027275434510516704
55630,C0001197,1,3.9687693182664705e-05
83744,C0001197,0,6.475995144384582e-06
130340,C0392439,1,5.455817971981481e-05
3250,C0392439,0,6.386989140769144e-05
8200,C2930970,1,0.0024734779098843744
83744,C2930970,0,5.218709527961431e-06
4054,C0265287,0,9.938648824366612e-05
341,C0265287,1,8.515226056099077e-05
2642,C1857451,1,5.622443962488377e-05
3250,C1857451,0,1.3882236041666466e-05
9049,C1306214,0,7.871568350200956e-05
3250,C1306214,1,6.669343664757635e-05
9570,C0751779,1,0.0007043530226077614
57465,C0751779,0,0.0006118720108463744
5274,C0751779,1,0.00037733512214765697
933,C0751779,1,0.0002668283237211799
10446,C0751779,0,0.0004064843233869131
51700,C0751779,0,0.0001385790722285505
1482,C0751956,1,0.0009713416552041745
7941,C0751956,1,0.0014329522737717509
3777,C0751956,1,0.0020914368380866685
463,C0751956,0,0.0010189063860489601
10594,C0751956,0,0.0009741862716975476
8091,C0751956,1,0.0010153038976108068
55957,C0751956,0,0.0009647954215860652
26060,C0751956,0,0.00012013925771605317
199692,C0751956,0,0.00121543873192443
317649,C0751956,1,0.00033523322696787054
9457,C0521664,0,0.00019259020433892157
138050,C0521664,1,8.920523723609328e-05
1965,C0546126,0,0.0029184187194686313
27328,C0546126,1,0.0026815116609460133
9510,C0546126,1,0.003080233930959154
57091,C0546126,0,0.0022975618497484986
3635,C0546126,1,0.002289359436612058
341,C0546126,0,0.0022175500934675154
6517,C0546126,0,0.0021784821688050123
1808,C0546126,1,0.01552428477069689
7447,C0546126,1,0.00309363453140194
8322,C0546126,0,0.0024472862066086767
55209,C0546126,1,0.0016855065945382676
54069,C0546126,0,0.0017035092738063268
6191,C0546126,0,0.0026266503836968455
23765,C0546126,1,0.0024134741762408206
5502,C0546126,1,0.0030779387856956692
80135,C0546126,0,0.0011498012825813086
10885,C0546126,1,0.0001437294118489655
55815,C0546126,0,0.0002817772066799678
397,C0948089,0,0.001033666362152128
3945,C0948089,1,0.001051190617929327
81027,C0948089,1,0.0011752231159427994
338382,C0948089,1,0.0014558535609810656
795,C0948089,1,0.002733768415363232
5563,C0948089,0,0.0006649152885098468
3300,C0948089,0,0.001311644949482384
164668,C0948089,0,0.0004951286149506626
2057,C0023440,1,0.00012427318997805962
83744,C0023440,0,4.5457272902740525e-06
3219,C2930974,0,8.008598532940897e-06
7711,C2930974,1,4.069293627438495e-05
3219,C2930975,0,8.008598532940897e-06
7711,C2930975,1,4.069293627438495e-05
3219,C2930977,0,8.008598532940897e-06
7711,C2930977,1,4.069293627438495e-05
6556,C2609414,1,0.002133701915953795
7018,C2609414,1,0.0018390268007694186
2,C2609414,0,0.0015398187621487266
10457,C2609414,0,0.001678935002276691
1839,C2609414,0,0.001762694865823533
10411,C2609414,1,0.0018074061679272605
86,C2609414,1,0.0022175539179684267
4861,C2609414,1,0.002008221061494624
140901,C2609414,0,0.0014566647586945181
8835,C2609414,1,0.001571763981713085
3257,C2609414,0,0.00043884177741760944
22934,C2609414,0,0.0005046276395228648
6556,C1565662,1,0.002133701915953795
7018,C1565662,1,0.0018390268007694186
2,C1565662,0,0.0015398187621487266
10457,C1565662,0,0.001678935002276691
1839,C1565662,0,0.001762694865823533
10411,C1565662,1,0.0018074061679272605
86,C1565662,1,0.0022175539179684267
4861,C1565662,1,0.002008221061494624
140901,C1565662,0,0.0014566647586945181
8835,C1565662,1,0.001571763981713085
3257,C1565662,0,0.00043884177741760944
22934,C1565662,0,0.0005046276395228648
4638,C0242488,1,0.0007065633425990267
2920,C0242488,0,0.000545121008085591
84902,C0242488,1,0.0005806575857378986
23551,C0242488,0,0.0002621616525516252
10019,C0023449,1,0.0016925344625073346
83744,C0023449,0,1.2792185310093246e-05
641,C0023465,0,0.0012028570653395902
2176,C0023465,1,0.001954179538184873
29089,C0023465,1,0.0023177880815429862
51119,C0023465,1,0.002200685597699285
795,C0023465,0,0.0002680257525048322
6400,C0023465,1,0.0011682108634006485
3300,C0023465,0,0.0010359289544076935
54360,C0023465,0,0.00028990414335348697
64324,C1879321,1,0.004957005166793868
307,C1879321,0,0.004230769584086704
481,C1879321,1,0.004563637335320767
81552,C1879321,0,0.004498157952236124
7837,C1879321,0,0.004480472018713234
60468,C1879321,0,0.00041057113989250766
2969,C1879321,0,0.004809225975248869
10125,C1879321,1,0.005907034453592894
375790,C1879321,1,0.004595136262688233
3398,C1879321,0,0.004603511437696493
824,C1879321,0,0.0010127565137307056
8021,C1879321,1,0.0046512703602335625
8301,C1879321,1,0.0030321751281198774
51341,C1879321,1,0.004848682621438121
30845,C1879321,1,0.01539167434316516
26503,C1879321,0,0.004693868151622217
84266,C1879321,0,0.004543704786406508
6293,C1879321,0,0.002171761774782641
113540,C1879321,0,0.004326862956854452
23676,C1879321,0,0.005247747756926342
8924,C1879321,1,0.0035713459034198676
393,C1879321,1,0.00015508134861986125
4604,C1879321,1,0.008371622288624132
161514,C1879321,1,0.0006139031644683557
84148,C1879321,0,0.004120921791060633
7764,C1879321,0,0.0030275510435665886
7161,C1879321,1,0.004533528231790219
9828,C1879321,1,0.0029789383285088035
5243,C1879321,0,0.0007361557605367726
4826,C1879321,1,0.005798087436916633
3219,C2930976,0,8.008598532940897e-06
7711,C2930976,1,4.069293627438495e-05
64324,C0026998,1,0.004957005166793868
307,C0026998,0,0.004230769584086704
481,C0026998,1,0.004563637335320767
81552,C0026998,0,0.004498157952236124
7837,C0026998,0,0.004480472018713234
