GeneID,diseaseID,label,score
1482,C0027126,1,3.0034554
238,C0027126,0,-0.061687153
84171,C0005684,1,0.05811163
5646,C0005684,1,-0.12608781
2186,C0005684,1,0.5306305
8243,C0005684,1,2.467926
3488,C0005684,1,1.0257045
5690,C0005684,1,0.092418216
7799,C0005684,1,0.8615999
4016,C0005684,1,1.2532978
3670,C0005684,1,1.0138148
142678,C0005684,0,1.5243421
171017,C0005684,0,0.25113982
10980,C0005684,0,1.7486491
27339,C0005684,0,0.4549261
29057,C0005684,0,-0.115842015
55588,C0005684,0,-0.24212651
5867,C0005684,0,0.0388923
10814,C0005684,0,1.7797928
1759,C0005684,0,0.96609944
84171,C0005695,1,-0.13813196
5646,C0005695,1,-0.42292702
2186,C0005695,1,0.29368615
8243,C0005695,1,2.5064492
3488,C0005695,1,0.9969367
5690,C0005695,1,-0.098764874
7799,C0005695,1,1.0359788
4016,C0005695,1,1.2446667
3670,C0005695,1,0.87367207
142678,C0005695,0,1.2826422
171017,C0005695,0,0.24870734
10980,C0005695,0,1.698433
27339,C0005695,0,0.29208696
29057,C0005695,0,-0.30329296
55588,C0005695,0,-0.3885752
5867,C0005695,0,-0.08335166
10814,C0005695,0,1.9818631
1759,C0005695,0,1.1745869
6870,C0020619,1,2.2692301
2796,C0020619,1,2.8950481
7203,C0020619,0,-0.92375416
9619,C0020619,0,1.6378034
285025,C0342384,1,-0.28777772
2796,C0342384,1,3.2301974
2798,C0342384,1,2.6066654
8997,C0342384,0,-1.0155357
8660,C0342384,0,1.1951929
5213,C0342384,0,0.46638733
3679,C1263858,1,1.4854438
284,C1263858,0,-1.349562
5649,C0020179,1,2.388058
51447,C0020179,1,-0.2175141
1827,C0020179,1,3.039293
253980,C0020179,0,-0.8287308
875,C0020179,0,-0.30696937
5020,C0020179,0,2.6282809
1053,C0023487,1,1.8799936
23604,C0023487,1,-0.4758448
1668,C0023487,1,-1.3640249
2779,C0023487,0,1.7943518
5757,C0023487,0,2.780905
51378,C0023487,0,-1.5160936
2784,C0085580,1,1.6021489
481,C0085580,1,0.7728629
28996,C0085580,0,1.3388462
374403,C0085580,0,-0.4808009
51778,C0007194,1,1.0119798
3920,C0007194,1,2.485701
7137,C0007194,1,3.4708207
84665,C0007194,1,1.6554608
4607,C0007194,1,4.018958
7125,C0007194,1,0.28915933
23493,C0007194,1,1.6655433
2029,C0007194,0,0.67817587
162417,C0007194,0,0.43499857
7089,C0007194,0,0.9848417
2054,C0007194,0,0.23386599
4089,C0007194,0,0.35017174
6272,C0007194,0,1.047719
65997,C0007194,0,-0.6822234
291,C0949658,1,1.6756642
4633,C0949658,1,3.8886342
4208,C0949658,0,1.5883045
9619,C0949658,0,1.7725658
4625,C3495498,1,3.456952
2324,C3495498,0,-1.2158514
1051,C0034069,1,0.19014367
6649,C0034069,1,2.370653
26585,C0034069,1,1.676565
2920,C0034069,1,2.347876
9166,C0034069,0,-1.2759823
80149,C0034069,0,-0.42199874
116844,C0034069,0,-1.0676821
4087,C0034069,0,-0.75771755
10518,C3711374,1,2.835149
152137,C3711374,1,0.73070055
64072,C3711374,1,3.6341636
4647,C3711374,1,3.017132
9455,C3711374,1,2.4605746
56616,C3711374,1,1.0729787
5962,C3711374,1,0.20427465
306,C3711374,0,-0.7285009
12,C3711374,0,0.24180996
6011,C3711374,0,0.87296766
85021,C3711374,0,1.2365887
63971,C3711374,0,0.74690443
54903,C3711374,0,3.3436673
