GeneID,diseaseID,label,score
140628,C1260873,1,3.470252
4091,C1260873,1,3.3807237
1482,C1260873,1,3.232527
9533,C1260873,0,0.7810127
30812,C1260873,0,2.146945
238,C1260873,0,0.20874679
9604,C1260873,0,1.611993
2908,C1260873,0,1.4052504
8031,C1260873,0,2.9972084
1778,C0003886,1,2.748213
477,C0003886,1,1.022027
7169,C0003886,1,2.918176
7140,C0003886,1,0.4508068
4649,C0003886,1,1.5334276
7136,C0003886,1,1.8918333
26276,C0003886,1,0.32050842
2074,C0003886,1,2.4664407
23299,C0003886,1,0.78778845
23355,C0003886,1,0.056819353
1146,C0003886,1,0.7481092
10309,C0003886,0,0.54074883
3916,C0003886,0,-0.03228255
3164,C0003886,0,1.8732697
488,C0003886,0,2.3676937
4974,C0003886,0,0.07818382
5597,C0003886,0,0.58243084
668,C0003886,0,2.8779547
5097,C0003886,0,0.5824479
9158,C0003886,0,0.8919746
1947,C0003886,0,0.3197612
2978,C0003886,0,0.7254584
9604,C0003886,0,1.7000566
2908,C0003886,0,1.4311228
8031,C0003886,0,3.1637416
2099,C0003886,0,0.97662324
7324,C0003886,0,2.1317968
367,C0003886,0,1.2807274
55585,C0003886,0,-0.6420274
10273,C0003886,0,-0.017546529
9921,C0003886,0,1.3934499
1915,C0003886,0,0.22640839
7088,C0003886,0,1.2136722
6446,C0271674,1,3.6881588
1129,C0271674,1,3.8173316
4908,C0271674,1,4.068136
2915,C0271674,1,3.8162045
7428,C0271674,0,0.9975815
3764,C0271674,0,2.6196847
6868,C0271674,0,2.3886917
51560,C0271674,0,0.6854738
9604,C0271674,0,1.5857283
2908,C0271674,0,1.3699923
8031,C0271674,0,3.0196266
2099,C0271674,0,0.9421809
115352,C0920350,1,1.3947276
28996,C0920350,0,1.0245979
9604,C0920350,0,1.5794843
4633,C0949658,1,2.9712873
291,C0949658,1,2.8008342
7168,C0949658,1,2.2113218
7137,C0949658,1,2.6386852
7139,C0949658,1,3.3456964
57158,C0949658,1,1.91685
4607,C0949658,1,3.272771
3920,C0949658,1,2.2729323
4625,C0949658,1,3.83284
1512,C0949658,0,3.6542897
2167,C0949658,0,0.8190973
3750,C0949658,0,0.079828024
27243,C0949658,0,-0.40830305
8567,C0949658,0,0.27684575
4208,C0949658,0,1.0183913
6318,C0949658,0,0.479008
9619,C0949658,0,0.5434197
26056,C0949658,0,0.6336078
9604,C0949658,0,1.6511259
2908,C0949658,0,1.3944482
8031,C0949658,0,3.109212
2099,C0949658,0,0.9573686
7324,C0949658,0,2.0572045
367,C0949658,0,1.247866
55585,C0949658,0,-0.60579324
10273,C0949658,0,-0.09131511
9921,C0949658,0,1.378734
10063,C0520463,1,3.2904608
475,C0520463,1,4.1738124
27232,C0520463,1,3.2262216
150684,C0520463,1,2.8445733
59,C0520463,1,4.495421
9973,C0520463,1,3.1885638
9788,C0520463,0,0.4901129
374403,C0520463,0,-0.07280456
28996,C0520463,0,1.0119449
8425,C0520463,0,2.3970933
9568,C0520463,0,2.044881
1429,C0520463,0,1.5954199
9604,C0520463,0,1.5631862
2908,C0520463,0,1.3523024
8031,C0520463,0,3.0106306
2099,C0520463,0,0.91920936
7324,C0520463,0,2.0074434
367,C0520463,0,1.2145652
6446,C0271685,1,3.689452
1129,C0271685,1,3.8176596
4908,C0271685,1,4.0692573
2915,C0271685,1,3.8174396
7428,C0271685,0,0.9989799
3764,C0271685,0,2.6193352
6868,C0271685,0,2.3899806
51560,C0271685,0,0.6858894
9604,C0271685,0,1.5861342
2908,C0271685,0,1.3713199
8031,C0271685,0,3.01985
2099,C0271685,0,0.94368595
6446,C0393835,1,3.6888292
1129,C0393835,1,3.8181913
4908,C0393835,1,4.069226
2915,C0393835,1,3.81695
7428,C0393835,0,0.998003
3764,C0393835,0,2.6204526
6868,C0393835,0,2.388778
51560,C0393835,0,0.6854978
9604,C0393835,0,1.5852239
2908,C0393835,0,1.3703929
8031,C0393835,0,3.0197275
2099,C0393835,0,0.9425822
6446,C0271686,1,3.6876054
1129,C0271686,1,3.8169403
4908,C0271686,1,4.0680776
2915,C0271686,1,3.8152146
7428,C0271686,0,0.99676853
3764,C0271686,0,2.6186197
6868,C0271686,0,2.387773
51560,C0271686,0,0.68441087
9604,C0271686,0,1.5842607
2908,C0271686,0,1.3691132
8031,C0271686,0,3.0189435
2099,C0271686,0,0.9415178
6446,C0271678,1,3.6901062
1129,C0271678,1,3.8192914
4908,C0271678,1,4.070042
2915,C0271678,1,3.818301
7428,C0271678,0,0.9991973
3764,C0271678,0,2.6217473
6868,C0271678,0,2.3902605
51560,C0271678,0,0.68692166
9604,C0271678,0,1.5872824
2908,C0271678,0,1.3717673
8031,C0271678,0,3.021467
2099,C0271678,0,0.94399554
116443,C0242350,1,1.5278796
8654,C0242350,1,-0.5812736
284,C0242350,0,0.082964316
286826,C0242350,0,0.03605458
9604,C0242350,0,1.5039307
2908,C0242350,0,1.3255503
226,C0272066,1,2.3396595
28996,C0272066,0,1.1381271
9604,C0272066,0,1.7155912
23560,C0022661,1,0.30457854
1839,C0022661,1,2.2385924
9619,C0022661,1,0.55064934
6582,C0022661,1,2.0233154
949,C0022661,1,3.2465563
3156,C0022661,1,1.129352
4627,C0022661,1,2.4855006
1374,C0022661,1,2.9369116
6721,C0022661,1,1.9471737
6720,C0022661,1,3.6291327
6569,C0022661,1,1.6708637
4481,C0022661,1,1.6563104
2168,C0022661,1,3.1517494
873,C0022661,1,1.0931369
51094,C0022661,1,1.315288
1535,C0022661,1,4.472682
51726,C0022661,1,1.0726583
2981,C0022661,1,0.67589957
653361,C0022661,1,4.7449484
51085,C0022661,1,3.001884
4438,C0022661,0,1.1109843
10566,C0022661,0,-0.08193957
26260,C0022661,0,0.85715765
4089,C0022661,0,1.2370934
9535,C0022661,0,-0.143187
5757,C0022661,0,2.3399746
81565,C0022661,0,2.1643903
3428,C0022661,0,1.8022019
79612,C0022661,0,-0.8436609
2230,C0022661,0,1.1667175
57175,C0022661,0,-0.52541095
64324,C0022661,0,1.152213
4661,C0022661,0,1.1787103
10954,C0022661,0,0.24099885
79803,C0022661,0,2.2419086
8908,C0022661,0,0.8733261
116844,C0022661,0,0.46490732
2131,C0022661,0,1.5683545
4302,C0022661,0,0.83071697
23016,C0022661,0,0.33690804
9604,C0022661,0,1.5257744
2908,C0022661,0,1.3466841
8031,C0022661,0,2.985563
2099,C0022661,0,0.9192325
7324,C0022661,0,2.0038602
367,C0022661,0,1.2160838
55585,C0022661,0,-0.61686033
10273,C0022661,0,-0.08401747
9921,C0022661,0,1.3494089
1915,C0022661,0,0.18072891
7088,C0022661,0,1.179217
10813,C0022661,0,0.41813797
1287,C0022661,0,0.8925823
60492,C0022661,0,2.121567
9869,C0022661,0,1.5044576
26994,C0022661,0,0.47805262
11060,C0022661,0,0.46646735
83737,C0022661,0,1.7473289
11059,C0022661,0,-0.15462652
4734,C0022661,0,0.37506154
6603,C0023466,1,3.008147
8243,C0023466,1,3.737788
10735,C0023466,1,3.3419232
2122,C0023466,1,4.0503697
9126,C0023466,1,2.796813
5885,C0023466,1,3.4244113
7155,C0023466,1,2.8010347
26040,C0023466,1,3.3874574
6688,C0023466,1,3.0546374
1512,C0023466,0,3.614498
9306,C0023466,0,1.165087
64682,C0023466,0,0.43128288
7203,C0023466,0,0.39687422
55187,C0023466,0,1.3917652
4208,C0023466,0,1.0210208
6318,C0023466,0,0.4847685
9482,C0023466,0,0.009231683
64137,C0023466,0,0.5614092
9604,C0023466,0,1.6199493
2908,C0023466,0,1.3879615
8031,C0023466,0,3.0536077
2099,C0023466,0,0.95754105
7324,C0023466,0,2.0325007
367,C0023466,0,1.2422453
55585,C0023466,0,-0.5888917
10273,C0023466,0,-0.10776626
9921,C0023466,0,1.3922526
1052,C0023467,1,3.7754967
55252,C0023467,1,2.2474241
307,C0023467,1,3.1474805
862,C0023467,1,1.9125854
5885,C0023467,1,3.487317
79870,C0023467,1,0.24282761
55740,C0023467,1,0.20663044
4291,C0023467,1,0.06738957
8623,C0023467,1,4.6237226
641,C0023467,1,3.9405947
2188,C0023467,1,2.5954223
2189,C0023467,1,1.3601459
2176,C0023467,1,1.518106
2175,C0023467,1,2.684091
3398,C0023467,1,2.490892
868,C0023467,1,1.9858657
64324,C0023467,1,1.1895016
1902,C0023467,1,0.97305804
23305,C0023467,1,-0.4646454
6840,C0023467,1,0.21121955
1269,C0023467,1,3.9965656
10919,C0023467,1,2.3029687
51510,C0023467,1,0.12628725
4026,C0023467,1,-0.17721947
5817,C0023467,1,1.3491249
865,C0023467,1,-0.09603631
4066,C0023467,1,3.354629
26511,C0023467,1,0.55816734
824,C0023467,1,-1.0752755
10125,C0023467,1,2.4587638
10459,C0023467,1,2.4178739
481,C0023467,1,0.13387777
822,C0023467,1,3.058445
6446,C0023467,1,3.7215931
10019,C0023467,1,4.7064323
23451,C0023467,1,3.7311437
55120,C0023467,1,0.5479216
4599,C0023467,1,2.0750377
1665,C0023467,1,-0.12967202
6688,C0023467,1,3.0791922
11122,C0023467,1,1.3559974
8021,C0023467,1,1.2366202
1512,C0023467,1,3.6733508
23624,C0023467,1,0.294547
11040,C0023467,1,0.26832238
2178,C0023467,1,2.2497435
7307,C0023467,1,2.3327408
6455,C0023467,1,-0.3452843
7204,C0023467,1,1.1437778
5997,C0023467,1,1.6779611
4928,C0023467,1,2.301914
113,C0023467,1,0.6140421
840,C0023467,1,0.8542205
5889,C0023467,1,3.2008054
55215,C0023467,1,2.0385237
1495,C0023467,1,2.1281972
3205,C0023467,1,1.6627318
26040,C0023467,1,3.4416559
8301,C0023467,1,3.7687726
53826,C0023467,1,1.9066222
51341,C0023467,1,2.1291542
11326,C0023467,1,1.2312183
5142,C0023467,1,3.926701
6919,C0023467,1,0.32094556
2672,C0023467,1,3.3948824
2969,C0023467,1,2.0431786
867,C0023467,1,4.4879723
4629,C0023467,1,1.4059465
1880,C0023467,1,2.385391
6281,C0023467,1,1.9844923
30845,C0023467,1,0.5784297
928,C0023467,1,4.01983
2274,C0023467,1,3.1615708
5457,C0023467,1,4.4311223
7200,C0023467,1,1.9789833
2122,C0023467,1,4.118384
375790,C0023467,1,1.0445294
4916,C0023467,1,3.4329252
83990,C0023467,1,2.0552955
8028,C0023467,1,4.3983545
60468,C0023467,1,3.692549
23092,C0023467,1,0.3527846
81848,C0023467,1,0.14464365
309,C0023467,1,2.3951628
945,C0023467,1,3.1652894
4330,C0023467,1,1.3759227
1441,C0023467,1,4.4569645
7100,C0023467,0,4.181495
93663,C0023467,0,-0.7116056
10566,C0023467,0,-0.092034444
10913,C0023467,0,0.9847804
5825,C0023467,0,2.641092
6827,C0023467,0,-0.2879925
7014,C0023467,0,2.0184145
26003,C0023467,0,0.5313784
5194,C0023467,0,1.5410385
55312,C0023467,0,1.3165421
1805,C0023467,0,0.43290156
11077,C0023467,0,-0.07931387
10116,C0023467,0,0.34178793
23509,C0023467,0,0.15591516
54567,C0023467,0,3.063183
58191,C0023467,0,-0.18146439
3111,C0023467,0,2.666946
5730,C0023467,0,1.4491402
57716,C0023467,0,-0.103315845
10512,C0023467,0,1.11163
4878,C0023467,0,3.8681526
220869,C0023467,0,-0.097627304
9572,C0023467,0,2.1796184
2526,C0023467,0,2.1897535
84186,C0023467,0,-0.21977784
1479,C0023467,0,1.0535326
8092,C0023467,0,1.4016179
84174,C0023467,0,2.264261
81566,C0023467,0,-0.088491015
10681,C0023467,0,0.2595276
11113,C0023467,0,2.4852197
84292,C0023467,0,0.30149174
8291,C0023467,0,4.4254646
719,C0023467,0,2.1613688
340719,C0023467,0,0.6667306
5576,C0023467,0,1.0848234
57125,C0023467,0,-0.23100394
7429,C0023467,0,1.1733509
1411,C0023467,0,1.1441941
79842,C0023467,0,0.5099791
6731,C0023467,0,2.34604
24137,C0023467,0,0.53829145
51729,C0023467,0,1.4661787
3842,C0023467,0,1.7931551
1725,C0023467,0,-0.5172186
3066,C0023467,0,1.7376446
5010,C0023467,0,2.1816156
4255,C0023467,0,0.7525897
2212,C0023467,0,1.3494575
57085,C0023467,0,-0.13624999
7473,C0023467,0,2.2896023
9451,C0023467,0,2.772193
1718,C0023467,0,0.05235958
1396,C0023467,0,-0.61925966
10426,C0023467,0,1.4835775
90627,C0023467,0,0.3984743
6605,C0023467,0,2.450215
7514,C0023467,0,1.3021712
85015,C0023467,0,2.120422
339855,C0023467,0,0.8350803
56616,C0023467,0,3.5342758
2246,C0023467,0,1.688017
6774,C0023467,0,1.3337754
23216,C0023467,0,-0.16579701
128869,C0023467,0,1.0081862
5025,C0023467,0,3.368752
4071,C0023467,0,0.7222153
4692,C0023467,0,1.47861
1892,C0023467,0,1.9146763
8819,C0023467,0,0.18574241
817,C0023467,0,0.92474794
10221,C0023467,0,0.6122635
240,C0023467,0,2.4117284
8379,C0023467,0,2.5980842
2979,C0023467,0,1.7278285
5437,C0023467,0,0.17379043
6009,C0023467,0,0.6508051
8161,C0023467,0,0.4855093
1101,C0023467,0,0.82860714
2596,C0023467,0,2.438592
80333,C0023467,0,-0.094551
1965,C0023467,0,2.5139518
27430,C0023467,0,-0.04587491
816,C0023467,0,1.2448306
64284,C0023467,0,-0.494049
55211,C0023467,0,0.86893594
54514,C0023467,0,1.2626566
9604,C0023467,0,1.606219
2908,C0023467,0,1.3827647
8031,C0023467,0,3.0862553
2099,C0023467,0,0.9524855
7324,C0023467,0,2.0552647
367,C0023467,0,1.2519463
55585,C0023467,0,-0.6252898
10273,C0023467,0,-0.08437409
9921,C0023467,0,1.3586494
1915,C0023467,0,0.17889683
7088,C0023467,0,1.178826
10813,C0023467,0,0.42477944
1287,C0023467,0,0.84080344
60492,C0023467,0,2.0935593
9869,C0023467,0,1.5031726
26994,C0023467,0,0.47909766
11060,C0023467,0,0.47069195
83737,C0023467,0,1.6890413
11059,C0023467,0,-0.1623235
4734,C0023467,0,0.36749557
51619,C0023467,0,0.811393
10617,C0023467,0,2.0193305
7322,C0023467,0,0.21058396
8078,C0023467,0,0.7899609
2074,C0023467,0,2.4793336
7321,C0023467,0,0.34015948
8737,C0023467,0,0.6305121
9372,C0023467,0,-0.39474708
8517,C0023467,0,0.7211358
10422,C0023467,0,0.53216296
4646,C0023467,0,1.0026616
11201,C0023467,0,-0.23898764
133957,C0023467,0,0.48869732
2060,C0023467,0,1.0978906
64750,C0023467,0,1.479466
10075,C0023467,0,1.5585539
29978,C0023467,0,0.61243105
10241,C0023467,0,0.32347655
9765,C0023467,0,-0.19278806
56893,C0023467,0,0.38268661
5788,C0023467,0,1.1275859
6625,C0023467,0,1.2242322
868,C0023467,0,1.9858657
6233,C0023467,0,0.61728567
10133,C0023467,0,3.908638
27342,C0023467,0,0.56307083
29924,C0023467,0,1.0432284
55040,C0023467,0,-0.038746268
22905,C0023467,0,0.27346215
26088,C0023467,0,0.4718888
54165,C0023467,0,0.41712943
23163,C0023467,0,-0.014866275
10318,C0023467,0,4.0354457
6386,C0023467,0,-0.703011
8887,C0023467,0,-0.041920684
8925,C0023467,0,0.45146284
7334,C0023467,0,-0.32019004
165918,C0023467,0,0.34825373
10015,C0023467,0,1.1892204
7128,C0023467,0,0.29744253
23327,C0023467,0,1.3879412
7311,C0023467,0,0.26856977
8924,C0023467,0,1.7323496
59348,C0023467,0,0.9624202
146691,C0023467,0,0.49068415
7314,C0023467,0,0.41807696
7316,C0023467,0,-0.7025774
84164,C0023467,0,0.30525187
10254,C0023467,0,1.076589
28954,C0023467,0,2.7487023
7534,C0023467,0,-0.12627049
783,C0023467,0,2.9757361
782,C0023467,0,0.3699832
10971,C0023467,0,0.801166
785,C0023467,0,1.1756719
7533,C0023467,0,2.620948
7531,C0023467,0,1.1151351
57132,C0023467,0,0.72215766
23020,C0023467,0,0.8234245
25904,C0023467,0,0.23151617
6749,C0023467,0,-0.33288252
128866,C0023467,0,0.5816772
8045,C0023467,0,0.058814283
8766,C0023467,0,-0.5365472
8802,C0023467,0,1.2549168
27183,C0023467,0,-0.16728483
9525,C0023467,0,0.60354054
1441,C1292772,1,4.4251738
26040,C1292772,1,3.4113688
898,C1292772,0,3.0711446
2324,C1292772,0,0.7536839
9604,C1292772,0,1.6560311
2908,C1292772,0,1.3998408
203,C0751958,1,3.373169
7473,C0751958,1,2.2803411
9411,C0751958,1,2.7812493
9533,C0751958,0,0.82185215
4311,C0751958,0,0.52030414
7428,C0751958,0,0.99069804
9604,C0751958,0,1.588353
2908,C0751958,0,1.3634553
8031,C0751958,0,3.0214598
6733,C0338831,1,3.1985576
6671,C0338831,1,3.075232
51177,C0338831,1,1.6685144
23635,C0338831,1,3.2456324
2898,C0338831,1,3.2168086
10815,C0338831,1,2.5210657
4729,C0338831,1,1.720742
5649,C0338831,1,2.910242
7252,C0338831,1,3.8464274
5454,C0338831,1,3.2563822
5091,C0338831,1,3.115878
22941,C0338831,1,2.5941727
775,C0338831,1,3.5134072
120,C0338831,1,2.7388384
4200,C0338831,1,2.1366587
7226,C0338831,1,3.0717041
2572,C0338831,1,4.832312
57519,C0338831,1,2.9525936
6869,C0338831,1,3.144447
5550,C0338831,1,2.0907123
84628,C0338831,1,2.9493704
6789,C0338831,1,0.9524088
1816,C0338831,1,3.072719
22999,C0338831,1,2.1973035
1812,C0338831,1,2.8718498
85358,C0338831,1,0.53912675
8553,C0338831,1,2.353355
2903,C0338831,1,1.5450553
7222,C0338831,1,2.678089
5142,C0338831,1,3.9081073
6196,C0338831,1,2.8414083
22854,C0338831,1,2.1494038
8644,C0338831,1,2.0164676
1463,C0338831,1,1.527981
10814,C0338831,1,2.6774762
85458,C0338831,1,3.93939
2931,C0338831,1,2.82997
55690,C0338831,1,1.9710282
6326,C0338831,1,3.0895774
776,C0338831,1,2.9749675
10014,C0338831,1,2.2461374
23166,C0338831,1,0.10391822
288,C0338831,1,3.7104235
108,C0338831,1,3.069186
9640,C0338831,1,1.4340537
1950,C0338831,0,2.4788952
4179,C0338831,0,2.0243406
4863,C0338831,0,0.41667345
55815,C0338831,0,-0.06890627
152189,C0338831,0,0.45515943
2304,C0338831,0,2.3978949
10566,C0338831,0,-0.08136898
10567,C0338831,0,0.34528944
3932,C0338831,0,2.1277316
3852,C0338831,0,2.716766
4062,C0338831,0,-0.72288907
9391,C0338831,0,-0.06296322
56301,C0338831,0,-0.20845972
1876,C0338831,0,0.093817756
1213,C0338831,0,2.2938085
5214,C0338831,0,1.4167547
114,C0338831,0,2.6628273
2760,C0338831,0,2.0879576
9989,C0338831,0,0.14604218
79048,C0338831,0,2.1903694
56961,C0338831,0,0.13897806
3480,C0338831,0,0.48801178
3200,C0338831,0,-0.15063293
1952,C0338831,0,4.745257
4650,C0338831,0,2.4431086
84958,C0338831,0,3.3032472
6197,C0338831,0,0.9947926
6532,C0338831,0,1.0622888
5272,C0338831,0,2.1712017
29110,C0338831,0,2.8102434
10691,C0338831,0,1.0963006
6046,C0338831,0,1.348174
2668,C0338831,0,-0.12258766
5127,C0338831,0,0.7572698
57595,C0338831,0,1.1195136
10672,C0338831,0,3.2205882
55142,C0338831,0,0.54337084
4772,C0338831,0,2.218724
6204,C0338831,0,0.7662548
9570,C0338831,0,0.6507341
7423,C0338831,0,2.7115686
136319,C0338831,0,2.8539758
3842,C0338831,0,1.7706479
23433,C0338831,0,0.6070943
8743,C0338831,0,0.89883137
9604,C0338831,0,1.6324017
2908,C0338831,0,1.3899509
8031,C0338831,0,3.0893595
2099,C0338831,0,0.9566724
7324,C0338831,0,2.0452774
367,C0338831,0,1.2461163
55585,C0338831,0,-0.6050341
10273,C0338831,0,-0.103741415
9921,C0338831,0,1.3821979
1915,C0338831,0,0.17246015
7088,C0338831,0,1.1640103
10813,C0338831,0,0.4327162
1287,C0338831,0,0.81498826
60492,C0338831,0,2.0506525
9869,C0338831,0,1.4872463
26994,C0338831,0,0.47466272
11060,C0338831,0,0.4776575
83737,C0338831,0,1.6535041
11059,C0338831,0,-0.1571707
4734,C0338831,0,0.36271328
51619,C0338831,0,0.82970756
10617,C0338831,0,1.9519832
7322,C0338831,0,0.20502342
8078,C0338831,0,0.8128763
2074,C0338831,0,2.4371855
7321,C0338831,0,0.34749582
8737,C0338831,0,0.6300076
9372,C0338831,0,-0.38282526
8517,C0338831,0,0.71047616
10422,C0338831,0,0.5477434
4646,C0338831,0,0.97357345
11201,C0338831,0,-0.21878767
133957,C0338831,0,0.5108301
2060,C0338831,0,1.0882744
64750,C0338831,0,1.4807112
10075,C0338831,0,1.5217708
29978,C0338831,0,0.6237532
10241,C0338831,0,0.34343356
9765,C0338831,0,-0.17972662
56893,C0338831,0,0.40410432
5788,C0338831,0,1.1269579
6625,C0338831,0,1.2187965
868,C0338831,0,1.9525164
6233,C0338831,0,0.5876268
10133,C0338831,0,3.878326
4352,C0026987,1,4.8867545
28996,C0026987,0,1.0634872
9604,C0026987,0,1.6380453
867,C0027019,1,4.5146203
23092,C0027019,1,0.29822487
26040,C0027019,1,3.3862703
7428,C0027019,0,1.0448581
51082,C0027019,0,1.5133383
238,C0027019,0,0.17993534
9604,C0027019,0,1.682344
2908,C0027019,0,1.4157196
8031,C0027019,0,3.1606388
6373,C1720830,1,4.5211625
28996,C1720830,0,1.0496863
9604,C1720830,0,1.6224189
3039,C0032463,1,3.0520592
4352,C0032463,1,4.888219
10019,C0032463,1,4.6999884
7428,C0032463,0,1.0224155
51082,C0032463,0,1.5272352
238,C0032463,0,0.17313714
9604,C0032463,0,1.6291931
2908,C0032463,0,1.3811575
8031,C0032463,0,3.1255176
10019,C0001815,1,4.6892843
4352,C0001815,1,4.8819823
898,C0001815,0,3.0564287
2324,C0001815,0,0.7427261
9604,C0001815,0,1.646844
2908,C0001815,0,1.3917354
9423,C0038525,1,1.3808849
134,C0038525,1,3.6037598
219699,C0038525,1,-0.0072822226
7428,C0038525,0,0.9737593
51082,C0038525,0,1.4849411
4311,C0038525,0,0.50409454
9604,C0038525,0,1.5742579
2908,C0038525,0,1.3587487
8031,C0038525,0,3.0485098
6446,C0271673,1,3.6898534
1129,C0271673,1,3.8192556
4908,C0271673,1,4.070038
2915,C0271673,1,3.8178902
7428,C0271673,0,0.99886805
3764,C0271673,0,2.6215022
6868,C0271673,0,2.3896897
51560,C0271673,0,0.686322
9604,C0271673,0,1.5863394
2908,C0271673,0,1.3716815
8031,C0271673,0,3.0207884
2099,C0271673,0,0.9436958
6446,C0041948,1,3.670277
4256,C0041948,1,0.69296026
898,C0041948,0,2.9229343
2324,C0041948,0,0.81390065
9604,C0041948,0,1.6237035
2908,C0041948,0,1.4284574
23174,C0751956,1,0.94596004
463,C0751956,1,2.193088
2243,C0751956,1,1.190487
10594,C0751956,1,1.8496649
1482,C0751956,1,3.53379
3777,C0751956,1,2.6206048
