GeneID,diseaseID,label,score
1760,C0027126,1,0.40070862
929,C0027126,0,-0.94993544
5690,C0005684,1,1.2734407
5423,C0005684,1,0.9007664
5447,C0005684,1,2.6546314
2176,C0005684,1,2.4760916
387,C0005684,1,2.864974
26259,C0005684,1,0.56376195
225689,C0005684,1,1.8011283
3670,C0005684,1,1.4795332
1463,C0005684,1,0.74812
9,C0005684,1,0.8927409
4489,C0005684,1,2.4832537
3868,C0005684,1,1.8695933
3205,C0005684,1,0.6025274
100129480,C0005684,0,-0.13619855
440163,C0005684,0,0.041019958
10242,C0005684,0,0.41308102
7322,C0005684,0,1.2820297
55737,C0005684,0,0.79005206
136,C0005684,0,0.8094752
7053,C0005684,0,0.99020594
79369,C0005684,0,0.5601265
81559,C0005684,0,-0.07088118
5603,C0005684,0,2.2021854
1812,C0005684,0,2.7106335
55929,C0005684,0,0.8829543
22893,C0005684,0,0.435452
5690,C0005695,1,0.8341381
5423,C0005695,1,0.8903833
5447,C0005695,1,2.545712
2176,C0005695,1,2.5195582
387,C0005695,1,2.922604
26259,C0005695,1,0.26755995
225689,C0005695,1,1.7695943
3670,C0005695,1,1.312463
1463,C0005695,1,0.8476207
9,C0005695,1,0.95340127
4489,C0005695,1,2.361421
3868,C0005695,1,1.9537431
3205,C0005695,1,0.38199496
100129480,C0005695,0,-0.37835115
440163,C0005695,0,-0.098940656
10242,C0005695,0,0.016554927
7322,C0005695,0,1.181374
55737,C0005695,0,0.7473427
136,C0005695,0,1.3172555
7053,C0005695,0,0.6895225
79369,C0005695,0,0.28387058
81559,C0005695,0,-0.39530393
5603,C0005695,0,1.982145
1812,C0005695,0,2.7947152
55929,C0005695,0,0.7810619
22893,C0005695,0,0.1804909
2796,C0020619,1,1.1394823
2798,C0020619,1,-0.49145463
26058,C0020619,0,-0.22303267
11238,C0020619,0,-1.2583848
10011,C0342384,1,-1.3250227
81848,C0342384,1,1.389443
55703,C0342384,1,1.7919546
23341,C0342384,0,-0.5803648
64375,C0342384,0,1.6800747
1795,C0342384,0,0.24412917
3908,C1263858,1,3.13555
9270,C1263858,0,0.25397602
1270,C0020179,1,0.046711814
2166,C0020179,1,3.3871627
56616,C0020179,1,1.7848593
7136,C0020179,0,1.5678898
5819,C0020179,0,2.1387653
2110,C0020179,0,-0.40886697
64778,C0023487,1,0.1873341
1053,C0023487,1,1.3673657
4926,C0023487,1,0.11141094
7136,C0023487,0,3.2928421
374393,C0023487,0,1.9785697
4542,C0023487,0,-0.74349225
221037,C2936346,1,3.7592707
6239,C2936346,1,3.3201733
54931,C2936346,0,1.3660784
374900,C2936346,0,-0.95174146
