GeneID,diseaseID,label,score
7555,C0027126,1,0.803361
148213,C0027126,0,-1.3694667
8320,C0005684,1,1.9824928
27127,C0005684,1,2.1546032
267,C0005684,1,0.7230006
10979,C0005684,1,1.533068
2186,C0005684,1,0.8250095
387,C0005684,1,2.5936468
119391,C0005684,1,1.6941936
3488,C0005684,1,1.9499916
3978,C0005684,1,2.033549
57412,C0005684,1,1.6645077
225689,C0005684,1,0.18843749
50807,C0005684,1,1.1089547
26259,C0005684,1,0.7594335
688,C0005684,1,2.6856523
4775,C0005684,0,1.5309994
8310,C0005684,0,1.7836164
10736,C0005684,0,2.2598531
414301,C0005684,0,0.9566729
169522,C0005684,0,1.4778906
8929,C0005684,0,2.16599
7249,C0005684,0,1.2731794
221357,C0005684,0,1.662027
5995,C0005684,0,1.0445158
93107,C0005684,0,0.44405064
23531,C0005684,0,0.1535615
9477,C0005684,0,0.9257891
55633,C0005684,0,-0.5624421
1777,C0005684,0,2.2221715
8320,C0005695,1,1.6630224
27127,C0005695,1,2.0399246
267,C0005695,1,0.54094774
10979,C0005695,1,1.4033527
2186,C0005695,1,0.89296216
387,C0005695,1,2.9063785
119391,C0005695,1,1.4558154
3488,C0005695,1,1.6911161
3978,C0005695,1,1.9812251
57412,C0005695,1,1.415569
225689,C0005695,1,-0.23683548
50807,C0005695,1,0.96820223
26259,C0005695,1,1.0326369
688,C0005695,1,2.7577097
4775,C0005695,0,1.422635
8310,C0005695,0,1.3309064
10736,C0005695,0,2.4770331
414301,C0005695,0,1.14299
169522,C0005695,0,1.9314653
8929,C0005695,0,2.239737
7249,C0005695,0,1.0317038
221357,C0005695,0,1.5187229
5995,C0005695,0,0.7853384
93107,C0005695,0,0.7041712
23531,C0005695,0,-0.15292883
9477,C0005695,0,1.0644611
55633,C0005695,0,-0.58998203
1777,C0005695,0,1.8821245
1968,C0020619,1,1.352616
3972,C0020619,1,2.2940476
89839,C0020619,0,-1.1227771
54903,C0020619,0,1.7650008
10011,C0342384,1,0.14306995
1848,C0342384,1,1.3648643
6866,C0342384,1,2.3702781
51700,C0342384,0,-1.1990896
930,C0342384,0,-0.07382876
10446,C0342384,0,-1.5074377
3679,C1263858,1,3.450745
4018,C1263858,0,1.6617715
84152,C0020179,1,2.560522
2596,C0020179,1,1.9494436
2166,C0020179,1,1.9783303
55312,C0020179,0,0.98285836
10904,C0020179,0,1.4609374
151393,C0020179,0,-1.0316138
79718,C0023487,1,1.9923927
7704,C0023487,1,1.6479107
1668,C0023487,1,-0.39973137
266812,C0023487,0,-1.1150213
6416,C0023487,0,-0.44429064
55177,C0023487,0,-1.5577027
1577,C0085580,1,1.5810484
8490,C0085580,1,0.6122265
95681,C0085580,0,1.053343
6511,C0085580,0,0.51164484
4625,C0007194,1,3.4619434
8736,C0007194,1,2.9572752
7414,C0007194,1,1.9618123
27295,C0007194,1,1.0674798
1832,C0007194,1,1.8543149
84676,C0007194,1,1.6001544
8557,C0007194,1,3.058585
84148,C0007194,1,2.539455
6902,C0007194,1,2.6233685
23360,C0007194,0,0.4680921
51176,C0007194,0,1.7845552
645432,C0007194,0,-1.5228349
29777,C0007194,0,-0.22032824
339448,C0007194,0,-1.5196015
5450,C0007194,0,0.74556684
56919,C0007194,0,-0.020202415
25825,C0007194,0,-0.6418295
29924,C0007194,0,2.2518096
7168,C0949658,1,3.1392882
57158,C0949658,1,1.7983534
3920,C0949658,1,2.0617778
95681,C0949658,0,1.442653
6189,C0949658,0,1.5322807
65980,C0949658,0,-0.0018589175
4624,C3495498,1,4.698329
138050,C3495498,0,0.6874357
2920,C0034069,1,2.5203428
10144,C0034069,1,0.48688143
21,C0034069,1,1.7167277
5154,C0034069,1,1.8797123
340156,C0034069,0,1.6694373
128308,C0034069,0,0.34812948
79026,C0034069,0,1.5945125
286262,C0034069,0,2.116144
117531,C3711374,1,2.423921
64787,C3711374,1,1.679458
9455,C3711374,1,1.1751617
124590,C3711374,1,3.0465746
23562,C3711374,1,2.6433058
375611,C3711374,1,3.1749642
2103,C3711374,1,0.1707594
