GeneID,diseaseID,label,score
221037,C2936346,1,1.4396534
2253,C2936346,1,0.5464474
598,C2936346,0,-0.07695901
28996,C2936346,0,-2.1136606
6239,C3266101,1,1.8291065
221037,C3266101,1,1.28939
374403,C3266101,0,-0.08927138
28996,C3266101,0,-1.9595058
6519,C4304537,1,0.25993368
4058,C4304537,0,-0.09363842
6845,C4510744,1,0.2573818
4311,C4510744,0,-0.20115681
1583,C3489793,1,0.25634608
2263,C3489793,0,-0.12125801
6154,C2931850,1,0.79950523
27243,C2931850,0,0.32034096
51606,C2931850,0,-0.012251601
6232,C2931850,1,-0.08998367
3640,C1563730,1,0.4143209
284,C1563730,0,-0.12197903
1024,C4049796,1,0.43315038
2324,C4049796,0,-0.026808396
2222,C4022810,1,0.58884466
192683,C4022810,1,0.49991944
4208,C4022810,0,0.43354404
57088,C4022810,0,0.29014847
57178,C4021790,1,0.5739235
10297,C4021790,1,0.53203636
374403,C4021790,0,-0.08427633
28996,C4021790,0,-3.1236975
57178,C4021821,1,0.24378535
2324,C4021821,0,-0.04844954
1024,C4025846,1,0.1684598
2324,C4025846,0,0.014833274
2324,C0000809,0,-0.016486885
50511,C0000809,1,-0.018212395
51305,C0014553,1,0.43755385
602,C0014553,0,-0.044597622
51305,C4553705,1,0.3696561
602,C4553705,0,-0.041647185
22926,C0152200,1,0.9319846
238,C0152200,0,-0.05416936
50618,C2936664,0,0.11361486
4791,C2936664,1,0.08760724
115650,C2936664,1,-0.11227423
145258,C2936664,0,-0.5585073
5697,C0702169,1,0.36452147
6497,C0702169,1,0.19528687
5985,C0702169,0,-0.02631297
50856,C0702169,0,-0.056704003
27443,C0702169,1,-0.09316592
100506164,C0702169,0,-0.24255978
4644,C3495588,1,0.116890326
2324,C3495588,0,-0.02496367
4745,C0030044,1,1.1853207
1947,C0030044,1,0.4070904
50618,C0030044,0,0.13717383
145258,C0030044,0,-1.137287
5698,C0001197,1,0.24914286
2324,C0001197,0,0.00077253673
8200,C2930970,1,0.54627204
238,C2930970,0,-0.10846245
9101,C1306214,1,0.24394484
2324,C1306214,0,-0.03881308
5213,C0751779,0,0.11414788
5274,C0751779,1,0.10544416
7957,C0751779,1,-0.08811678
4063,C0751779,0,-1.0821428
3360,C0751956,1,0.78758323
3777,C0751956,1,0.43308058
10594,C0751956,1,0.18792778
1523,C0751956,0,-0.30778158
4077,C0751956,0,-0.80556405
10036,C0751956,0,-1.0678647
1139,C0546126,1,1.5481883
54209,C0546126,1,1.1954479
7447,C0546126,1,1.0094979
7019,C0546126,1,0.8784191
6517,C0546126,1,0.8292833
2288,C0546126,0,0.816766
51225,C0546126,1,0.7435965
10481,C0546126,0,0.69424164
23607,C0546126,1,0.63694316
400,C0546126,0,0.08222772
54149,C0546126,0,-0.10521018
10073,C0546126,0,-0.5064819
3934,C0546126,0,-1.1197096
55211,C0546126,0,-1.1724526
3945,C0948089,1,0.5681343
5069,C0948089,1,0.3720727
9464,C0948089,0,0.3435304
2923,C0948089,1,0.19979773
56882,C0948089,0,0.14185692
1158,C0948089,1,0.1170996
10067,C0948089,0,-0.13787156
4089,C0948089,0,-1.3608704
7372,C0023440,1,0.32878867
2324,C0023440,0,-0.082753025
3219,C2930974,1,0.28171775
284,C2930974,0,-0.11729051
3219,C2930975,1,0.25745174
284,C2930975,0,-0.106347434
3219,C2930977,1,0.3064248
284,C2930977,0,-0.18820399
3816,C2609414,1,0.8230167
10411,C2609414,1,0.80395496
100506658,C2609414,1,0.64253515
2671,C2609414,1,0.6355932
116085,C2609414,1,0.62676585
9493,C2609414,0,-0.22716719
9118,C2609414,0,-0.35939726
51162,C2609414,0,-0.7633218
84779,C2609414,0,-0.8412999
117154,C2609414,0,-1.292599
3816,C1565662,1,0.8241895
10411,C1565662,1,0.80172163
100506658,C1565662,1,0.64064306
2671,C1565662,1,0.6303439
116085,C1565662,1,0.62773323
9493,C1565662,0,-0.22039664
9118,C1565662,0,-0.3626834
51162,C1565662,0,-0.7637345
84779,C1565662,0,-0.83465594
117154,C1565662,0,-1.284047
90,C0242488,1,0.5276994
57088,C0242488,0,0.4004704
7203,C0242488,0,0.14122896
6441,C0242488,1,0.04095283
641,C0023449,1,0.3713339
602,C0023449,0,0.045680158
2178,C0023465,1,1.3421025
55120,C0023465,1,1.1707752
2189,C0023465,1,1.1272898
221037,C0023465,0,0.760773
8660,C0023465,0,0.5612814
3000,C0023465,0,0.3661406
55740,C1879321,1,1.6948615
6455,C1879321,1,1.5041225
1269,C1879321,1,1.314663
4928,C1879321,1,1.2590393
26511,C1879321,1,1.1745123
51341,C1879321,1,1.115604
55252,C1879321,1,1.0577222
25953,C1879321,0,1.017084
4330,C1879321,1,0.8283728
4026,C1879321,1,0.819073
5457,C1879321,1,0.7888078
2969,C1879321,1,0.7340664
489,C1879321,0,0.600657
26119,C1879321,0,0.5117646
1512,C1879321,1,0.48916808
1081,C1879321,0,0.34685695
1119,C1879321,0,0.25873175
6642,C1879321,0,0.020611195
644890,C1879321,0,-0.057233855
84106,C1879321,0,-0.066078685
57685,C1879321,0,-0.09950255
6919,C1879321,1,-0.1475743
84967,C1879321,0,-0.1531474
23761,C1879321,0,-0.5250585
53343,C1879321,0,-0.731133
4779,C1879321,0,-1.6675967
3219,C2930976,1,0.29824147
284,C2930976,0,-0.07318579
55740,C0026998,1,1.6916395
6455,C0026998,1,1.5007359
1269,C0026998,1,1.311564
4928,C0026998,1,1.2561357
26511,C0026998,1,1.171981
51341,C0026998,1,1.1133019
55252,C0026998,1,1.0576003
25953,C0026998,0,1.0168202
4330,C0026998,1,0.82841915
4026,C0026998,1,0.81686944
5457,C0026998,1,0.78817564
2969,C0026998,1,0.72895724
489,C0026998,0,0.59964097
26119,C0026998,0,0.5123532
1512,C0026998,1,0.49143773
1081,C0026998,0,0.34368685
1119,C0026998,0,0.25965202
6642,C0026998,0,0.0201216
644890,C0026998,0,-0.057665437
84106,C0026998,0,-0.06680995
57685,C0026998,0,-0.099906296
6919,C0026998,1,-0.14646305
84967,C0026998,0,-0.1526014
23761,C0026998,0,-0.52664804
53343,C0026998,0,-0.7289798
4779,C0026998,0,-1.6612912
865,C0023479,1,0.47649395
2324,C0023479,0,0.0095003415
5757,C0023487,0,0.21359368
1053,C0023487,1,0.1250848
