GeneID,diseaseID,label,score
1476,C1565950,1,1.4641395
8028,C1565950,1,1.4389089
55593,C1565950,0,-2.5515745
29979,C1565950,0,-4.721988
5307,C1851100,1,1.0499157
29979,C1851100,0,-3.1506302
22953,C1842371,1,0.92963874
29979,C1842371,0,-2.1405869
4640,C1842939,1,1.6528223
29979,C1842939,0,0.004712471
84634,C3805879,1,1.0303702
29979,C3805879,0,-2.188548
23746,C1858386,1,1.3820001
29979,C1858386,0,-4.6325617
23312,C4539881,1,0.050743483
29979,C4539881,0,-4.191734
9210,C1845295,1,0.79386723
29979,C1845295,0,-1.8034587
126326,C1866094,1,1.3657988
29979,C1866094,0,-3.914035
4214,C4510744,1,0.5385846
6845,C4510744,1,0.3193663
23414,C4510744,1,0.046057995
112399,C4510744,0,-0.34144714
9320,C4510744,0,-0.67960143
54550,C4510744,0,-1.5677176
79718,C0280803,1,1.1788685
29979,C0280803,0,-4.201902
51168,C1838263,1,2.2956996
29979,C1838263,0,-6.5565853
9380,C0268165,1,2.056316
29979,C0268165,0,-7.076507
189,C0268164,1,1.8298688
55750,C0268164,1,1.491052
55593,C0268164,0,-1.8921384
29979,C0268164,0,-5.9681706
2245,C0175701,1,1.1405032
29979,C0175701,0,-3.471679
7201,C4316995,1,0.8635133
7252,C4316995,1,0.7693574
1071,C4316995,0,-0.14524858
4125,C4316995,0,-0.5807425
3640,C1563730,1,1.0368308
867,C1563730,1,1.0146918
55593,C1563730,0,-1.3584156
29979,C1563730,0,-2.480109
55509,C0023343,1,1.5033338
283234,C0023343,1,1.186229
10981,C0023343,1,0.613429
51616,C0023343,0,0.41010538
9320,C0023343,0,0.2785364
2078,C0023343,0,0.11171784
4547,C4552048,1,1.2334727
29979,C4552048,0,-5.2346516
117581,C1860224,1,1.2970755
29979,C1860224,0,-4.199304
1024,C4049796,1,1.3646111
8772,C4049796,1,0.815454
55593,C4049796,0,-2.7910404
29979,C4049796,0,-5.0492716
23291,C4021812,1,2.3400583
29979,C4021812,0,-6.6710715
10735,C1860789,1,1.2730622
