GeneID,diseaseID,label,score
221037,C2936346,1,0.97705394
6239,C2936346,1,0.5929226
374900,C2936346,0,-0.10620052
54931,C2936346,0,-0.93432623
421,C3266101,1,1.0409796
6239,C3266101,1,0.59252936
55174,C3266101,0,-1.0454519
9808,C3266101,0,-1.5398043
5495,C4304537,1,-0.2683223
9808,C4304537,0,-0.43597767
9581,C4749458,1,0.18116973
9270,C4749458,0,-0.54858947
64087,C0268600,1,0.078515194
84525,C0268600,0,-0.25698984
28952,C0796137,1,0.3410034
10569,C0796137,0,-1.0302088
9808,C4510744,0,0.1440256
6845,C4510744,1,-0.022740517
3973,C3489793,1,0.29774255
9270,C3489793,0,-0.8923696
11224,C2931850,1,0.8060174
6210,C2931850,1,0.7108392
6235,C2931850,1,0.61500216
2110,C2931850,0,0.4726001
7525,C2931850,0,0.15731667
80333,C2931850,0,-0.49283797
867,C1563730,1,0.39246014
6947,C1563730,0,-0.07607931
79783,C0270858,1,0.38768023
9808,C0270858,0,-0.8416258
8772,C4049796,1,0.25558764
84525,C4049796,0,-0.7217282
2806,C4022810,1,0.30710995
1781,C4022810,1,0.06281005
10498,C4022810,0,-0.23335356
9808,C4022810,0,-0.9814583
23291,C4021812,1,0.49076825
10569,C4021812,0,-1.3787125
129285,C4018871,1,-0.04854469
84525,C4018871,0,-0.57870317
23512,C4021790,1,0.9977892
7703,C4021790,1,0.61323637
374900,C4021790,0,-0.23037982
54931,C4021790,0,-0.7902419
8295,C4021821,1,0.3522584
84525,C4021821,0,-0.52206886
84148,C4025846,1,0.77079135
9808,C4025846,0,-2.0260227
9586,C0000809,1,-0.049203657
84525,C0000809,0,-0.18192528
9254,C0014553,1,0.9627027
8629,C0014553,1,0.53969693
9472,C0014553,0,0.1555832
140886,C0014553,0,-1.2391418
8629,C4553705,1,0.5867043
51305,C4553705,1,0.5333861
9472,C4553705,0,0.18669358
140886,C4553705,0,-1.3436496
2780,C0152200,1,0.84874713
1261,C0152200,1,0.7653626
6947,C0152200,0,-0.081209555
137735,C0152200,0,-0.6350096
4791,C2936664,1,0.983671
10320,C2936664,1,0.7647592
54931,C2936664,0,-0.46029896
9808,C2936664,0,-0.8110381
359,C0268443,1,-0.021604314
9270,C0268443,0,-0.7879692
10908,C0751449,1,0.24805325
10569,C0751449,0,-0.58348143
635,C0702169,1,0.86569667
2348,C0702169,1,0.84025306
4886,C0702169,1,0.7171268
57822,C0702169,1,0.56828785
5873,C0702169,0,0.2273885
24137,C0702169,0,0.112830855
1508,C0702169,0,-0.16754666
6900,C0702169,0,-0.23223935
2290,C0796147,1,0.3522146
10569,C0796147,0,-1.0790846
4644,C3495588,1,0.13342132
84525,C3495588,0,-0.42125195
51715,C1275078,1,0.23892392
9270,C1275078,0,-0.84324783
1947,C0030044,1,0.6580472
60529,C0030044,1,0.60238135
4745,C0030044,1,0.22091305
887,C0030044,0,0.0004290346
9808,C0030044,0,-1.304023
25988,C0030044,0,-1.4972715
55630,C0001197,1,0.094606236
929,C0001197,0,-0.03851536
