GeneID,diseaseID,label,score
2290,C4749855,1,0.2858266
3306,C4749855,0,-1.2119288
6334,C0032768,1,0.8421143
6335,C0032768,1,0.7235079
57465,C0032768,0,-0.6127471
130576,C0032768,0,-2.5993586
29123,C4304594,1,1.0238097
3306,C4304594,0,-0.8608328
3192,C4304540,1,1.039495
3306,C4304540,0,-1.0504615
3209,C1867801,1,1.037696
3306,C1867801,0,-0.81927013
343035,C1857743,1,1.3076975
3306,C1857743,0,-0.6279615
2052,C1961102,1,1.8182095
100288687,C1961102,1,1.7944497
10320,C1961102,1,1.4507449
405,C1961102,1,1.4167095
2782,C1961102,1,1.4115983
55824,C1961102,1,1.4008367
3131,C1961102,1,1.3952837
10019,C1961102,1,1.3947214
22806,C1961102,1,1.3467548
22807,C1961102,1,1.3211946
4552,C1961102,1,1.3026602
286530,C1961102,1,1.2979667
2356,C1961102,1,1.2835832
3233,C1961102,1,1.2782509
6887,C1961102,1,1.2775995
1558,C1961102,1,1.2735628
6886,C1961102,1,1.2734606
8021,C1961102,1,1.2360728
84159,C1961102,1,1.2302014
6573,C1961102,1,1.228807
641,C1961102,1,1.1761439
63978,C1961102,1,1.170968
64109,C1961102,1,1.0951015
7468,C1961102,1,1.0757481
22978,C1961102,1,1.0702844
1053,C1961102,1,1.0515184
3055,C1961102,1,1.0386138
7441,C1961102,1,1.033749
3718,C1961102,1,1.0245488
374920,C1961102,0,0.76779926
3087,C1961102,0,0.7164048
285203,C1961102,0,0.668062
10775,C1961102,0,0.63101256
84866,C1961102,0,0.53704417
4261,C1961102,0,0.38346326
65005,C1961102,0,0.34253913
4277,C1961102,0,0.2895622
23126,C1961102,0,0.14121231
2533,C1961102,0,0.049131367
10507,C1961102,0,-0.08384568
51406,C1961102,0,-0.13469185
23505,C1961102,0,-0.2100451
706,C1961102,0,-0.21983232
4324,C1961102,0,-0.32176983
51074,C1961102,0,-0.3311121
10855,C1961102,0,-0.3513654
79594,C1961102,0,-0.42270172
284418,C1961102,0,-0.42344478
83942,C1961102,0,-0.42697302
441518,C1961102,0,-0.4772311
128822,C1961102,0,-0.5083002
54550,C1961102,0,-0.69381154
7412,C1961102,0,-1.321709
23304,C1961102,0,-1.4235425
101929777,C1961102,0,-2.3897
22821,C1961102,0,-2.9776957
3788,C1961102,0,-3.0701864
57094,C1961102,0,-3.8603258
1785,C1961099,1,2.5081983
8115,C1961099,1,2.0311706
30012,C1961099,1,1.9261318
345930,C1961099,1,1.8945094
7297,C1961099,1,1.8825462
5771,C1961099,1,1.8568909
10664,C1961099,1,1.8309573
896,C1961099,1,1.8294429
84295,C1961099,1,1.760499
6491,C1961099,1,1.7223036
8028,C1961099,1,1.7133517
3187,C1961099,1,1.6678092
4005,C1961099,1,1.6397809
678,C1961099,1,1.5899615
7704,C1961099,1,1.5624466
4849,C1961099,1,1.5591011
64919,C1961099,1,1.5573864
6886,C1961099,1,1.4962335
3195,C1961099,1,1.482937
1654,C1961099,1,1.4718025
6134,C1961099,1,1.4347537
8021,C1961099,1,1.3790469
3718,C1961099,1,1.3723576
4004,C1961099,1,1.3648778
8301,C1961099,1,1.3310447
6297,C1961099,1,1.1942636
6418,C1961099,1,1.1449699
6688,C1961099,1,1.1165085
6125,C1961099,1,1.0133225
79084,C1961099,0,0.85828
374920,C1961099,0,0.84137666
5648,C1961099,0,0.79930395
10815,C1961099,0,0.7590815
4162,C1961099,0,0.7393049
