GeneID,diseaseID,label,score
7290,C2936346,1,0.9109259
221037,C2936346,1,0.60394835
90874,C2936346,0,-0.09586414
343099,C2936346,0,-0.37062317
7290,C3266101,1,0.7002387
2548,C3266101,0,0.1663666
79823,C4304537,1,0.8710547
2548,C4304537,0,0.26613164
9581,C4749458,1,0.6132619
3250,C4749458,0,-1.376445
64087,C0268600,1,0.1010256
341,C0268600,0,0.0060046823
6845,C4510744,1,0.091413654
83744,C4510744,0,0.00578253
3973,C3489793,1,0.47457346
3250,C3489793,0,-1.9897207
6210,C2931850,1,1.1262907
973,C2931850,0,0.5617735
6232,C2931850,1,0.26568943
6235,C2931850,1,0.09696292
10446,C2931850,0,0.021222906
51700,C2931850,0,-0.24297541
2879,C1563730,1,0.5801548
57826,C1563730,0,-0.07415133
138050,C0270858,0,0.4285233
9457,C0270858,1,-0.06886653
1024,C4049796,1,-0.021151613
3250,C4049796,0,-0.3558942
9662,C4022810,0,0.5271839
5515,C4022810,1,0.49906504
23162,C4022810,1,0.4986903
23551,C4022810,0,-0.30919853
23291,C4021812,1,0.21413325
4018,C4021812,0,-0.9276262
23512,C4018871,1,0.16814975
3250,C4018871,0,-0.47188842
6505,C4021790,0,0.9119736
26173,C4021790,1,0.6665712
54499,C4021790,1,0.48500848
95681,C4021790,0,0.43030977
8295,C4021821,1,0.5279903
3250,C4021821,0,-1.6380603
2548,C4025846,0,0.17181446
84148,C4025846,1,0.11491867
50511,C0000809,1,-0.01973164
3250,C0000809,0,-0.5787343
9254,C0014553,1,0.55573237
57826,C0014553,0,-0.046541426
9254,C4553705,1,0.5696483
57826,C4553705,0,-0.056109197
22926,C0152200,1,0.97540945
6505,C0152200,0,0.7774572
5149,C0152200,1,0.7735005
54930,C0152200,0,-0.095131755
29851,C2936664,1,0.63303614
10382,C2936664,0,0.22254193
115650,C2936664,1,0.17217381
29124,C2936664,0,-0.64817417
359,C0268443,1,-0.10439231
4018,C0268443,0,-1.2020934
6342,C0751449,1,0.362083
3250,C0751449,0,-1.0513
2348,C0702169,1,0.8603672
25796,C0702169,0,0.41033697
6497,C0702169,1,0.38778904
7546,C0702169,1,0.38571912
11160,C0702169,0,0.32869428
5652,C0702169,1,0.32007527
643226,C0702169,0,0.23982227
9857,C0702169,0,0.051211357
374654,C0796147,1,0.37716478
341,C0796147,0,0.23820806
4644,C3495588,1,0.28387147
4018,C3495588,0,-1.0948032
51715,C1275078,1,0.24853972
341,C1275078,0,0.058291897
4745,C0030044,1,0.6421323
4091,C0030044,1,0.5324492
10382,C0030044,0,0.3987734
23551,C0030044,0,-0.6810275
55630,C0001197,1,0.21179168
83744,C0001197,0,-0.029587995
130340,C0392439,1,0.2060902
3250,C0392439,0,-0.8724699
8200,C2930970,1,0.20577915
83744,C2930970,0,0.010721396
4054,C0265287,1,0.20967445
341,C0265287,0,0.06879757
2642,C1857451,1,0.05811048
3250,C1857451,0,-1.2085255
9049,C1306214,1,0.4531137
3250,C1306214,0,-0.94612014
9570,C0751779,1,1.249232
57465,C0751779,1,1.1720392
5274,C0751779,1,1.1302044
10446,C0751779,0,0.044427536
51700,C0751779,0,-0.20388411
933,C0751779,0,-0.2966933
1482,C0751956,1,1.155856
3777,C0751956,1,0.8196568
26060,C0751956,0,0.38711977
463,C0751956,1,0.32918164
317649,C0751956,0,0.28389353
10594,C0751956,1,0.21815065
7941,C0751956,1,0.084442966
8091,C0751956,0,-0.524116
199692,C0751956,0,-0.5645187
55957,C0751956,0,-0.6953696
138050,C0521664,0,0.38316813
9457,C0521664,1,-0.07980161
341,C0546126,1,1.4036521
7447,C0546126,1,1.3622301
1808,C0546126,1,1.1908875
1965,C0546126,1,1.0725517
3635,C0546126,1,0.8688532
9510,C0546126,1,0.76400346
27328,C0546126,1,0.6220519
6517,C0546126,1,0.586272
5502,C0546126,0,0.58026755
23765,C0546126,0,0.4098221
6191,C0546126,0,0.37283257
55209,C0546126,0,0.20605217
57091,C0546126,1,0.06637054
55815,C0546126,0,-0.014445125
54069,C0546126,0,-0.15934396
10885,C0546126,0,-0.287593
80135,C0546126,0,-0.42854667
8322,C0546126,0,-0.82915646
3945,C0948089,1,0.8453424
338382,C0948089,1,0.7920758
397,C0948089,1,0.13011767
3300,C0948089,0,-0.059770532
81027,C0948089,1,-0.116866216
164668,C0948089,0,-0.2735867
795,C0948089,0,-0.5183637
5563,C0948089,0,-0.751009
2057,C0023440,1,0.16391587
83744,C0023440,0,0.007668764
3219,C2930974,1,0.24632296
7711,C2930974,0,-0.18434362
3219,C2930975,1,0.3584661
7711,C2930975,0,-0.16607879
3219,C2930977,1,0.26458982
7711,C2930977,0,-0.1821915
6556,C2609414,1,1.1369827
2,C2609414,1,1.1249439
7018,C2609414,1,1.0842566
1839,C2609414,1,1.0659511
10457,C2609414,1,0.739393
10411,C2609414,1,0.62983227
4861,C2609414,0,0.5530733
8835,C2609414,0,0.43219683
3257,C2609414,0,0.32613188
22934,C2609414,0,-0.10821192
86,C2609414,0,-0.2453087
140901,C2609414,0,-0.78882426
6556,C1565662,1,1.1236601
2,C1565662,1,1.1199355
7018,C1565662,1,1.0799099
1839,C1565662,1,1.0631776
10457,C1565662,1,0.7376767
10411,C1565662,1,0.63171893
4861,C1565662,0,0.5563287
8835,C1565662,0,0.43208292
3257,C1565662,0,0.3204703
22934,C1565662,0,-0.102430224
86,C1565662,0,-0.24578467
140901,C1565662,0,-0.78845465
2920,C0242488,1,0.83155215
4638,C0242488,1,0.6739624
84902,C0242488,0,-0.14811729
23551,C0242488,0,-0.5034745
10019,C0023449,1,0.5643017
83744,C0023449,0,0.015479119
2176,C0023465,1,1.6192602
641,C0023465,1,1.3555976
51119,C0023465,1,1.1805072
29089,C0023465,1,1.1116987
54360,C0023465,0,0.017225243
3300,C0023465,0,-0.0030355584
795,C0023465,0,-0.6586334
6400,C0023465,0,-1.3335351
60468,C1879321,1,2.038031
307,C1879321,1,1.7961264
8301,C1879321,1,1.5401546
64324,C1879321,1,1.5239267
10125,C1879321,1,1.5224694
824,C1879321,1,1.5214045
81552,C1879321,1,1.4982336
30845,C1879321,1,1.4172248
51341,C1879321,1,1.3960689
2969,C1879321,1,1.3525702
8021,C1879321,1,1.3187962
84148,C1879321,0,1.3107738
481,C1879321,1,1.2818552
3398,C1879321,1,1.2551283
8924,C1879321,0,1.2526675
4604,C1879321,0,1.078406
375790,C1879321,1,0.9997003
7764,C1879321,0,0.8004846
7161,C1879321,0,0.76830536
4826,C1879321,0,0.7465036
7837,C1879321,1,0.66295516
23676,C1879321,0,0.44115266
393,C1879321,0,0.13702871
5243,C1879321,0,0.11547546
113540,C1879321,0,0.045572788
84266,C1879321,0,-0.37185183
161514,C1879321,0,-0.43201286
26503,C1879321,0,-0.523185
6293,C1879321,0,-0.54355145
9828,C1879321,0,-0.8444914
3219,C2930976,1,0.2736229
7711,C2930976,0,-0.17223293
60468,C0026998,1,2.038752
307,C0026998,1,1.7969342
8301,C0026998,1,1.542282
10125,C0026998,1,1.5249621
824,C0026998,1,1.5242455
64324,C0026998,1,1.5232968
81552,C0026998,1,1.5015154
30845,C0026998,1,1.4184293
51341,C0026998,1,1.398179
2969,C0026998,1,1.3538245
8021,C0026998,1,1.3186411
84148,C0026998,0,1.311843
481,C0026998,1,1.2836335
3398,C0026998,1,1.256765
8924,C0026998,0,1.2545199
4604,C0026998,0,1.079334
375790,C0026998,1,0.9994323
7764,C0026998,0,0.8007114
7161,C0026998,0,0.7683895
4826,C0026998,0,0.7494526
7837,C0026998,1,0.66438794
23676,C0026998,0,0.44104812
393,C0026998,0,0.13785553
5243,C0026998,0,0.11554726
113540,C0026998,0,0.045825396
84266,C0026998,0,-0.3715696
161514,C0026998,0,-0.43267897
26503,C0026998,0,-0.52352434
6293,C0026998,0,-0.5430141
9828,C0026998,0,-0.84458345
865,C0023479,1,0.47366998
3250,C0023479,0,-1.4672148
1376,C4706387,1,0.50100017
3250,C4706387,0,-1.2599889
79718,C0023487,1,0.4728294
7704,C0023487,1,0.3017012
6416,C0023487,0,0.24679294
266812,C0023487,0,-0.31837705
1668,C0023487,1,-0.48701575
55177,C0023487,0,-0.9956469
3156,C0519066,1,0.36078876
83744,C0519066,0,-0.024805112
11330,C0267937,1,0.0938369
4018,C0267937,0,-0.76704544
7167,C0857501,1,0.4535454
3250,C0857501,0,-1.0694971
57572,C0265268,1,0.5683347
138050,C0265268,0,0.44443628
57572,C4551482,1,0.55464274
138050,C4551482,0,0.47360656
23274,C0001403,1,0.2219228
7711,C0001403,0,-0.06367626
8438,C0338106,1,0.23043326
4018,C0338106,0,-0.6627888
2548,C0279628,0,0.53780967
1794,C0279628,1,0.18674277
201163,C1319315,1,1.7276542
6505,C1319315,0,1.4969459
816,C1319315,1,1.2234069
27030,C1319315,1,1.1258099
54894,C1319315,1,0.81351554
6416,C1319315,1,0.7633696
3059,C1319315,0,0.71619165
84966,C1319315,0,0.71225905
51086,C1319315,1,0.6757771
1024,C1319315,1,0.5577548
2045,C1319315,1,0.51664424
9128,C1319315,0,0.44476974
6872,C1319315,1,0.2401669
148870,C1319315,0,-0.10114546
23167,C1319315,0,-0.15694329
5754,C1319315,1,-0.24713022
51046,C1319315,0,-0.28416717
55607,C1319315,0,-0.3455878
100463488,C1319315,0,-0.404274
5292,C1319315,0,-0.51918614
4916,C0152013,1,1.9414548
5591,C0152013,1,1.8642293
7167,C0152013,1,1.748055
5817,C0152013,0,1.510332
10769,C0152013,1,1.3632643
1454,C0152013,1,1.3176221
9582,C0152013,1,1.2954128
814,C0152013,1,1.2928939
2244,C0152013,0,1.1979104
5267,C0152013,0,1.1886604
5610,C0152013,1,1.1789846
27102,C0152013,1,1.0667924
226,C0152013,1,1.0207665
2895,C0152013,0,0.99496365
25865,C0152013,1,0.9858645
117289,C0152013,0,0.86988276
116369,C0152013,0,0.7951245
84700,C0152013,1,0.7862283
10961,C0152013,1,0.6518699
94081,C0152013,1,0.60349405
2618,C0152013,1,0.6021348
64419,C0152013,0,0.58605295
55172,C0152013,0,0.56766456
4641,C0152013,0,0.507455
27436,C0152013,1,0.455253
55681,C0152013,1,0.4280997
3070,C0152013,1,0.3817443
9113,C0152013,1,0.34946734
4001,C0152013,1,0.32678407
28952,C0152013,0,0.26903135
8542,C0152013,0,0.21087767
56478,C0152013,0,0.20637068
448831,C0152013,0,0.113562636
51592,C0152013,1,0.04304591
3547,C0152013,0,0.01633604
8125,C0152013,1,-0.031958915
6182,C0152013,1,-0.089105256
3028,C0152013,1,-0.12552203
1553,C0152013,1,-0.14882623
54780,C0152013,0,-0.18099196
56342,C0152013,1,-0.29768667
56474,C0152013,0,-0.31144807
339291,C0152013,0,-0.3548332
81545,C0152013,0,-0.36620954
55970,C0152013,0,-0.46654594
7993,C0152013,0,-0.4838765
55349,C0152013,0,-0.52678615
8761,C0152013,1,-0.57018316
284348,C0152013,0,-0.6480821
84336,C0152013,0,-0.6569033
145483,C0152013,0,-0.73151386
148109,C0152013,0,-1.4094558
2217,C0152013,0,-1.7282289
22848,C0152013,0,-2.2701883
3169,C0007112,1,0.59740174
1316,C0007112,1,0.49042207
10951,C0007112,0,-0.2144867
343099,C0007112,0,-0.42835593
8202,C0205641,1,1.3069141
10232,C0205641,1,1.2495048
5074,C0205641,1,0.91018045
2878,C0205641,1,0.88657564
8797,C0205641,1,0.75623053
9420,C0205641,1,0.6674636
10085,C0205641,0,0.53101856
9187,C0205641,0,0.5066011
2109,C0205641,0,0.48552808
563,C0205641,1,0.39002913
5587,C0205641,1,0.104132384
79685,C0205641,0,0.073772356
195814,C0205641,0,-0.19654913
127124,C0205641,0,-0.25721422
79324,C0205641,0,-0.32817662
4354,C0205641,1,-0.43599552
344787,C0205641,0,-0.6635442
22848,C0205641,0,-1.5899528
8202,C0205642,1,1.3115853
10232,C0205642,1,1.2497532
5074,C0205642,1,0.91159016
2878,C0205642,1,0.8860202
8797,C0205642,1,0.7544368
9420,C0205642,1,0.67287725
10085,C0205642,0,0.5325796
9187,C0205642,0,0.51045144
2109,C0205642,0,0.49113846
563,C0205642,1,0.38856375
5587,C0205642,1,0.104376286
79685,C0205642,0,0.072995454
195814,C0205642,0,-0.19681801
127124,C0205642,0,-0.2579874
79324,C0205642,0,-0.32820633
4354,C0205642,1,-0.43669072
344787,C0205642,0,-0.6632346
22848,C0205642,0,-1.594664
8202,C0205645,1,1.3111763
10232,C0205645,1,1.2511748
5074,C0205645,1,0.91036534
2878,C0205645,1,0.89115447
8797,C0205645,1,0.754838
9420,C0205645,1,0.67396694
10085,C0205645,0,0.5357164
9187,C0205645,0,0.51011837
2109,C0205645,0,0.4845474
563,C0205645,1,0.39016625
5587,C0205645,1,0.098999076
79685,C0205645,0,0.07415575
195814,C0205645,0,-0.19707158
127124,C0205645,0,-0.258237
79324,C0205645,0,-0.3297119
4354,C0205645,1,-0.43768826
344787,C0205645,0,-0.6652888
22848,C0205645,0,-1.5973766
51514,C0010606,1,1.5327277
2019,C0010606,1,1.4598778
81831,C0010606,1,1.3900161
55315,C0010606,0,1.3780113
51659,C0010606,1,1.3779138
3359,C0010606,0,1.0140725
112755,C0010606,0,0.9576514
5834,C0010606,1,0.9247542
9223,C0010606,1,0.8382421
5605,C0010606,1,0.65510935
54756,C0010606,1,0.63790095
53335,C0010606,1,0.53717065
7466,C0010606,0,0.42458513
72,C0010606,0,0.40685585
84197,C0010606,0,0.39062327
93643,C0010606,0,0.3197299
11011,C0010606,0,0.22557998
26034,C0010606,0,0.14869447
23220,C0010606,1,0.14633149
29128,C0010606,1,-0.058130387
956,C0010606,0,-0.20591746
10847,C0010606,1,-0.27570552
2691,C0010606,0,-0.3569516
10933,C0010606,1,-0.41718137
54490,C0010606,0,-0.50615907
9367,C0010606,0,-1.5699204
6948,C0205646,1,1.2173452
7296,C0205646,1,0.7466832
585,C0205646,0,0.70552045
6853,C0205646,0,0.5560941
489,C0205646,1,0.2584983
1059,C0205646,0,-0.0061700633
6948,C0205648,1,1.1904385
7296,C0205648,1,0.74182487
585,C0205648,0,0.6835595
6853,C0205648,0,0.55521023
489,C0205648,1,0.25582865
1059,C0205648,0,0.0025997988
6948,C0205649,1,1.2263416
7296,C0205649,1,0.7449403
585,C0205649,0,0.7032905
6853,C0205649,0,0.55285966
489,C0205649,1,0.26620302
1059,C0205649,0,-0.006440651
6948,C0205651,1,1.2184006
7296,C0205651,1,0.7510692
585,C0205651,0,0.71395206
6853,C0205651,0,0.53974396
489,C0205651,1,0.2605538
1059,C0205651,0,0.0028590385
4595,C0032580,1,0.95167524
116844,C0032580,1,0.6044023
79600,C0032580,0,0.5489955
5069,C0032580,0,0.338754
272,C2931781,1,0.0227394
3250,C2931781,0,-0.5288101
359,C3542500,1,-0.09081106
4018,C3542500,0,-1.0520824
5566,C0750887,1,0.5545004
83744,C0750887,0,0.03333348
3762,C0206667,1,0.5920149
83744,C0206667,0,0.027345385
6240,C0206686,1,0.33483973
83744,C0206686,0,0.010146181
55670,C0162309,1,0.94013226
138050,C0162309,0,0.43611053
55670,C0282525,1,1.5690817
9409,C0282525,1,1.124526
5193,C0282525,1,1.0828006
51510,C0282525,0,0.30548048
10481,C0282525,0,0.040800445
374659,C0282525,0,-0.26753628
5194,C1527231,1,0.52029055
83744,C1527231,0,-0.0061787944
138050,C0341703,0,0.3338966
6569,C0341703,1,0.2943015
2548,C0751172,1,0.27360776
3250,C0751172,0,-1.1330302
5157,C0279607,1,0.33457318
3250,C0279607,0,-1.2613846
5966,C0220597,1,0.80602735
2548,C0220597,0,0.41590348
3691,C0268374,1,0.47404602
81619,C0268374,0,-0.024860898
5015,C0278876,1,0.9185327
6281,C0278876,1,0.7324607
4352,C0278876,1,0.60048354
898,C0278876,1,0.5571758
7994,C0278876,1,0.49668717
340156,C0278876,0,0.4335374
253714,C0278876,0,-0.026184164
7038,C0278876,0,-0.18079504
283212,C0278876,0,-0.24313858
51130,C0278876,0,-0.32090542
4668,C0751716,1,0.10633131
341,C0751716,0,-0.01944146
23400,C0022797,1,1.1007179
138050,C0022797,0,0.4197765
341,C0279070,0,0.1255088
1840,C0279070,1,-0.20296559
341,C0751914,0,0.25355807
4001,C0751914,1,0.07653538
1460,C0023493,1,0.8882988
3195,C0023493,1,0.46276593
28992,C0023493,0,0.049776487
8927,C0023493,0,-0.39239815
205,C0023493,0,-0.44235831
1452,C0023493,1,-0.4463693
735,C0221056,1,0.59112495
341,C0221056,0,0.07600991
2771,C1332218,1,0.4941507
3250,C1332218,0,-1.3489513
2774,C0752197,1,0.4653202
95681,C0752197,0,0.46260712
9757,C0752197,1,0.21614756
3615,C0752197,0,-0.5426653
95681,C0752198,0,0.49753743
2774,C0752198,1,0.44872138
9757,C0752198,1,0.1826322
3615,C0752198,0,-0.5298265
