GeneID,diseaseID,label,score
1584,C3669121,1,1.1350211
60676,C3669121,0,-5.570899
3293,C0268296,1,0.2828682
60676,C0268296,0,-4.9857807
133686,C1857252,1,-0.9199468
60676,C1857252,0,-5.4062095
55526,C1859817,1,-2.6819935
60676,C1859817,0,-7.35274
36,C1864912,1,0.28109607
60676,C1864912,0,-7.966443
421,C2936346,1,1.3766303
2253,C2936346,1,1.1932651
7290,C2936346,1,0.97011584
2812,C2936346,1,0.8661294
9632,C2936346,1,0.83562165
221037,C2936346,1,0.75014967
6915,C2936346,0,0.6754071
9620,C2936346,0,-0.8505867
92715,C2936346,0,-1.464683
57215,C2936346,0,-1.7525417
115701,C2936346,0,-1.8201945
5525,C2936346,0,-2.5909014
79823,C4304537,1,1.2044744
9581,C4304537,1,0.076602705
5495,C4304537,1,-0.5411912
6519,C4304537,1,-0.5505901
9682,C4304537,0,-0.9002805
80184,C4304537,0,-1.4921834
53358,C4304537,0,-3.1759963
10732,C4304537,0,-3.2901917
79823,C4749458,1,0.73721325
9581,C4749458,1,0.6836041
284312,C4749458,0,-2.4066846
9181,C4749458,0,-2.7077427
549,C0342727,1,-0.18010621
81614,C0342727,0,-3.4452188
3158,C2751532,1,-0.21212997
60676,C2751532,0,-3.770069
3033,C1291230,1,0.4085273
60676,C1291230,0,-4.4564323
64087,C1859499,1,0.38584745
60676,C1859499,0,-4.140192
549,C0342728,1,-0.6949044
81614,C0342728,0,-3.3244305
80207,C0574084,1,0.8343652
81614,C0574084,0,-3.1472113
81570,C4225393,1,-0.6606115
81614,C4225393,0,-4.424459
84947,C3553597,1,0.76452017
81614,C3553597,0,-2.6730223
92609,C4540171,1,-0.52019364
60676,C4540171,0,-5.017972
84733,C2751317,1,-0.36755592
60676,C2751317,0,-6.1643763
6658,C3151782,1,1.4528193
60676,C3151782,0,-6.4644103
3973,C3714042,1,1.507441
60676,C3714042,0,-5.3691874
1583,C3489793,1,0.23224661
3973,C3489793,1,0.15486027
55160,C3489793,0,-0.5174696
819,C3489793,0,-0.96023494
4214,C3151064,1,0.6311234
60676,C3151064,0,-4.1928353
6208,C0740302,1,0.32161617
60676,C0740302,0,-2.7585382
4208,C4304529,1,0.54987895
60676,C4304529,0,-3.600253
7172,C2931223,1,1.6239809
60676,C2931223,0,-4.207011
1717,C2713347,1,0.040721215
60676,C2713347,0,-4.037792
286,C4304505,1,0.40890712
60676,C4304505,0,-5.4060874
2245,C0175701,1,0.046987746
60676,C0175701,0,-4.380888
6229,C0265265,1,1.4489763
60676,C0265265,0,-5.9159813
63976,C0270858,1,0.29127854
9457,C0270858,1,0.27071935
79783,C0270858,1,0.23133214
80184,C0270858,0,-0.06487288
2494,C0270858,0,-0.17735283
4595,C0270858,0,-0.20045322
79054,C0270858,1,-0.6130076
10732,C0270858,0,-1.4305362
117581,C1860224,1,1.0098319
81614,C1860224,0,-3.0659761
57479,C4025845,1,-0.5671165
81614,C4025845,0,-4.4429545
8772,C4049796,1,1.0801594
1024,C4049796,1,-0.14368951
55160,C4049796,0,-1.3099433
819,C4049796,0,-4.333055
2222,C4022810,1,0.7938686
9757,C4022810,0,0.5670842
22884,C4022810,1,0.55972725
192683,C4022810,1,0.5410282
23036,C4022810,1,0.24694908
23162,C4022810,1,0.23116873
2806,C4022810,1,0.13017076
4940,C4022810,0,-0.105505906
10297,C4022810,1,-0.12541541
6546,C4022810,0,-0.22567928
1477,C4022810,0,-0.25227627
1781,C4022810,1,-0.27395752
7273,C4022810,0,-0.3319036
60,C4022810,0,-0.456302
5898,C4022810,1,-0.54072016
6161,C4022810,0,-0.601622
642,C4022810,0,-0.87847716
3886,C4022810,0,-1.0873736
5515,C4022810,1,-1.3399312
3801,C4022810,0,-1.4889731
7703,C4021762,1,0.067983866
60676,C4021762,0,-2.1249542
54499,C4021790,1,1.6491443
54541,C4021790,0,0.38203514
23036,C4021790,1,0.3194763
23512,C4021790,1,0.28205466
57178,C4021790,1,0.18767338
10297,C4021790,1,-0.03562814
59335,C4021790,0,-0.2428255
90226,C4021790,0,-0.26632443
26173,C4021790,1,-0.31051064
22884,C4021790,1,-0.34648713
7703,C4021790,1,-0.3616958
146754,C4021790,0,-0.54163396
389337,C4021790,0,-1.0849363
125336,C4021790,0,-1.175321
29843,C4021790,0,-1.7393785
11076,C4021790,0,-1.9800986
8295,C4021821,1,-0.064128086
57178,C4021821,1,-0.26288232
284312,C4021821,0,-0.724672
9181,C4021821,0,-1.7644366
1024,C4025846,1,0.38884503
80184,C4025846,0,0.18901503
84148,C4025846,1,-0.13787733
9488,C4025846,1,-0.20323925
57479,C4025846,1,-0.30147958
7360,C4025846,1,-0.37213883
9682,C4025846,0,-0.74033844
27147,C4025846,0,-0.97919273
4295,C4025846,0,-1.7006167
53358,C4025846,0,-1.9642987
55160,C0000809,0,0.48578155
819,C0000809,0,0.44852057
9586,C0000809,1,0.34595332
50511,C0000809,1,-0.63855606
57724,C1855772,1,-0.26352927
81614,C1855772,0,-5.9612617
2780,C1841721,1,0.12400064
60676,C1841721,0,-3.4863036
55851,C3151037,1,1.4021245
60676,C3151037,0,-6.789438
710,C2931758,1,1.3517952
60676,C2931758,0,-1.7942988
8676,C2936664,0,1.5887542
115650,C2936664,1,1.4204812
10320,C2936664,1,1.2050527
975,C2936664,1,1.164147
23495,C2936664,1,0.84434533
1380,C2936664,1,0.5718768
4791,C2936664,1,0.1586218
29851,C2936664,1,-0.8075645
9620,C2936664,0,-1.0731572
613212,C2936664,0,-1.1344213
1909,C2936664,0,-1.5442705
115701,C2936664,0,-1.6927719
124641,C2936664,0,-1.7048895
5525,C2936664,0,-2.7113314
84823,C0220989,1,0.033185706
60676,C0220989,0,-3.6265898
10908,C0751449,1,1.3781272
6342,C0751449,1,-0.13625841
55160,C0751449,0,-1.7347834
819,C0751449,0,-5.371604
10269,C0917990,1,-1.5041803
81614,C0917990,0,-2.462642
374654,C2931760,1,-1.4326193
60676,C2931760,0,-4.547083
3710,C0001197,1,1.4205881
