GeneID,diseaseID,label,score
221037,C2936346,1,1.010112949187865e-05
7290,C2936346,1,1.1527023856114045e-05
343099,C2936346,0,3.837941444717228e-08
90874,C2936346,0,1.1541590889941046e-07
7290,C3266101,0,1.9273053036340876e-05
2548,C3266101,1,1.3829671528139259e-05
79823,C4304537,0,1.656244907727953e-05
2548,C4304537,1,0.040081643334988835
9581,C4749458,0,1.613290949255931e-06
3250,C4749458,1,0.013477745046059846
64087,C0268600,0,1.2028284823010856e-06
341,C0268600,1,0.14557803694037047
6845,C4510744,1,6.481748430060258e-05
83744,C4510744,0,5.910953104650549e-07
3973,C3489793,1,0.0036294391739387522
3250,C3489793,0,7.641686000804687e-05
6232,C2931850,1,0.008550670268806885
6235,C2931850,1,0.017635243293455345
6210,C2931850,1,0.010398384370584787
973,C2931850,0,7.81988612737387e-05
10446,C2931850,0,1.522229216220292e-05
51700,C2931850,0,5.731699123965241e-06
2879,C1563730,0,5.00488339659591e-06
57826,C1563730,1,0.0005490274293569722
9457,C0270858,0,2.843936873540846e-06
138050,C0270858,1,1.4601720952454694e-05
1024,C4049796,0,1.9060504859237355e-06
3250,C4049796,1,4.939715293132938e-06
5515,C4022810,1,0.00032662456880686133
23162,C4022810,0,4.032744174800866e-05
9662,C4022810,0,2.297109138725606e-05
23551,C4022810,1,0.0008870028651750237
23291,C4021812,1,5.775955854929884e-06
4018,C4021812,0,1.1622400007416548e-06
23512,C4018871,1,8.356130381114488e-07
3250,C4018871,0,4.7013742306411684e-08
54499,C4021790,0,5.7274370839122565e-06
26173,C4021790,1,3.173398254771262e-05
6505,C4021790,0,1.8229999980893342e-05
95681,C4021790,1,2.7714007478396984e-05
8295,C4021821,1,0.0002000635389328918
3250,C4021821,0,4.6853590758264587e-07
84148,C4025846,0,0.00113356497686457
2548,C4025846,1,0.00013054265252705435
50511,C0000809,0,6.991936944534865e-05
3250,C0000809,1,1.3027447971975544e-05
9254,C0014553,1,0.008140888509587227
57826,C0014553,0,1.0051959638708866e-05
9254,C4553705,1,0.008140888509587227
57826,C4553705,0,1.0051959638708866e-05
22926,C0152200,1,4.0997669405117194e-05
5149,C0152200,0,6.125186995987235e-06
6505,C0152200,0,1.8196190528612486e-05
54930,C0152200,1,0.0415761198286218
115650,C2936664,1,0.021123845764856986
