GeneID,diseaseID,label,score
221037,C2936346,0,1.0678739750623423e-05
2253,C2936346,0,1.613350464491122e-05
598,C2936346,1,3.058351159213538e-06
28996,C2936346,1,1.9296308001173356e-05
221037,C3266101,0,1.1427958792364685e-05
6239,C3266101,1,1.4594793632453183e-06
374403,C3266101,1,2.918077901512748e-06
28996,C3266101,0,0.0
6519,C4304537,0,3.7144996490746736e-06
4058,C4304537,1,3.864254479478319e-06
6845,C4510744,1,3.452563766492571e-06
4311,C4510744,0,2.514493838702631e-05
1583,C3489793,1,2.328683139048294e-06
2263,C3489793,0,2.8101950138243264e-05
6232,C2931850,0,4.595731512949533e-06
6154,C2931850,0,3.2550278516200833e-06
27243,C2931850,1,4.330246236912848e-06
51606,C2931850,1,0.0
3640,C1563730,0,9.76306593002518e-05
284,C1563730,1,1.0535604977940229e-07
1024,C4049796,0,2.8575643237266738e-05
2324,C4049796,1,2.2234587598786998e-05
2222,C4022810,0,2.7404516543264376e-05
192683,C4022810,0,5.477119406593032e-05
4208,C4022810,1,1.5144301734708929e-06
57088,C4022810,1,3.5264463860751506e-05
10297,C4021790,0,2.1295384954933245e-05
57178,C4021790,1,1.0723129108217233e-06
374403,C4021790,1,1.7416588190454497e-06
28996,C4021790,0,0.0
57178,C4021821,0,7.339224939751554e-06
2324,C4021821,1,0.0006886126756732279
1024,C4025846,0,3.4990144556430444e-06
2324,C4025846,1,5.109163959685628e-06
50511,C0000809,0,2.874835056347463e-06
2324,C0000809,1,7.747634254077575e-07
51305,C0014553,1,6.239596999691865e-06
602,C0014553,0,7.132102551248118e-06
51305,C4553705,1,6.239596999691865e-06
602,C4553705,0,7.132102551248118e-06
22926,C0152200,1,4.231275686153401e-06
238,C0152200,0,0.0003397223535679822
4791,C2936664,0,6.490193545722783e-06
115650,C2936664,0,1.903718739961986e-05
50618,C2936664,1,7.729688643402399e-05
145258,C2936664,1,0.0026071392546061843
6497,C0702169,1,0.0006145511159301731
5697,C0702169,1,3.60242891711397e-06
27443,C0702169,1,0.008728289617937127
5985,C0702169,0,1.6194470634382121e-06
100506164,C0702169,0,4.083031797348189e-06
50856,C0702169,0,2.9515246695324314e-06
4644,C3495588,0,1.1514675613896575e-05
2324,C3495588,1,0.02404051624890323
1947,C0030044,0,9.625521047909655e-05
4745,C0030044,0,6.008219749601179e-06
50618,C0030044,1,0.00014907276848327215
145258,C0030044,1,3.989260914898218e-06
5698,C0001197,0,1.227500907463943e-05
2324,C0001197,1,1.926100316642636e-06
8200,C2930970,0,1.534190613407559e-05
238,C2930970,1,0.0068618550546778396
9101,C1306214,0,1.3507857786778734e-05
2324,C1306214,1,1.6913285178783768e-05
5274,C0751779,1,1.1600492571816611e-07
7957,C0751779,0,1.0143955959230774e-05
5213,C0751779,0,1.9837924417531728e-06
4063,C0751779,1,9.824935514371439e-06
3360,C0751956,1,1.5313471730511225e-05
3777,C0751956,0,3.087482353831235e-05
10594,C0751956,1,4.534567690082269e-05
1523,C0751956,0,7.6762556604045e-06
10036,C0751956,0,3.202558273813055e-05
4077,C0751956,1,6.248017636895787e-06
1139,C0546126,1,0.00015286059550496866
23607,C0546126,1,6.410667391430088e-05
7447,C0546126,1,3.805008532383272e-06
54209,C0546126,1,5.8630005400453094e-05
51225,C0546126,1,6.435642630434863e-05
7019,C0546126,0,1.2025448371996798e-06
6517,C0546126,0,9.432674251532633e-06
10073,C0546126,0,4.74848228825394e-05
2288,C0546126,0,4.767559151391956e-06
54149,C0546126,0,2.111624144834266e-05
3934,C0546126,1,0.0003608693062814819
10481,C0546126,0,2.327265705203319e-06
55211,C0546126,0,6.788499573777769e-05
400,C0546126,1,3.2219267424580337e-06
5069,C0948089,0,0.00013435927951727173
2923,C0948089,1,0.002512467139557612
1158,C0948089,0,4.395935872768326e-05
3945,C0948089,0,9.219684787516356e-05
4089,C0948089,1,9.479535978759366e-05
9464,C0948089,1,0.005812804143669721
10067,C0948089,1,0.00022203282882910237
56882,C0948089,0,1.3932303057865392e-05
7372,C0023440,0,0.0003803425701386008
2324,C0023440,1,6.403659247705026e-06
3219,C2930974,0,4.402705988200568e-06
284,C2930974,1,0.00016892695710110818
3219,C2930975,0,4.402705988200568e-06
284,C2930975,1,0.00016892695710110818
3219,C2930977,0,4.402705988200568e-06
284,C2930977,1,0.00016892695710110818
10411,C2609414,0,6.084558866211659e-06
3816,C2609414,1,2.9583012659698757e-05
100506658,C2609414,1,2.298041092819599e-06
2671,C2609414,1,0.00011833415725242362
116085,C2609414,0,2.7843175735939394e-06
9493,C2609414,1,4.942418764572043e-05
84779,C2609414,0,7.966826145890826e-06
51162,C2609414,1,6.208144876375765e-06
117154,C2609414,0,4.303262927935577e-06
9118,C2609414,0,1.6204517957872057e-06
10411,C1565662,0,6.084558866211659e-06
3816,C1565662,1,2.9583012659698757e-05
100506658,C1565662,1,2.298041092819599e-06
2671,C1565662,1,0.00011833415725242362
116085,C1565662,0,2.7843175735939394e-06
9493,C1565662,1,4.942418764572043e-05
84779,C1565662,0,7.966826145890826e-06
51162,C1565662,1,6.208144876375765e-06
117154,C1565662,0,4.303262927935577e-06
9118,C1565662,0,1.6204517957872057e-06
90,C0242488,1,0.0001400052816048836
6441,C0242488,0,8.372989562434167e-06
7203,C0242488,0,1.5359785425546917e-05
57088,C0242488,1,1.6861463697251498e-05
641,C0023449,1,2.9600123918784764e-05
602,C0023449,0,0.0002560485704688046
2178,C0023465,0,2.1705371302572252e-05
2189,C0023465,1,0.01281384886369532
55120,C0023465,0,7.537007886100537e-06
8660,C0023465,1,0.009997183639729339
221037,C0023465,1,0.0004335810788230678
3000,C0023465,0,9.358346996502493e-06
6919,C1879321,0,3.8974729236245586e-06
4928,C1879321,1,0.00020585755059780521
26511,C1879321,1,3.059637157822655e-05
4026,C1879321,1,2.6449309835228837e-05
1512,C1879321,0,7.828610871559895e-06
1269,C1879321,1,1.9513599752966662e-05
51341,C1879321,1,5.443398247643956e-05
6455,C1879321,1,2.813842297595169e-05
55740,C1879321,0,3.5111804185059707e-05
2969,C1879321,0,2.086913472930761e-05
5457,C1879321,1,4.049129232775198e-05
4330,C1879321,1,3.3307977250143484e-05
55252,C1879321,0,0.0
1119,C1879321,0,2.4132412009881614e-05
84967,C1879321,0,4.4749510384962275e-05
57685,C1879321,1,4.240231480218722e-05
23761,C1879321,1,0.00033882199101772437
644890,C1879321,0,3.9061481266117044e-05
26119,C1879321,1,6.92280929649487e-06
53343,C1879321,0,0.0
1081,C1879321,0,6.668876089452169e-06
84106,C1879321,0,0.0001913948047714552
6642,C1879321,1,2.4521451258174854e-05
25953,C1879321,1,1.8702987496286875e-05
489,C1879321,0,9.192275525357566e-06
4779,C1879321,0,9.44722031533695e-06
3219,C2930976,0,4.402705988200568e-06
284,C2930976,1,0.00016892695710110818
6919,C0026998,0,3.8974729236245586e-06
4928,C0026998,1,0.00020585755059780521
26511,C0026998,1,3.059637157822655e-05
4026,C0026998,1,2.6449309835228837e-05
1512,C0026998,0,7.828610871559895e-06
1269,C0026998,1,1.9513599752966662e-05
51341,C0026998,1,5.443398247643956e-05
6455,C0026998,1,2.813842297595169e-05
55740,C0026998,0,3.5111804185059707e-05
2969,C0026998,0,2.086913472930761e-05
5457,C0026998,1,4.049129232775198e-05
4330,C0026998,1,3.3307977250143484e-05
55252,C0026998,0,0.0
1119,C0026998,0,2.4132412009881614e-05
84967,C0026998,0,4.4749510384962275e-05
57685,C0026998,1,4.240231480218722e-05
23761,C0026998,1,0.00033882199101772437
644890,C0026998,0,3.9061481266117044e-05
26119,C0026998,1,6.92280929649487e-06
53343,C0026998,0,0.0
1081,C0026998,0,6.668876089452169e-06
84106,C0026998,0,0.0001913948047714552
6642,C0026998,1,2.4521451258174854e-05
25953,C0026998,1,1.8702987496286875e-05
489,C0026998,0,9.192275525357566e-06
4779,C0026998,0,9.44722031533695e-06
865,C0023479,0,2.7274527932945124e-06
2324,C0023479,1,3.435128664760178e-06
23604,C0023487,1,8.33296732520259e-05
1668,C0023487,0,4.080923839952774e-06
1053,C0023487,0,0.00012261526739946001
5757,C0023487,1,7.405587006357571e-06
51378,C0023487,0,1.119658510047358e-05
2779,C0023487,1,7.607820060266395e-06
10211,C0519066,1,6.754164372635249e-06
284,C0519066,0,3.944106741942475e-06
11330,C0267937,0,5.13250178436918e-06
2324,C0267937,1,8.06292911062574e-05
1152,C0857501,0,8.006605196853057e-06
2324,C0857501,1,1.9545844755411816e-06
4261,C0001403,1,1.897513706820515e-05
284,C0001403,0,7.0022475930249e-07
5519,C0338106,0,2.5060804402687773e-06
2324,C0338106,1,1.0571425078970359e-05
1794,C0279628,1,3.578977566662735e-05
4311,C0279628,0,1.8881784562512492e-05
5590,C1319315,1,1.122089873855773e-05
5063,C1319315,0,2.0945127395260103e-05
8313,C1319315,1,7.308965201427202e-05
5378,C1319315,0,1.9215906645675055e-05
5593,C1319315,0,2.0582796546933126e-05
6196,C1319315,1,0.0005833705627360538
79012,C1319315,0,6.279738972022552e-07
29904,C1319315,1,0.00044520292969724184
2045,C1319315,0,5.317409770836231e-05
1535,C1319315,1,0.0002641243661312082
1832,C1319315,1,4.6918400120399426e-05
4052,C1319315,0,2.2445983236567688e-05
222389,C1319315,0,1.0809082137082237e-05
5213,C1319315,1,8.68469117178238e-05
2742,C1319315,1,4.235835459203718e-05
4012,C1319315,0,1.1376737654189944e-05
10295,C1319315,1,9.235880256002523e-05
5024,C1319315,0,1.3718291966629813e-06
