GeneID,diseaseID,label,score
221037,C2936346,0,2.195425078007439e-05
6239,C2936346,1,2.6223727337272604e-05
54931,C2936346,1,1.0309037083423081e-05
374900,C2936346,0,3.3053606420865218e-06
421,C3266101,0,1.8071088970494587e-05
6239,C3266101,1,1.0719149987382125e-05
55174,C3266101,1,3.443408676426437e-05
9808,C3266101,0,7.725171483643506e-06
5495,C4304537,1,1.4351808046797189e-05
9808,C4304537,0,2.1196081057930575e-06
9581,C4749458,0,1.1088730263329924e-05
9270,C4749458,1,1.1840360699962732e-05
64087,C0268600,1,0.006763833956437212
84525,C0268600,0,3.7717387936711663e-06
28952,C0796137,1,0.00029039067029626355
10569,C0796137,0,2.0374290181384833e-05
6845,C4510744,1,9.384873240034953e-06
9808,C4510744,0,5.884511941711812e-06
3973,C3489793,0,3.4547810891458598e-06
9270,C3489793,1,1.4746728964848749e-06
6210,C2931850,1,0.0014038207381003361
11224,C2931850,1,0.001399075118179475
6235,C2931850,0,0.0004668767055409451
80333,C2931850,0,9.0463207094924e-06
2110,C2931850,1,0.0015421008689193803
7525,C2931850,0,7.531170377768831e-06
867,C1563730,1,1.9283967475306257e-05
6947,C1563730,0,1.0235330623058228e-06
79783,C0270858,1,1.8210465135759897e-06
9808,C0270858,0,1.3858468643413101e-06
8772,C4049796,1,2.4317075892264354e-05
84525,C4049796,0,1.6981407361757572e-05
2806,C4022810,1,2.6405459525338217e-05
1781,C4022810,0,2.9019436619711693e-05
9808,C4022810,1,2.0875150852417125e-05
10498,C4022810,0,3.847935564676667e-06
23291,C4021812,1,6.508171808489702e-06
10569,C4021812,0,1.5228400003039172e-06
129285,C4018871,1,2.881478210801173e-05
84525,C4018871,0,2.6336526783037083e-05
7703,C4021790,1,5.7179379794742154e-05
23512,C4021790,1,1.8222789914442073e-05
54931,C4021790,0,1.551069404246572e-05
374900,C4021790,0,3.274361386958422e-05
8295,C4021821,1,5.5202739535512247e-05
84525,C4021821,0,1.3696486733278557e-05
84148,C4025846,1,2.099098272363002e-05
9808,C4025846,0,4.5048275214790774e-06
9586,C0000809,1,4.242909193815906e-06
84525,C0000809,0,2.497492491773266e-06
8629,C0014553,0,7.95492036658415e-06
9254,C0014553,1,3.23202065077192e-06
9472,C0014553,0,1.6378994388086339e-06
140886,C0014553,1,2.4985188295727356e-06
8629,C4553705,0,7.927293324756676e-06
51305,C4553705,0,1.7359391186821444e-06
9472,C4553705,1,2.6631927200213787e-06
140886,C4553705,1,8.041431536589026e-07
1261,C0152200,1,1.0490735588044384e-05
2780,C0152200,1,0.01210305653413697
137735,C0152200,0,6.899052750228413e-06
6947,C0152200,0,1.4367046735132959e-06
10320,C2936664,1,1.9446099502413694e-05
4791,C2936664,1,6.508515827508952e-05
54931,C2936664,0,1.7873561413956803e-05
9808,C2936664,0,7.452224260194713e-06
359,C0268443,0,6.451298525929636e-06
9270,C0268443,1,8.201429621702141e-07
10908,C0751449,1,1.5503411477129212e-05
10569,C0751449,0,2.777840019730599e-05
2348,C0702169,0,1.3383631061236665e-05
4886,C0702169,1,4.2713289370350175e-06
57822,C0702169,1,4.366394947445123e-06
635,C0702169,0,0.00024139639013810894
24137,C0702169,0,7.768008186345457e-06
1508,C0702169,1,1.0157199597954832e-05
6900,C0702169,1,0.0037510671150750565
5873,C0702169,0,2.2896345133335467e-05
2290,C0796147,1,3.12216476481972e-05
10569,C0796147,0,2.6458125793346246e-05
4644,C3495588,1,0.005847115737043318
84525,C3495588,0,5.805780827018837e-06
51715,C1275078,0,5.1519529490569065e-06
9270,C1275078,1,3.0470358902361187e-06
4745,C0030044,0,8.242831666634879e-06
1947,C0030044,0,2.7133366218073874e-05
60529,C0030044,1,2.2002156261317715e-05
25988,C0030044,1,3.0370491479666805e-05
887,C0030044,1,1.715783580890687e-05
9808,C0030044,0,2.191891293359512e-06
55630,C0001197,1,6.911485635008155e-05
929,C0001197,0,3.94324864447019e-05
130340,C0392439,0,7.596730612392538e-06
9270,C0392439,1,1.5816072870331434e-06
9049,C0001206,1,2.879214617080362e-06
84525,C0001206,0,9.594928578000759e-07
658,C2930970,1,0.0023898496499905374
51284,C2930970,0,3.1075947691609164e-06
9719,C0265287,0,4.951960408015366e-06
9270,C0265287,1,2.2370548177250697e-05
79798,C1857451,0,3.2408755977444544e-06
9270,C1857451,1,1.4922846981623818e-06
9049,C1306214,1,3.908241586914227e-05
10569,C1306214,0,1.337216997171735e-05
4758,C0751779,1,8.931155076158884e-06
378884,C0751779,1,0.004169376286090942
26278,C0751779,0,1.0393764934220615e-05
10225,C0751779,0,8.486731602731886e-07
107987373,C0751779,0,6.843122734410436e-06
113763,C0751779,1,1.3787186052876615e-05
10594,C0751956,0,4.98435892141763e-06
5139,C0751956,1,2.1786301750233447e-05
463,C0751956,1,1.7690978781568475e-05
287,C0751956,0,7.377319030289595e-06
3777,C0751956,0,0.00016267494552404322
6947,C0751956,1,8.089813857686119e-06
54809,C0751956,1,8.026731678995067e-06
1048,C0751956,0,3.879775706756069e-06
1111,C0751956,1,7.197779794383778e-06
94030,C0751956,0,5.279402045195163e-06
79783,C0521664,1,1.8210465135759897e-06
9808,C0521664,0,1.3858468643413101e-06
5649,C0546126,1,2.9612436383754673e-05
7018,C0546126,1,4.137959725731818e-05
5819,C0546126,1,4.39239579268019e-05
7167,C0546126,1,1.3799820930993878e-05
267,C0546126,1,3.043066546565263e-05
57091,C0546126,0,3.200476907543559e-05
3416,C0546126,0,1.4640605201212679e-05
3635,C0546126,1,4.802555394580444e-05
945,C0546126,0,1.2196646050510555e-05
25921,C0546126,1,0.00011474053194724321
51071,C0546126,0,5.9562527665889225e-06
219927,C0546126,0,1.3825539890185058e-05
112942,C0546126,0,1.4569329536294893e-05
3691,C0546126,1,6.517041574309505e-06
