GeneID,diseaseID,label,score
221037,C2936346,1,7.826951564331714e-07
7290,C2936346,1,2.540165215859993e-06
343099,C2936346,0,6.466248986828772e-07
90874,C2936346,0,5.179064287500199e-07
7290,C3266101,0,2.0214592085719507e-05
2548,C3266101,1,2.7343907564668168e-06
79823,C4304537,0,5.6930882617894155e-06
2548,C4304537,1,0.015062680696651207
9581,C4749458,0,1.3693075565236733e-06
3250,C4749458,1,0.019571401995893904
64087,C0268600,0,7.37097430637828e-06
341,C0268600,1,0.02142633784100859
6845,C4510744,1,1.7190591898308425e-05
83744,C4510744,0,3.653261121660012e-07
3973,C3489793,1,0.004560688338318854
3250,C3489793,0,7.175416545884152e-06
6232,C2931850,1,0.001953606361395088
6235,C2931850,1,0.0019480129524244826
6210,C2931850,1,0.0017086943835740553
973,C2931850,0,3.850012148252789e-06
10446,C2931850,0,2.146114300701073e-06
51700,C2931850,0,8.343735006616416e-07
2879,C1563730,0,2.6515741706775936e-05
57826,C1563730,1,4.354307777551677e-05
9457,C0270858,0,6.3383667224337295e-06
138050,C0270858,1,2.029306766200697e-06
1024,C4049796,0,3.527240793903037e-06
3250,C4049796,1,1.3840462912250759e-05
5515,C4022810,1,0.00016686860865512844
23162,C4022810,0,0.00031475114174477336
9662,C4022810,0,2.4297069131177352e-06
23551,C4022810,1,3.5660047161188983e-05
23291,C4021812,1,2.1167247261761482e-06
4018,C4021812,0,2.6773312701209105e-06
23512,C4018871,1,4.460111442933541e-06
3250,C4018871,0,3.372437366801882e-07
54499,C4021790,0,1.5160326981398464e-05
26173,C4021790,1,3.905698183480098e-05
6505,C4021790,0,1.6449378503575313e-06
95681,C4021790,1,4.975818930269054e-06
8295,C4021821,1,7.775182266523771e-05
3250,C4021821,0,6.435719148263316e-07
84148,C4025846,0,6.273557702169476e-05
2548,C4025846,1,1.690990454478698e-05
50511,C0000809,0,1.4695420864540481e-05
3250,C0000809,1,1.1540242094927982e-05
9254,C0014553,1,0.0020014864050510056
57826,C0014553,0,4.897123173528047e-06
9254,C4553705,1,0.0020014864050510056
57826,C4553705,0,4.897123173528047e-06
22926,C0152200,1,1.972116472957589e-06
5149,C0152200,0,7.911990750013331e-05
6505,C0152200,0,2.4660717612808058e-06
54930,C0152200,1,0.013527702605712505
115650,C2936664,1,0.0018784221298990987
29851,C2936664,0,7.4548826665478e-06
29124,C2936664,0,2.397312920682759e-06
10382,C2936664,1,1.5364052979952664e-05
359,C0268443,1,0.003842250037552696
4018,C0268443,0,4.4583886026554144e-05
6342,C0751449,1,1.2304825472793733e-05
3250,C0751449,0,0.00026722268704662365
