GeneID,diseaseID,label,score
221037,C2936346,1,5.2564425e-05
598,C2936346,0,3.676991e-24
2253,C2936346,1,-1.6349974e-05
28996,C2936346,0,-3.2874927e-05
374403,C3266101,0,-7.3043264e-25
221037,C3266101,1,-3.6440483e-06
28996,C3266101,0,-1.2641577e-05
6239,C3266101,1,-6.641863e-05
6519,C4304537,1,-4.7840615e-05
4058,C4304537,0,-0.00016501345
4311,C4510744,0,3.722681e-05
6845,C4510744,1,-1.0509065e-05
1583,C3489793,1,1.6345086e-06
2263,C3489793,0,1.8391564e-27
6154,C2931850,1,9.561454e-05
27243,C2931850,0,4.0543775e-05
6232,C2931850,1,1.1054577e-08
51606,C2931850,0,-8.828488e-25
284,C1563730,0,2.0254052e-27
3640,C1563730,1,-1.4059295e-09
1024,C4049796,1,1.5515846e-07
2324,C4049796,0,1.4970464e-24
2222,C4022810,1,2.5991458e-06
192683,C4022810,1,2.5668808e-06
4208,C4022810,0,5.629147e-07
57088,C4022810,0,-8.081781e-07
57178,C4021790,1,1.9320553e-06
374403,C4021790,0,3.4639356e-25
10297,C4021790,1,-4.503219e-07
28996,C4021790,0,-4.22799e-06
2324,C4021821,0,1.0695068e-26
57178,C4021821,1,-6.052027e-07
2324,C4025846,0,-1.2554262e-27
1024,C4025846,1,-3.875894e-10
50511,C0000809,1,1.2088222e-11
2324,C0000809,0,1.053356e-27
51305,C0014553,1,-7.479723e-09
602,C0014553,0,-3.722717e-07
51305,C4553705,1,1.0897566e-09
602,C4553705,0,-8.126625e-08
22926,C0152200,1,5.7261707e-07
238,C0152200,0,2.3588615e-24
50618,C2936664,0,3.822913e-05
145258,C2936664,0,9.620015e-06
115650,C2936664,1,1.1167583e-08
4791,C2936664,1,-3.5208686e-05
50856,C0702169,0,5.9778513e-06
5985,C0702169,0,1.8056113e-08
27443,C0702169,1,5.4823433e-27
6497,C0702169,1,-1.774033e-07
100506164,C0702169,0,-2.7447075e-07
5697,C0702169,1,-5.366181e-05
2324,C3495588,0,4.3907755e-26
4644,C3495588,1,-3.9052325e-06
145258,C0030044,0,2.808563e-06
1947,C0030044,1,-1.2641874e-05
50618,C0030044,0,-9.957e-05
4745,C0030044,1,-0.00012982078
2324,C0001197,0,-2.6140206e-26
5698,C0001197,1,-7.60537e-09
8200,C2930970,1,0.00016789364
238,C2930970,0,-5.3294894e-24
2324,C1306214,0,-1.6445265e-27
9101,C1306214,1,-2.1945652e-07
5274,C0751779,1,9.580401e-07
7957,C0751779,1,1.1530137e-24
4063,C0751779,0,-3.725437e-05
5213,C0751779,0,-0.0006211768
1523,C0751956,0,1.973499e-05
4077,C0751956,0,1.5968133e-05
10594,C0751956,1,1.8300506e-06
3777,C0751956,1,-1.5437622e-06
10036,C0751956,0,-6.649222e-05
3360,C0751956,1,-0.00044979935
54209,C0546126,1,0.00040669183
23607,C0546126,1,2.8853894e-05
7447,C0546126,1,2.4881901e-05
10481,C0546126,0,7.0851524e-06
6517,C0546126,1,6.6308035e-06
7019,C0546126,1,1.2966308e-06
54149,C0546126,0,1.7535776e-24
400,C0546126,0,-2.6748828e-26
2288,C0546126,0,-1.2007289e-08
3934,C0546126,0,-8.86001e-07
10073,C0546126,0,-3.408784e-06
51225,C0546126,1,-5.797844e-06
1139,C0546126,1,-4.1478674e-05
55211,C0546126,0,-0.00020106995
3945,C0948089,1,9.880128e-06
9464,C0948089,0,1.5065839e-06
56882,C0948089,0,3.8416244e-09
1158,C0948089,1,1.5601045e-09
10067,C0948089,0,1.2030888e-27
2923,C0948089,1,-2.6074687e-07
5069,C0948089,1,-2.4349542e-06
4089,C0948089,0,-8.640739e-06
2324,C0023440,0,4.0791958e-25
7372,C0023440,1,-5.4234424e-06
3219,C2930974,1,3.6204145e-07
284,C2930974,0,2.523697e-26
3219,C2930975,1,6.9164053e-06
284,C2930975,0,-3.841334e-25
284,C2930977,0,3.2073467e-28
3219,C2930977,1,-8.476711e-10
9493,C2609414,0,0.00027228225
100506658,C2609414,1,3.971739e-05
3816,C2609414,1,2.5665863e-06
51162,C2609414,0,2.5521367e-06
2671,C2609414,1,1.2765683e-07
116085,C2609414,1,-1.2663776e-07
10411,C2609414,1,-3.0620897e-06
9118,C2609414,0,-2.7836279e-05
84779,C2609414,0,-5.452418e-05
117154,C2609414,0,-9.207471e-05
9118,C1565662,0,0.00014742101
100506658,C1565662,1,7.983399e-05
10411,C1565662,1,1.5785385e-05
2671,C1565662,1,7.495518e-08
116085,C1565662,1,-8.115085e-08
51162,C1565662,0,-9.488155e-07
3816,C1565662,1,-5.2289884e-06
117154,C1565662,0,-8.238847e-06
84779,C1565662,0,-9.498269e-06
9493,C1565662,0,-0.00014655154
6441,C0242488,1,7.906051e-06
7203,C0242488,0,-1.892029e-06
57088,C0242488,0,-1.2351443e-05
90,C0242488,1,-1.6899632e-05
641,C0023449,1,1.003932e-05
602,C0023449,0,2.3035957e-06
2178,C0023465,1,0.00012191072
221037,C0023465,0,-8.50325e-07
2189,C0023465,1,-1.0844783e-06
55120,C0023465,1,-2.184591e-06
8660,C0023465,0,-2.5995007e-05
3000,C0023465,0,-5.171532e-05
489,C1879321,0,0.0006956325
1269,C1879321,1,0.0001118841
4779,C1879321,0,5.3331198e-05
4330,C1879321,1,4.9253194e-05
1119,C1879321,0,3.5268262e-05
4928,C1879321,1,1.3409925e-05
2969,C1879321,1,1.0348755e-05
6455,C1879321,1,7.926933e-06
53343,C1879321,0,2.159112e-06
5457,C1879321,1,6.267635e-07
26119,C1879321,0,1.7575026e-07
6642,C1879321,0,1.3616054e-07
644890,C1879321,0,6.4872144e-22
57685,C1879321,0,1.1767773e-24
84967,C1879321,0,4.6067983e-25
84106,C1879321,0,4.0025924e-26
6919,C1879321,1,-6.691586e-25
26511,C1879321,1,-1.4981715e-07
4026,C1879321,1,-3.086521e-05
51341,C1879321,1,-3.929091e-05
1081,C1879321,0,-6.743505e-05
55740,C1879321,1,-7.0376685e-05
25953,C1879321,0,-7.362947e-05
23761,C1879321,0,-9.830073e-05
55252,C1879321,1,-0.000165211
1512,C1879321,1,-0.00022280427
284,C2930976,0,2.81278e-26
3219,C2930976,1,-5.97028e-08
23761,C0026998,0,0.00015736301
1269,C0026998,1,0.00011071442
4026,C0026998,1,3.512482e-05
53343,C0026998,0,1.0040325e-05
4330,C0026998,1,5.227573e-06
4928,C0026998,1,3.540512e-06
1119,C0026998,0,1.8295315e-06
4779,C0026998,0,3.6364912e-07
26511,C0026998,1,1.365992e-07
26119,C0026998,0,2.5398059e-08
644890,C0026998,0,2.2619214e-22
6919,C0026998,1,1.570896e-24
84967,C0026998,0,1.0064352e-24
84106,C0026998,0,-1.1535983e-24
57685,C0026998,0,-1.2730682e-24
6642,C0026998,0,-3.0796937e-07
5457,C0026998,1,-5.4553215e-07
55740,C0026998,1,-1.8048971e-05
6455,C0026998,1,-3.1701926e-05
55252,C0026998,1,-6.9017166e-05
51341,C0026998,1,-0.00010272879
1512,C0026998,1,-0.00011326923
2969,C0026998,1,-0.0001843758
1081,C0026998,0,-0.00019720895
489,C0026998,0,-0.00029837617
