GeneID,diseaseID,label,score
54931,C2936346,0,4.4270724e-08
374900,C2936346,0,1.525139e-08
6239,C2936346,1,5.344181e-10
221037,C2936346,1,-1.1052861e-07
6239,C3266101,1,-9.191696e-07
421,C3266101,1,-1.4343597e-06
9808,C3266101,0,-9.426142e-06
55174,C3266101,0,-9.5785595e-05
5495,C4304537,1,-2.2471638e-10
9808,C4304537,0,-6.182815e-06
9581,C4749458,1,4.193232e-07
9270,C4749458,0,-3.381909e-06
64087,C0268600,1,2.4608487e-11
84525,C0268600,0,-7.561149e-12
28952,C0796137,1,1.5054473e-05
10569,C0796137,0,3.5412788e-06
6845,C4510744,1,1.1287971e-06
9808,C4510744,0,3.2764615e-07
9270,C3489793,0,4.6115772e-05
3973,C3489793,1,-4.8334523e-06
2110,C2931850,0,3.4952745e-06
7525,C2931850,0,8.050905e-07
6235,C2931850,1,1.3329525e-07
11224,C2931850,1,-1.1565488e-07
80333,C2931850,0,-4.6940772e-07
6210,C2931850,1,-8.9782145e-05
6947,C1563730,0,2.0880752e-06
867,C1563730,1,3.0937196e-07
9808,C0270858,0,3.7268467e-07
79783,C0270858,1,-7.7879075e-10
84525,C4049796,0,4.7362e-09
8772,C4049796,1,-1.09828265e-10
9808,C4022810,0,4.4372973e-05
2806,C4022810,1,1.15309305e-07
1781,C4022810,1,-3.508978e-07
10498,C4022810,0,-8.1309945e-06
23291,C4021812,1,-4.9558616e-07
10569,C4021812,0,-3.63373e-05
129285,C4018871,1,1.1834538e-21
84525,C4018871,0,-7.7478806e-05
7703,C4021790,1,1.4941128e-05
374900,C4021790,0,-1.5802675e-07
23512,C4021790,1,-3.831702e-06
54931,C4021790,0,-4.298001e-06
84525,C4021821,0,7.7664805e-07
8295,C4021821,1,-8.302049e-09
9808,C4025846,0,6.5933693e-07
84148,C4025846,1,-2.4556542e-07
84525,C0000809,0,2.3239705e-08
9586,C0000809,1,-1.8112395e-10
8629,C0014553,1,3.702223e-08
140886,C0014553,0,-1.741402e-08
9254,C0014553,1,-6.2114714e-07
9472,C0014553,0,-2.8386366e-06
8629,C4553705,1,1.7075192e-05
51305,C4553705,1,1.2175262e-09
140886,C4553705,0,-3.8727965e-05
9472,C4553705,0,-0.00039308003
2780,C0152200,1,6.221622e-07
6947,C0152200,0,1.5446328e-07
1261,C0152200,1,3.555338e-09
137735,C0152200,0,-3.7389957e-06
4791,C2936664,1,1.6856441e-06
9808,C2936664,0,1.2281596e-06
10320,C2936664,1,-4.4745562e-07
54931,C2936664,0,-2.3117598e-06
9270,C0268443,0,8.787974e-06
359,C0268443,1,-5.333928e-23
10908,C0751449,1,4.9124633e-06
10569,C0751449,0,-5.43825e-05
6900,C0702169,0,2.5981795e-05
5873,C0702169,0,1.1694136e-05
1508,C0702169,0,3.093197e-09
24137,C0702169,0,-1.5786281e-09
57822,C0702169,1,-4.4446344e-09
4886,C0702169,1,-8.003814e-07
2348,C0702169,1,-2.8545398e-06
635,C0702169,1,-2.1307895e-05
2290,C0796147,1,-5.1560884e-05
10569,C0796147,0,-0.00010816209
84525,C3495588,0,5.406764e-07
4644,C3495588,1,6.6965655e-10
51715,C1275078,1,7.371658e-08
9270,C1275078,0,-0.0005344368
4745,C0030044,1,3.0391499e-05
25988,C0030044,0,2.7592923e-05
60529,C0030044,1,1.0423334e-05
1947,C0030044,1,-2.2796277e-07
887,C0030044,0,-1.1852323e-05
9808,C0030044,0,-9.5837706e-05
929,C0001197,0,3.403547e-08
55630,C0001197,1,-9.393693e-07
9270,C0392439,0,2.6702535e-05
130340,C0392439,1,2.9586766e-07
9049,C0001206,1,-2.617168e-07
84525,C0001206,0,-1.3208047e-06
51284,C2930970,0,-5.2337796e-08
658,C2930970,1,-6.803152e-08
9270,C0265287,0,9.763884e-09
9719,C0265287,1,-1.8636195e-09
79798,C1857451,1,4.3620634e-07
9270,C1857451,0,-0.00050896755
10569,C1306214,0,1.8771328e-06
9049,C1306214,1,-4.7188414e-07
4758,C0751779,1,0.00028650922
378884,C0751779,1,6.3012936e-05
10225,C0751779,0,1.0671697e-06
113763,C0751779,0,-7.811092e-22
107987373,C0751779,0,-2.1133655e-21
26278,C0751779,1,-4.4535274e-05
287,C0751956,1,1.7682014e-05
1048,C0751956,0,4.7866993e-06
1111,C0751956,0,1.9651198e-08
10594,C0751956,1,2.333308e-09
6947,C0751956,0,-6.0126945e-07
463,C0751956,1,-6.167379e-07
94030,C0751956,0,-1.4441742e-06
5139,C0751956,1,-7.896129e-06
3777,C0751956,1,-1.6191476e-05
54809,C0751956,0,-1.804834e-05
79783,C0521664,1,-5.8039045e-09
