GeneID,diseaseID,label,score
221037,C2936346,1,4.743392e-05
90874,C2936346,0,-6.7875985e-09
343099,C2936346,0,-8.408534e-09
7290,C2936346,1,-9.063548e-05
2548,C3266101,0,2.9403765e-07
7290,C3266101,1,-1.0490389e-05
79823,C4304537,1,1.2206304e-08
2548,C4304537,0,-1.2146238e-08
9581,C4749458,1,-4.7638204e-10
3250,C4749458,0,-1.2097637e-06
64087,C0268600,1,1.467197e-11
341,C0268600,0,-2.3804805e-09
6845,C4510744,1,1.340207e-06
83744,C4510744,0,-9.066447e-10
3250,C3489793,0,1.1302054e-08
3973,C3489793,1,3.3977057e-11
973,C2931850,0,2.0980244e-06
51700,C2931850,0,-5.1329124e-10
10446,C2931850,0,-9.0726227e-10
6232,C2931850,1,-2.4796696e-09
6210,C2931850,1,-1.6453297e-08
6235,C2931850,1,-1.8832699e-06
2879,C1563730,1,1.2685876e-05
57826,C1563730,0,2.4159277e-09
9457,C0270858,1,2.0731295e-11
138050,C0270858,0,-7.769563e-08
1024,C4049796,1,5.831661e-12
3250,C4049796,0,-2.2455458e-08
5515,C4022810,1,7.053462e-05
23162,C4022810,1,1.0842342e-05
23551,C4022810,0,3.7694056e-06
9662,C4022810,0,-8.7551575e-07
4018,C4021812,0,3.6470303e-07
23291,C4021812,1,1.2472175e-12
3250,C4018871,0,-3.3109433e-08
23512,C4018871,1,-2.0591146e-07
26173,C4021790,1,2.5623644e-06
95681,C4021790,0,1.2120942e-08
6505,C4021790,0,-9.727527e-07
54499,C4021790,1,-5.01729e-06
8295,C4021821,1,3.027244e-09
3250,C4021821,0,3.922471e-10
84148,C4025846,1,4.9211888e-08
2548,C4025846,0,-5.631944e-07
50511,C0000809,1,-1.0501329e-11
3250,C0000809,0,-2.1430746e-07
9254,C0014553,1,1.9602084e-09
57826,C0014553,0,1.9149519e-11
57826,C4553705,0,7.1036996e-12
9254,C4553705,1,-5.0191384e-10
54930,C0152200,0,1.7862743e-06
5149,C0152200,1,5.1814453e-08
22926,C0152200,1,3.4317143e-08
6505,C0152200,0,-5.8153313e-07
29124,C2936664,0,1.5418415e-07
