GeneID,diseaseID,label,score
221037,C2936346,1,1.6239598
2253,C2936346,1,0.8783672
598,C2936346,0,-0.24665534
28996,C2936346,0,-2.5941265
6239,C3266101,1,1.5630898
221037,C3266101,1,1.4073902
374403,C3266101,0,-0.22642437
28996,C3266101,0,-2.275841
6519,C4304537,1,0.60579485
4058,C4304537,0,-0.0054242876
6845,C4510744,1,0.20328096
4311,C4510744,0,-0.15068519
1583,C3489793,1,0.14582784
2263,C3489793,0,-0.13077363
6154,C2931850,1,0.57177985
27243,C2931850,0,0.21667291
51606,C2931850,0,-0.051650755
6232,C2931850,1,-0.080694064
3640,C1563730,1,0.03155311
284,C1563730,0,-0.073725745
1024,C4049796,1,0.44950375
2324,C4049796,0,-0.119549096
192683,C4022810,1,0.16285238
2222,C4022810,1,0.1560679
4208,C4022810,0,0.14937082
57088,C4022810,0,0.10248347
57178,C4021790,1,0.6136899
10297,C4021790,1,0.5421969
374403,C4021790,0,-0.26273566
28996,C4021790,0,-2.7320771
57178,C4021821,1,0.17905672
2324,C4021821,0,-0.21112035
2324,C4025846,0,0.17257111
1024,C4025846,1,-0.19618218
50511,C0000809,1,0.058634203
2324,C0000809,0,-0.08605165
51305,C0014553,1,0.14681071
602,C0014553,0,0.008423704
51305,C4553705,1,0.046245422
602,C4553705,0,0.010985487
22926,C0152200,1,1.2933519
238,C0152200,0,-0.19078483
4791,C2936664,1,0.1319269
115650,C2936664,1,0.092262514
50618,C2936664,0,0.01044415
145258,C2936664,0,-0.30363062
6497,C0702169,1,0.6885038
5697,C0702169,1,0.68036383
50856,C0702169,0,0.114800416
27443,C0702169,1,-0.25122422
100506164,C0702169,0,-1.6793404
5985,C0702169,0,-2.4454355
4644,C3495588,1,0.30550832
2324,C3495588,0,-0.10359913
4745,C0030044,1,1.3075243
50618,C0030044,0,0.23960774
1947,C0030044,1,-0.4275411
145258,C0030044,0,-0.6717694
5698,C0001197,1,0.21181627
2324,C0001197,0,-0.08571267
8200,C2930970,1,0.6434908
238,C2930970,0,-0.10082278
9101,C1306214,1,0.15038888
2324,C1306214,0,0.002403237
5213,C0751779,0,0.56310356
4063,C0751779,0,0.342152
5274,C0751779,1,0.024704248
7957,C0751779,1,-0.21640053
