GeneID,diseaseID,label,score
221037,C2936346,1,1.0392445
6239,C2936346,1,1.0347517
54931,C2936346,0,-0.06479731
374900,C2936346,0,-0.27348965
421,C3266101,1,1.0907832
6239,C3266101,1,1.0439963
55174,C3266101,0,-1.1107082
9808,C3266101,0,-1.39663
5495,C4304537,1,-0.20992985
9808,C4304537,0,-1.0258127
9581,C4749458,1,0.3876305
9270,C4749458,0,-1.4272381
64087,C0268600,1,0.15050331
84525,C0268600,0,-0.2682967
28952,C0796137,1,0.72290754
10569,C0796137,0,-3.8155198
9808,C4510744,0,0.632745
6845,C4510744,1,-0.369212
3973,C3489793,1,0.5154996
9270,C3489793,0,-1.423305
6210,C2931850,1,1.56014
11224,C2931850,1,1.3754694
6235,C2931850,1,1.1028711
80333,C2931850,0,0.10370505
7525,C2931850,0,-0.06609249
2110,C2931850,0,-0.07121235
867,C1563730,1,0.27046672
6947,C1563730,0,-0.4102955
79783,C0270858,1,0.012970811
9808,C0270858,0,-1.1564938
8772,C4049796,1,-0.028174402
84525,C4049796,0,-0.32660532
2806,C4022810,1,0.6419504
10498,C4022810,0,0.2730327
1781,C4022810,1,0.19714725
9808,C4022810,0,-1.7233324
23291,C4021812,1,0.20238456
10569,C4021812,0,-0.6448513
129285,C4018871,1,-0.10462228
84525,C4018871,0,-0.28402042
23512,C4021790,1,1.1306714
7703,C4021790,1,0.46603644
54931,C4021790,0,-0.011253483
374900,C4021790,0,-0.37196714
8295,C4021821,1,0.5403091
84525,C4021821,0,-0.5208237
84148,C4025846,1,0.34633654
9808,C4025846,0,-0.31546846
9586,C0000809,1,0.10110909
84525,C0000809,0,-0.24472786
8629,C0014553,1,0.7365878
9254,C0014553,1,0.6274646
9472,C0014553,0,0.20154479
140886,C0014553,0,-0.21595661
8629,C4553705,1,0.8604668
51305,C4553705,1,0.28063542
9472,C4553705,0,0.17835787
140886,C4553705,0,-0.16879821
1261,C0152200,1,0.9108609
2780,C0152200,1,0.7469259
6947,C0152200,0,-0.5031443
137735,C0152200,0,-0.72447914
10320,C2936664,1,0.85291576
4791,C2936664,1,0.21720807
54931,C2936664,0,-0.1369702
9808,C2936664,0,-1.2893785
359,C0268443,1,-0.1237087
9270,C0268443,0,-1.5035083
10908,C0751449,1,0.7023116
10569,C0751449,0,-0.95666814
635,C0702169,1,0.7736065
2348,C0702169,1,0.6382638
4886,C0702169,1,0.47047576
57822,C0702169,1,0.41146696
24137,C0702169,0,0.29084817
5873,C0702169,0,0.0402119
1508,C0702169,0,-0.11611001
6900,C0702169,0,-0.29198897
2290,C0796147,1,0.44994178
10569,C0796147,0,-0.9734572
4644,C3495588,1,-0.066799715
84525,C3495588,0,-0.23045985
51715,C1275078,1,0.27356875
9270,C1275078,0,-1.1697896
4745,C0030044,1,0.5255894
60529,C0030044,1,0.4840311
1947,C0030044,1,0.46017155
887,C0030044,0,-0.1538729
25988,C0030044,0,-2.0491698
9808,C0030044,0,-2.282082
55630,C0001197,1,0.08617919
929,C0001197,0,-0.15348803
130340,C0392439,1,1.1162568
9270,C0392439,0,-0.99702764
9049,C0001206,1,0.19266587
84525,C0001206,0,-0.24792886
658,C2930970,1,0.84551156
51284,C2930970,0,-0.24032429
9719,C0265287,1,0.20407687
9270,C0265287,0,-1.4998008
79798,C1857451,1,0.07747376
9270,C1857451,0,-1.0079367
9049,C1306214,1,0.58050674
10569,C1306214,0,-1.6696885
4758,C0751779,1,1.6310283
26278,C0751779,1,1.4205906
378884,C0751779,1,1.3567725
10225,C0751779,0,0.34714678
107987373,C0751779,0,-0.2722251
113763,C0751779,0,-0.276074
10594,C0751956,1,0.3688152
287,C0751956,1,0.15450938
463,C0751956,1,0.14616203
3777,C0751956,1,0.144992
5139,C0751956,1,0.07343688
54809,C0751956,0,0.0055345097
6947,C0751956,0,-0.06925306
1111,C0751956,0,-0.119292654
1048,C0751956,0,-0.15874031
94030,C0751956,0,-0.1985252
79783,C0521664,1,0.02150711
9808,C0521664,0,-1.1817622
5649,C0546126,1,1.0254841
3635,C0546126,1,0.67689097
7018,C0546126,1,0.6453415
945,C0546126,1,0.6134483
5819,C0546126,1,0.5940197
26261,C0546126,0,0.514872
57091,C0546126,1,0.4829517
3691,C0546126,0,0.48209497
5618,C0546126,0,0.27954707
3416,C0546126,1,0.23643047
7167,C0546126,1,0.16339828
267,C0546126,1,0.038126517
51071,C0546126,0,0.024878565
25921,C0546126,0,-0.12720281
126402,C0546126,0,-0.17541192
259249,C0546126,0,-0.19866194
219927,C0546126,0,-0.19918084
112942,C0546126,0,-0.33502015
7171,C0948089,1,0.70088
3945,C0948089,1,0.54105717
5689,C0948089,1,0.33740085
81027,C0948089,1,0.28373602
374969,C0948089,0,-0.18114825
11177,C0948089,0,-0.19380584
23612,C0948089,0,-0.23588818
23199,C0948089,0,-0.5909034
2057,C0023440,1,0.55489653
8073,C0023440,0,-0.018793775
4928,C2930974,1,0.35711214
805,C2930974,0,-0.26547793
4928,C2930975,1,0.38089
805,C2930975,0,-0.24258691
4928,C2930977,1,0.35337773
805,C2930977,0,-0.25872016
4878,C2609414,1,1.8426144
7018,C2609414,1,1.22651
54600,C2609414,1,0.92398036
10457,C2609414,1,0.8471196
5193,C2609414,0,0.84480464
3048,C2609414,1,0.7760591
2621,C2609414,1,0.64408743
10276,C2609414,0,0.085273825
10592,C2609414,0,-0.07892626
9678,C2609414,0,-0.4927895
3698,C2609414,0,-0.521188
83451,C2609414,0,-1.4536675
4878,C1565662,1,1.8414105
7018,C1565662,1,1.2242277
54600,C1565662,1,0.92194045
10457,C1565662,1,0.8517218
5193,C1565662,0,0.84289163
3048,C1565662,1,0.7771215
2621,C1565662,1,0.6447006
10276,C1565662,0,0.08961142
10592,C1565662,0,-0.0788741
9678,C1565662,0,-0.4935233
3698,C1565662,0,-0.5219036
83451,C1565662,0,-1.456257
2052,C0242488,1,1.3650049
10498,C0242488,0,0.20963258
7032,C0242488,1,-0.23155259
6947,C0242488,0,-0.4865959
10320,C0023449,1,0.7109271
929,C0023449,0,-0.22133785
2188,C0023465,1,1.39603
57697,C0023465,1,1.0287257
10459,C0023465,1,0.9229215
18,C0023465,0,0.6262146
51119,C0023465,1,0.30146503
162968,C0023465,0,-0.07073789
10475,C0023465,0,-0.24363509
6364,C0023465,0,-1.939853
2052,C1879321,1,2.2598147
1269,C1879321,1,1.6015867
928,C1879321,1,1.4425842
5457,C1879321,1,1.4381816
4066,C1879321,1,1.4298416
822,C1879321,1,1.3352457
3205,C1879321,1,1.3335407
8028,C1879321,1,1.2450215
309,C1879321,1,1.2239231
1512,C1879321,1,1.1707942
4291,C1879321,1,1.1461538
4026,C1879321,1,1.1414466
11040,C1879321,1,1.0351971
79750,C1879321,0,0.86781985
785,C1879321,0,0.84174234
1052,C1879321,1,0.76579297
3516,C1879321,0,0.67272365
11127,C1879321,0,0.6571842
10919,C1879321,1,0.57472134
79924,C1879321,0,0.56072426
825,C1879321,0,0.39572203
219287,C1879321,0,0.2986498
23746,C1879321,0,0.24125773
11006,C1879321,0,-0.07116607
51676,C1879321,0,-0.13087296
1514,C1879321,0,-0.20548154
6598,C1879321,0,-0.2984627
55798,C1879321,0,-0.6916241
113540,C1879321,0,-1.1374451
7153,C1879321,0,-1.8815893
4928,C2930976,1,0.3236181
805,C2930976,0,-0.24177098
2052,C0026998,1,2.258367
1269,C0026998,1,1.6013268
928,C0026998,1,1.4422721
5457,C0026998,1,1.4356984
4066,C0026998,1,1.4301478
822,C0026998,1,1.3339765
3205,C0026998,1,1.3334428
8028,C0026998,1,1.2445546
309,C0026998,1,1.2240273
1512,C0026998,1,1.1704292
4291,C0026998,1,1.1452492
4026,C0026998,1,1.143126
11040,C0026998,1,1.0369601
79750,C0026998,0,0.8661434
785,C0026998,0,0.83960426
1052,C0026998,1,0.7661726
3516,C0026998,0,0.6728397
11127,C0026998,0,0.6577019
10919,C0026998,1,0.5743533
79924,C0026998,0,0.5603473
825,C0026998,0,0.39556986
219287,C0026998,0,0.2984894
23746,C0026998,0,0.23957926
11006,C0026998,0,-0.071399935
51676,C0026998,0,-0.1312333
1514,C0026998,0,-0.20466815
6598,C0026998,0,-0.29864055
55798,C0026998,0,-0.69128597
113540,C0026998,0,-1.1435784
7153,C0026998,0,-1.8803952
4629,C0023479,1,0.32589656
10569,C0023479,0,-0.62159467
5903,C4706387,1,-0.11458093
84525,C4706387,0,-0.34942642
64778,C0023487,1,0.31573755
374393,C0023487,0,0.29164588
1053,C0023487,1,0.26377591
4542,C0023487,0,-0.0071028774
4926,C0023487,1,-0.14720842
7136,C0023487,0,-0.4553043
4047,C0519066,1,0.2599652
51284,C0519066,0,-0.1614889
11330,C0267937,1,0.28390303
10569,C0267937,0,-1.0938761
1152,C0857501,1,0.34990752
84525,C0857501,0,-0.29182234
57572,C0265268,1,0.39822906
9808,C0265268,0,-1.2441758
57572,C4551482,1,0.40800744
9808,C4551482,0,-1.1694342
23274,C0001403,1,0.24581945
8073,C0001403,0,-0.10593661
5519,C0338106,1,0.24772917
10569,C0338106,0,-1.0652208
5118,C0279628,0,0.22737406
56033,C0279628,1,-0.0918591
23373,C0279628,1,-0.16083151
9808,C0279628,0,-1.6142156
60401,C1319315,0,2.4924622
6872,C1319315,1,1.7388608
5885,C1319315,1,1.6626998
5426,C1319315,1,1.5304666
156,C1319315,1,1.275039
389840,C1319315,1,1.1847242
