GeneID,diseaseID,label,score
7290,C2936346,1,1.0769991
221037,C2936346,1,1.0645807
343099,C2936346,0,-0.3144811
90874,C2936346,0,-0.40596062
7290,C3266101,1,1.0309287
2548,C3266101,0,0.65141374
79823,C4304537,1,2.0130255
2548,C4304537,0,0.673847
9581,C4749458,1,1.1051209
3250,C4749458,0,-1.2374535
341,C0268600,0,0.12016954
64087,C0268600,1,0.09149681
6845,C4510744,1,0.07615196
83744,C4510744,0,-0.13696711
3973,C3489793,1,0.94494784
3250,C3489793,0,-1.6204985
6210,C2931850,1,1.7450805
973,C2931850,0,0.6238736
6235,C2931850,1,0.29928404
6232,C2931850,1,0.13625525
10446,C2931850,0,-0.35985363
51700,C2931850,0,-0.41411427
2879,C1563730,1,0.9701309
57826,C1563730,0,-0.35199556
9457,C0270858,1,0.050925758
138050,C0270858,0,-0.004833086
1024,C4049796,1,0.38803002
3250,C4049796,0,-1.1723927
5515,C4022810,1,0.7581294
23162,C4022810,1,0.72577816
9662,C4022810,0,0.6895888
23551,C4022810,0,-0.16587825
23291,C4021812,1,0.3789338
4018,C4021812,0,-0.8748899
23512,C4018871,1,0.3904987
3250,C4018871,0,-0.4130247
6505,C4021790,0,1.1958101
95681,C4021790,0,0.7373741
26173,C4021790,1,0.6553855
54499,C4021790,1,0.5472967
8295,C4021821,1,0.47980544
3250,C4021821,0,-0.76066077
2548,C4025846,0,0.50862056
84148,C4025846,1,0.44766566
50511,C0000809,1,0.061055183
3250,C0000809,0,-0.3447441
9254,C0014553,1,0.78139096
57826,C0014553,0,-0.23352
9254,C4553705,1,0.74168473
57826,C4553705,0,-0.23189148
22926,C0152200,1,0.86091036
6505,C0152200,0,0.76033235
5149,C0152200,1,0.4806448
54930,C0152200,0,-0.25678048
29851,C2936664,1,0.6809004
115650,C2936664,1,0.55570775
10382,C2936664,0,0.23537724
29124,C2936664,0,-0.28921285
359,C0268443,1,-0.29323602
4018,C0268443,0,-1.2991731
6342,C0751449,1,0.6043708
3250,C0751449,0,-1.3120104
2348,C0702169,1,1.1847055
7546,C0702169,1,0.8271011
11160,C0702169,0,0.58442247
5652,C0702169,1,0.58416086
643226,C0702169,0,0.4482548
25796,C0702169,0,0.3861021
6497,C0702169,1,0.31769782
9857,C0702169,0,-1.4373347
374654,C0796147,1,0.25287098
341,C0796147,0,0.24906664
4644,C3495588,1,0.25592485
4018,C3495588,0,-0.6294261
51715,C1275078,1,0.21916795
341,C1275078,0,0.096409895
4091,C0030044,1,0.5522757
4745,C0030044,1,0.5379331
10382,C0030044,0,0.47143573
23551,C0030044,0,-0.26667598
55630,C0001197,1,0.066302784
83744,C0001197,0,-0.16303562
130340,C0392439,1,0.38759035
3250,C0392439,0,-0.7707418
8200,C2930970,1,0.08363091
83744,C2930970,0,0.013621927
4054,C0265287,1,0.7144733
341,C0265287,0,0.37268773
2642,C1857451,1,-0.15752985
3250,C1857451,0,-0.6881696
9049,C1306214,1,0.49225134
3250,C1306214,0,-0.75527495
9570,C0751779,1,0.9155373
5274,C0751779,1,0.7536484
57465,C0751779,1,0.71562326
10446,C0751779,0,-0.079225525
51700,C0751779,0,-0.10895256
933,C0751779,0,-0.11166229
1482,C0751956,1,0.7787226
3777,C0751956,1,0.56876403
26060,C0751956,0,0.26379412
10594,C0751956,1,0.16734517
7941,C0751956,1,0.14301494
8091,C0751956,0,0.0784876
463,C0751956,1,0.07775286
317649,C0751956,0,0.021971822
199692,C0751956,0,-0.05796805
55957,C0751956,0,-0.2146665
9457,C0521664,1,0.018166477
138050,C0521664,0,-0.05324842
341,C0546126,1,1.571486
7447,C0546126,1,1.3626567
1808,C0546126,1,1.3605417
9510,C0546126,1,1.0519837
1965,C0546126,1,1.0018107
3635,C0546126,1,0.8335474
27328,C0546126,1,0.7889853
6191,C0546126,0,0.7706931
5502,C0546126,0,0.75954014
6517,C0546126,1,0.59755814
23765,C0546126,0,0.51745844
55209,C0546126,0,0.37788418
55815,C0546126,0,-0.43383953
57091,C0546126,1,-0.4624703
10885,C0546126,0,-0.46754906
80135,C0546126,0,-0.49684957
54069,C0546126,0,-0.70262164
8322,C0546126,0,-2.4001043
3945,C0948089,1,1.0204661
338382,C0948089,1,0.80988544
397,C0948089,1,0.42390004
81027,C0948089,1,0.21605383
795,C0948089,0,0.018515373
5563,C0948089,0,-0.33751494
164668,C0948089,0,-0.39507747
3300,C0948089,0,-0.64713115
2057,C0023440,1,0.2477772
83744,C0023440,0,-0.26493108
3219,C2930974,1,0.67024827
7711,C2930974,0,-0.26602688
3219,C2930975,1,0.7451618
7711,C2930975,0,-0.23166478
3219,C2930977,1,0.68966544
7711,C2930977,0,-0.27971083
6556,C2609414,1,1.5932086
7018,C2609414,1,1.3627561
1839,C2609414,1,1.1895355
2,C2609414,1,0.97977227
10457,C2609414,1,0.94288975
8835,C2609414,0,0.8618581
3257,C2609414,0,0.8385205
4861,C2609414,0,0.7093847
10411,C2609414,1,0.68432087
22934,C2609414,0,0.13673232
86,C2609414,0,-0.41865835
140901,C2609414,0,-1.5403938
6556,C1565662,1,1.5841043
7018,C1565662,1,1.3611168
1839,C1565662,1,1.1871743
2,C1565662,1,0.97596747
10457,C1565662,1,0.9449613
8835,C1565662,0,0.86380327
3257,C1565662,0,0.8348145
4861,C1565662,0,0.72021157
10411,C1565662,1,0.6830326
22934,C1565662,0,0.14120132
