GeneID,diseaseID,label,score
221037,C2936346,1,1.2963582
2253,C2936346,1,0.28886467
598,C2936346,0,0.0220815
28996,C2936346,0,-1.6198303
6239,C3266101,1,2.5488076
221037,C3266101,1,1.1209974
374403,C3266101,0,-0.02619548
28996,C3266101,0,-1.3585885
6519,C4304537,1,0.3339424
4058,C4304537,0,0.097017504
6845,C4510744,1,0.07905563
4311,C4510744,0,0.048162363
1583,C3489793,1,0.17403643
2263,C3489793,0,-0.04618578
6154,C2931850,1,0.48238754
6232,C2931850,1,0.25801662
51606,C2931850,0,0.041354533
27243,C2931850,0,-0.70062923
284,C1563730,0,-0.017472763
3640,C1563730,1,-0.35902947
2324,C4049796,0,0.05204805
1024,C4049796,1,0.041321218
192683,C4022810,1,1.1222157
2222,C4022810,1,1.0953968
57088,C4022810,0,0.8367519
4208,C4022810,0,0.707049
57178,C4021790,1,0.44723436
10297,C4021790,1,0.23786888
374403,C4021790,0,-0.020572677
28996,C4021790,0,-1.4672267
57178,C4021821,1,0.22525916
2324,C4021821,0,0.00981831
1024,C4025846,1,0.44775692
2324,C4025846,0,-0.02447199
50511,C0000809,1,0.06379311
2324,C0000809,0,0.019798324
51305,C0014553,1,0.16703986
602,C0014553,0,-0.26517293
51305,C4553705,1,0.088791296
602,C4553705,0,-0.19753127
22926,C0152200,1,0.665876
238,C0152200,0,0.056811232
50618,C2936664,0,0.10393688
115650,C2936664,1,0.04805328
4791,C2936664,1,-0.04386703
145258,C2936664,0,-0.22388047
5697,C0702169,1,0.9096757
6497,C0702169,1,0.5614652
50856,C0702169,0,0.053015463
100506164,C0702169,0,0.050714012
27443,C0702169,1,0.047207925
5985,C0702169,0,-0.5290902
4644,C3495588,1,0.035807047
2324,C3495588,0,0.00952484
4745,C0030044,1,0.9984022
1947,C0030044,1,0.7720512
50618,C0030044,0,0.16630994
145258,C0030044,0,-1.0073382
5698,C0001197,1,0.1521651
2324,C0001197,0,0.045180187
8200,C2930970,1,0.58477813
238,C2930970,0,0.010036345
9101,C1306214,1,0.9722537
2324,C1306214,0,0.0052147848
5213,C0751779,0,0.40722573
5274,C0751779,1,0.05279502
7957,C0751779,1,-0.05253465
4063,C0751779,0,-0.16571201
3360,C0751956,1,0.62614465
3777,C0751956,1,0.46597582
10594,C0751956,1,0.29718274
1523,C0751956,0,0.1571963
10036,C0751956,0,0.024976203
4077,C0751956,0,-0.5427328
1139,C0546126,1,1.5904766
7019,C0546126,1,1.4222397
54209,C0546126,1,0.9775842
6517,C0546126,1,0.80890214
23607,C0546126,1,0.7694503
7447,C0546126,1,0.6577073
2288,C0546126,0,0.5994308
10481,C0546126,0,0.28400177
10073,C0546126,0,0.106403515
54149,C0546126,0,0.092339106
400,C0546126,0,0.043116454
51225,C0546126,1,-0.3903751
55211,C0546126,0,-0.6976151
3934,C0546126,0,-0.88369936
2923,C0948089,1,0.8232928
9464,C0948089,0,0.78370976
1158,C0948089,1,0.62297875
3945,C0948089,1,0.60300153
5069,C0948089,1,0.5570448
56882,C0948089,0,0.07452539
10067,C0948089,0,0.04380435
4089,C0948089,0,-1.2501628
7372,C0023440,1,0.1463311
2324,C0023440,0,-0.05457175
3219,C2930974,1,0.1373684
284,C2930974,0,0.0049557947
3219,C2930975,1,0.1620216
284,C2930975,0,0.0069028074
3219,C2930977,1,0.10201493
284,C2930977,0,-0.06807682
10411,C2609414,1,1.0779154
3816,C2609414,1,0.8443024
2671,C2609414,1,0.7347364
9118,C2609414,0,0.47110415
84779,C2609414,0,0.45242178
100506658,C2609414,1,0.42544943
116085,C2609414,1,0.30851212
9493,C2609414,0,0.1474258
51162,C2609414,0,0.048625316
117154,C2609414,0,-0.7199552
10411,C1565662,1,1.073092
3816,C1565662,1,0.84240603
2671,C1565662,1,0.7298246
9118,C1565662,0,0.46850827
84779,C1565662,0,0.45617163
100506658,C1565662,1,0.4345563
116085,C1565662,1,0.312731
9493,C1565662,0,0.1490665
51162,C1565662,0,0.047871444
117154,C1565662,0,-0.7249778
6441,C0242488,1,0.4148531
57088,C0242488,0,0.2646572
7203,C0242488,0,0.1553454
90,C0242488,1,0.003875171
641,C0023449,1,0.5190638
602,C0023449,0,-0.4732944
55120,C0023465,1,0.9396039
2178,C0023465,1,0.93913037
2189,C0023465,1,0.7437218
8660,C0023465,0,0.5830927
3000,C0023465,0,0.2981323
221037,C0023465,0,0.11786008
5457,C1879321,1,3.7625182
55740,C1879321,1,1.7938988
6455,C1879321,1,1.7308875
26511,C1879321,1,1.6637884
4330,C1879321,1,1.6565608
55252,C1879321,1,1.3805578
4928,C1879321,1,1.3179029
1119,C1879321,0,1.2861756
2969,C1879321,1,1.2474431
1512,C1879321,1,1.2418633
4026,C1879321,1,1.2195085
489,C1879321,0,1.0410156
51341,C1879321,1,1.0281247
25953,C1879321,0,1.0029202
1269,C1879321,1,0.91198766
23761,C1879321,0,0.8095012
1081,C1879321,0,0.8083471
6919,C1879321,1,0.18048479
84106,C1879321,0,0.087253086
644890,C1879321,0,0.08532298
84967,C1879321,0,0.059414588
57685,C1879321,0,-0.01495588
26119,C1879321,0,-0.02918654
6642,C1879321,0,-0.498592
53343,C1879321,0,-1.5978029
4779,C1879321,0,-1.7982136
3219,C2930976,1,0.19861336
284,C2930976,0,0.019639399
5457,C0026998,1,3.7652035
55740,C0026998,1,1.7940426
6455,C0026998,1,1.7300104
26511,C0026998,1,1.6632798
4330,C0026998,1,1.6577692
55252,C0026998,1,1.3831064
4928,C0026998,1,1.3185617
1119,C0026998,0,1.2882023
2969,C0026998,1,1.2437068
1512,C0026998,1,1.2436358
4026,C0026998,1,1.2183313
489,C0026998,0,1.0408527
51341,C0026998,1,1.0288371
25953,C0026998,0,1.0064075
1269,C0026998,1,0.91422814
23761,C0026998,0,0.8088751
1081,C0026998,0,0.80545187
6919,C0026998,1,0.1807801
84106,C0026998,0,0.08662649
644890,C0026998,0,0.085009106
84967,C0026998,0,0.05937262
57685,C0026998,0,-0.01557455
26119,C0026998,0,-0.028215544
6642,C0026998,0,-0.4982671
53343,C0026998,0,-1.5956099
4779,C0026998,0,-1.8003005
865,C0023479,1,0.48854664
2324,C0023479,0,0.07193341
5757,C0023487,0,0.4774779
1053,C0023487,1,0.22541396
2779,C0023487,0,0.1844911
51378,C0023487,0,-0.49988928
23604,C0023487,1,-1.0941045
1668,C0023487,1,-1.5312343
284,C0519066,0,0.033940133
10211,C0519066,1,-0.0029940188
11330,C0267937,1,0.35073414
2324,C0267937,0,-0.023225449
1152,C0857501,1,0.49833697
2324,C0857501,0,-0.008678669
4261,C0001403,1,0.4545526
284,C0001403,0,-0.0007902472
5519,C0338106,1,-0.038758945
2324,C0338106,0,-0.039101
1794,C0279628,1,0.15295808
4311,C0279628,0,0.10674509
5378,C1319315,1,0.65753245
4012,C1319315,0,0.60520756
6196,C1319315,1,0.5820867
4052,C1319315,0,0.5733995
79012,C1319315,1,0.5387129
2742,C1319315,0,0.531686
5590,C1319315,1,0.39396662
222389,C1319315,0,0.38327944
1535,C1319315,0,0.13591257
5593,C1319315,1,0.08258189
2045,C1319315,1,0.073664434
10295,C1319315,0,-0.008894172
8313,C1319315,1,-0.09975198
29904,C1319315,1,-0.22220607
5213,C1319315,0,-0.37750337
5024,C1319315,0,-0.38352522
5063,C1319315,1,-0.5040808
1832,C1319315,0,-0.6551162
814,C0152013,1,1.2822998
6558,C0152013,0,0.9016731
7018,C0152013,1,0.86462444
242,C0152013,1,0.83093286
7167,C0152013,1,0.80495065
51592,C0152013,1,0.7623316
5591,C0152013,1,0.7318812
25865,C0152013,1,0.6738575
2810,C0152013,1,0.58676237
10452,C0152013,1,0.5637145
1285,C0152013,0,0.5357647
1826,C0152013,0,0.4800698
9230,C0152013,0,0.4107013
8801,C0152013,1,0.40704736
8893,C0152013,1,0.38754058
84700,C0152013,1,0.37064528
7520,C0152013,1,0.30645314
11076,C0152013,0,0.28015876
26524,C0152013,1,0.20154807
6565,C0152013,1,0.19223629
8323,C0152013,0,0.17705713
6557,C0152013,0,0.14836709
51347,C0152013,1,0.114710175
5527,C0152013,0,0.08054751
388324,C0152013,0,0.07705561
56852,C0152013,0,0.07586252
899,C0152013,0,0.07515229
7409,C0152013,1,0.073744796
10959,C0152013,0,0.07354081
187,C0152013,0,0.06950712
10169,C0152013,0,0.055148214
3615,C0152013,1,0.034944315
64216,C0152013,0,0.015761644
414060,C0152013,0,0.005477643
4342,C0152013,1,-0.019097345
165530,C0152013,0,-0.1366549
10110,C0152013,1,-0.15115313
1365,C0152013,0,-0.15660319
8537,C0152013,0,-0.6101975
9370,C0152013,0,-1.5475538
51560,C0152013,0,-1.9686657
5092,C0152013,1,-2.745464
8405,C0007112,1,1.1103148
8379,C0007112,1,0.51297235
374403,C0007112,0,-0.049969923
7629,C0007112,0,-1.0773075
3856,C0205641,1,1.266354
4878,C0205641,1,1.2409215
2796,C0205641,0,1.207422
2886,C0205641,1,0.9258109
8202,C0205641,1,0.7277794
6599,C0205641,1,0.5640256
4354,C0205641,1,0.49644554
634,C0205641,1,0.36291325
2683,C0205641,0,0.31103936
152137,C0205641,0,0.2295266
1280,C0205641,0,0.046985537
54922,C0205641,0,0.046742056
81847,C0205641,0,0.01048665
139716,C0205641,0,-0.014686869
3856,C0205642,1,1.2652271
4878,C0205642,1,1.2382256
2796,C0205642,0,1.2036985
2886,C0205642,1,0.92586327
8202,C0205642,1,0.72185796
6599,C0205642,1,0.5641686
4354,C0205642,1,0.4949711
634,C0205642,1,0.36343548
2683,C0205642,0,0.30937487
152137,C0205642,0,0.2282095
1280,C0205642,0,0.046119038
54922,C0205642,0,0.045991264
81847,C0205642,0,0.010202871
139716,C0205642,0,-0.013173401
3856,C0205645,1,1.2617996
4878,C0205645,1,1.2308767
2796,C0205645,0,1.2007984
2886,C0205645,1,0.9233641
8202,C0205645,1,0.7250213
6599,C0205645,1,0.5632687
4354,C0205645,1,0.49299666
634,C0205645,1,0.35780668
2683,C0205645,0,0.30833194
152137,C0205645,0,0.228009
54922,C0205645,0,0.04906168
1280,C0205645,0,0.046034023
81847,C0205645,0,0.01038691
139716,C0205645,0,-0.013881457
4603,C0010606,1,0.93360233
1213,C0010606,0,0.36219022
2548,C0010606,0,0.19443418
23774,C0010606,1,0.12724172
10369,C0010606,0,0.1239061
81029,C0010606,1,0.06194181
26052,C0010606,0,0.056655623
7182,C0010606,0,0.020768993
54756,C0010606,1,-0.0016557712
11193,C0010606,0,-0.006485711
7869,C0010606,0,-0.020174334
9001,C0010606,0,-0.068751745
55534,C0010606,1,-0.11286505
9874,C0010606,1,-0.13451798
5950,C0010606,0,-0.2757523
2175,C0010606,1,-0.2900379
3852,C0010606,1,-0.5017979
5605,C0010606,1,-0.56048936
9049,C0205646,1,1.0872531
776,C0205646,1,0.7498112
2705,C0205646,1,0.7171303
8660,C0205646,0,0.5345747
2978,C0205646,0,0.33410057
2063,C0205646,0,0.3205854
9049,C0205648,1,1.1034167
776,C0205648,1,0.7843965
2705,C0205648,1,0.71704805
8660,C0205648,0,0.5357784
2978,C0205648,0,0.34065214
2063,C0205648,0,0.2959186
9049,C0205649,1,1.1204578
776,C0205649,1,0.77592325
2705,C0205649,1,0.7188832
8660,C0205649,0,0.52813864
2978,C0205649,0,0.33053386
2063,C0205649,0,0.30803078
9049,C0205651,1,1.1046932
776,C0205651,1,0.76354414
2705,C0205651,1,0.7142987
8660,C0205651,0,0.5192506
2978,C0205651,0,0.32309368
2063,C0205651,0,0.29977494
4163,C0032580,1,0.4595434
116844,C0032580,1,0.15767962
374403,C0032580,0,-0.037257068
28996,C0032580,0,-0.9667075
2798,C0750887,1,0.86989814
238,C0750887,0,0.026528744
3762,C0206667,1,1.0943648
238,C0206667,0,0.055087365
4311,C0206686,0,0.03300913
6240,C0206686,1,-0.07299277
5194,C0162309,1,1.1890606
4058,C0162309,0,-0.03701317
5193,C0282525,1,2.7585459
5190,C0282525,1,2.1743917
7374,C0282525,0,1.0420713
5824,C0282525,1,0.63552946
60528,C0282525,0,0.5527874
64776,C0282525,0,-1.2693844
215,C1527231,1,0.5696962
4058,C1527231,0,0.015495955
6569,C0341703,1,0.30234978
4311,C0341703,0,0.017516332
7139,C0751172,1,0.7464862
2324,C0751172,0,0.0045218263
5770,C0220597,1,0.3771157
284,C0220597,0,0.01584294
3691,C0268374,1,2.504277
6868,C0268374,0,0.2681701
6277,C0278876,1,1.5984244
8019,C0278876,1,0.60984504
898,C0278876,1,0.40339035
6281,C0278876,1,0.114496835
1388,C0278876,0,0.054019347
56882,C0278876,0,0.010769652
10067,C0278876,0,0.008298735
7528,C0278876,0,-0.5236791
23462,C0279070,1,0.401508
284,C0279070,0,-0.033572797
4001,C0751914,1,0.06441281
284,C0751914,0,0.04358921
10309,C0023493,0,0.7522407
654,C0023493,1,0.6616396
22807,C0023493,1,0.51701117
1457,C0023493,1,0.4742778
3000,C0023493,0,0.42201093
4973,C0023493,0,0.3803775
717,C0221056,1,0.29061154
2324,C0221056,0,0.012017379
668,C1332218,1,1.1579449
284,C1332218,0,0.05447093
8575,C0752197,1,1.1511139
602,C0752197,0,-0.37081245
8575,C0752198,1,1.1229359
602,C0752198,0,-0.27757385
8575,C0752199,1,1.0775545
602,C0752199,0,-0.40625757
11190,C0751758,0,0.0143680675
4783,C0751758,1,0.0028824368
1453,C3808874,1,0.22552124
284,C3808874,0,0.0008678689
1453,C1858496,1,0.75226724
2263,C1858496,0,0.04304104
2266,C0001733,1,0.0970593
238,C0001733,0,0.044965614
5087,C0343640,1,0.7730965
11190,C0343640,0,0.027585119
974,C0001768,1,0.91799766
6868,C0001768,0,0.033933982
29760,C1832241,1,0.45452613
6868,C1832241,0,0.09167441
2324,C0085758,0,-0.009180435
1889,C0085758,1,-0.035272736
2324,C1257840,0,-0.003225158
1889,C1257840,1,-0.05423155
1585,C0242383,0,1.6085632
629,C0242383,1,1.1873046
84839,C0242383,1,0.6621919
116844,C0242383,0,0.2670413
10877,C0242383,1,0.00887962
10878,C0242383,1,-0.52345175
4089,C0242383,0,-1.2823771
8522,C0242383,0,-1.5894275
25942,C0175754,1,0.026401287
2324,C0175754,0,-0.04783219
1496,C1879312,1,0.82652533
238,C1879312,0,0.0078454865
11277,C0393591,1,0.91858375
4311,C0393591,0,0.07720111
11277,C0796126,1,1.0424968
4311,C0796126,0,0.09385728
11277,C3489724,1,0.9391475
4311,C3489724,0,0.082042135
51305,C0001890,1,0.12323545
602,C0001890,0,-0.13883252
2030,C0751207,1,0.40446335
51447,C0751207,1,-0.022100255
374403,C0751207,0,-0.056077134
145258,C0751207,0,-1.0057696
8943,C0001916,1,0.27054387
2324,C0001916,0,0.02690429
4311,C0078917,0,-0.028217608
8943,C0078917,1,-0.031094711
3257,C0078918,1,0.4449245
2324,C0078918,0,0.0012446304
2554,C0085762,1,1.6110154
6869,C0085762,1,1.3643456
1269,C0085762,1,1.3641745
7018,C0085762,1,1.1631033
2534,C0085762,1,0.7019957
2488,C0085762,1,0.6087354
27134,C0085762,0,0.2158717
80198,C0085762,0,0.0990372
29883,C0085762,0,0.034009848
56647,C0085762,0,0.016215883
29986,C0085762,0,0.0151261985
7082,C0085762,0,-2.3038046
6195,C3146244,1,0.24346851
284,C3146244,0,0.046274956
284,C0814154,0,0.011951497
6195,C0814154,1,-0.024776671
2566,C0001956,1,1.3350257
6870,C0001956,1,1.2622979
3359,C0001956,1,1.1864104
886,C0001956,1,0.9849604
259266,C0001956,0,0.6190326
6303,C0001956,1,0.47260317
9118,C0001956,0,0.3300106
9820,C0001956,0,0.097402245
116844,C0001956,0,0.089261375
7528,C0001956,0,-0.41503283
8777,C0586323,1,0.5399202
2324,C0586323,0,0.05752087
2572,C0236663,1,0.64428276
4058,C0236663,0,0.0782671
2897,C0001969,1,0.7842785
10327,C0001969,1,0.5216799
57088,C0001969,0,0.47676122
4209,C0001969,0,-0.5126092
1815,C0001973,1,3.9083164
814,C0001973,1,3.2493265
1812,C0001973,1,3.179561
2903,C0001973,1,2.9875329
2911,C0001973,1,2.7969024
5020,C0001973,1,2.7305415
1394,C0001973,1,2.6112573
2912,C0001973,1,2.505453
7704,C0001973,0,2.5043142
2784,C0001973,1,2.352471
1009,C0001973,1,2.343302
8910,C0001973,1,2.1058474
84152,C0001973,1,2.0530264
150,C0001973,1,1.9082563
1136,C0001973,1,1.7772079
9341,C0001973,0,1.643046
1410,C0001973,0,1.5380939
7021,C0001973,1,1.518483
4929,C0001973,1,1.3379877
2534,C0001973,1,1.2893921
63876,C0001973,1,1.1561835
3670,C0001973,0,1.0606506
4921,C0001973,0,0.9312122
1535,C0001973,0,0.7436422
9709,C0001973,1,0.60397136
10445,C0001973,0,0.58347833
6336,C0001973,0,0.58157265
8462,C0001973,1,0.53442425
7086,C0001973,1,0.5089171
23204,C0001973,0,0.50880533
5316,C0001973,0,0.49247843
85300,C0001973,0,0.243492
65264,C0001973,0,0.19075216
4046,C0001973,0,0.18329294
5480,C0001973,0,0.17264143
1543,C0001973,0,0.14398481
1006,C0001973,1,0.105030864
80781,C0001973,0,0.10180194
8161,C0001973,0,0.09185448
10092,C0001973,0,0.074227355
10200,C0001973,0,0.06403146
80228,C0001973,0,0.037429836
25837,C0001973,0,0.036851387
117247,C0001973,0,0.031696394
51194,C0001973,1,0.010925284
2567,C0001973,1,-0.0013736131
27304,C0001973,0,-0.048685405
10420,C0001973,1,-0.07598609
6588,C0001973,0,-0.07989544
2046,C0001973,1,-0.23323873
6625,C0001973,1,-0.31801927
3122,C0001973,1,-0.8393887
128,C0001973,1,-0.9357689
28985,C0001973,0,-0.99332577
100,C0001973,0,-1.1650811
4018,C0001973,0,-2.5506916
5586,C0001973,0,-2.861796
9584,C0001973,0,-3.5662205
2206,C0002152,0,2.570672
3397,C0002152,1,1.6334788
489,C0002152,1,1.4889165
11034,C0002152,0,1.4584302
1535,C0002152,1,1.2363093
623,C0002152,1,0.95286983
3352,C0002152,0,0.75314325
5126,C0002152,1,0.71216476
3651,C0002152,1,0.68801624
7533,C0002152,1,0.27633575
51593,C0002152,0,0.19648463
10886,C0002152,0,0.15314105
182,C0002152,0,0.0421883
3375,C0002152,1,0.023822412
8578,C0002152,0,0.0031157506
28513,C0002152,0,-0.017227499
57045,C0431363,1,1.0267869
2619,C0431363,1,0.9721876
9319,C0431363,0,0.9273052
4208,C0431363,0,0.8803426
387,C0002170,1,1.2398483
6832,C0002170,1,0.6107947
50618,C0002170,0,0.4415124
28996,C0002170,0,-3.2384515
4311,C0002171,0,0.00038307978
64375,C0002171,1,-0.09872511
8797,C4083212,1,0.974495
11190,C4083212,0,0.03308894
3040,C1260396,1,0.48664597
2324,C1260396,0,-0.02764373
29954,C2936406,1,1.0690657
4058,C2936406,0,0.20408103
3040,C0002312,1,0.31315827
2324,C0002312,0,0.02117196
3040,C0795917,1,0.33191168
2324,C0795917,0,0.027338034
3040,C0475813,1,0.28558868
2324,C0475813,0,0.058519885
1286,C1567741,1,0.9583743
6868,C1567741,0,0.11643721
1286,C4746745,1,0.6804327
2263,C4746745,0,0.017681368
1287,C1567743,1,0.7846284
9967,C1567743,0,-0.090680875
1287,C1567744,1,0.7933934
9967,C1567744,0,-0.093859896
1286,C2931253,1,0.80323035
2263,C2931253,0,0.0468777
1286,C2931254,1,0.670564
2263,C2931254,0,0.031285003
1287,C1567742,1,0.78646415
9967,C1567742,0,-0.114093386
6507,C0338488,1,0.2820582
238,C0338488,0,-0.013072414
477,C3549447,1,0.3858879
2263,C3549447,0,0.059112094
2324,C0206655,0,-0.0012692543
5081,C0206655,1,-0.22612289
2534,C4721507,1,0.9028191
6649,C4721507,1,0.8646768
26585,C4721507,1,0.7123206
60528,C4721507,0,0.18828915
65993,C4721507,0,0.18652791
10514,C4721507,0,-0.15105298
1139,C0750901,1,1.5942099
7019,C0750901,1,1.4272534
54209,C0750901,1,0.977296
6517,C0750901,1,0.81066275
23607,C0750901,1,0.7729199
7447,C0750901,1,0.66058636
2288,C0750901,0,0.59944165
10481,C0750901,0,0.2861466
10073,C0750901,0,0.1095104
54149,C0750901,0,0.09177961
400,C0750901,0,0.045396857
51225,C0750901,1,-0.38658404
55211,C0750901,0,-0.70545894
3934,C0750901,0,-0.8843546
1139,C0494463,1,1.592344
7019,C0494463,1,1.4222976
54209,C0494463,1,0.9790589
6517,C0494463,1,0.8090172
23607,C0494463,1,0.77037036
7447,C0494463,1,0.65759534
2288,C0494463,0,0.59799474
10481,C0494463,0,0.28248727
10073,C0494463,0,0.10717387
54149,C0494463,0,0.09099548
400,C0494463,0,0.044112965
51225,C0494463,1,-0.39690477
55211,C0494463,0,-0.70145375
3934,C0494463,0,-0.87853897
4536,C1838990,1,0.184707
2324,C1838990,0,0.03594525
1141,C0002395,1,1.9070044
7167,C0002395,1,1.6344918
7018,C0002395,1,1.5806941
3127,C0002395,1,1.3014803
267,C0002395,1,1.2457916
7019,C0002395,1,1.1703672
1441,C0002395,0,0.9832905
26224,C0002395,0,0.7955217
84181,C0002395,0,0.63636494
6517,C0002395,1,0.6018611
4889,C0002395,0,0.5529521
8633,C0002395,1,0.47451186
2768,C0002395,0,0.33541998
9182,C0002395,0,0.023478152
28513,C0002395,0,-0.046505757
201176,C0002395,0,-0.72124666
1139,C0750900,1,1.5886432
7019,C0750900,1,1.419649
54209,C0750900,1,0.98135436
6517,C0750900,1,0.8063358
23607,C0750900,1,0.7728575
7447,C0750900,1,0.6607646
2288,C0750900,0,0.5966427
10481,C0750900,0,0.28130186
10073,C0750900,0,0.107512616
54149,C0750900,0,0.090262234
400,C0750900,0,0.044812962
51225,C0750900,1,-0.38807628
55211,C0750900,0,-0.69762146
3934,C0750900,0,-0.8784256
3973,C0266362,1,0.48196188
284,C0266362,0,0.049174085
1308,C0002452,1,1.4989783
55670,C0002452,1,1.3212428
4208,C0002452,0,0.3955186
64137,C0002452,0,0.05954795
9622,C0399372,1,0.39779413
2324,C0399372,0,-0.0022967958
3694,C0399367,1,1.6894643
602,C0399367,0,-0.9541507
70,C1527310,1,0.62479347
2324,C1527310,0,-0.018020922
9056,C0750905,1,0.17683797
602,C0750905,0,-0.3065782
10691,C0002622,0,0.67611265
10280,C0002622,1,0.2285092
7200,C0002622,1,0.13554542
374403,C0002622,0,-0.0020621207
135,C0236807,1,2.4493656
3363,C0236807,0,1.5207652
5142,C0236807,1,1.3038771
64754,C0236807,1,1.2909939
23305,C0236807,1,1.2851509
8851,C0236807,0,0.8677671
23090,C0236807,1,0.4183063
6773,C0236807,0,0.2058783
5270,C0236807,0,0.12433942
1072,C0236807,0,0.110985
344558,C0236807,1,0.0063708113
3200,C0236807,0,-0.06615355
4087,C0236807,0,-1.7467196
26575,C0236807,1,-2.31046
135,C0236804,1,2.4550927
3363,C0236804,0,1.5243183
5142,C0236804,1,1.3088259
23305,C0236804,1,1.290404
64754,C0236804,1,1.2846924
8851,C0236804,0,0.8707275
23090,C0236804,1,0.4225181
6773,C0236804,0,0.2098163
5270,C0236804,0,0.12764469
1072,C0236804,0,0.11330722
344558,C0236804,1,0.0050305934
3200,C0236804,0,-0.063788936
4087,C0236804,0,-1.7431204
26575,C0236804,1,-2.3176136
284,C0268389,0,0.0027570715
4069,C0268389,1,-0.15048997
133396,C0268397,1,0.26848248
2324,C0268397,0,-0.03233706
133396,C4551501,1,0.011973313
2324,C4551501,0,-0.012853306
4750,C0002736,1,1.1341376
4744,C0002736,1,1.0558172
6529,C0002736,1,0.9585037
23256,C0002736,1,0.91099864
7137,C0002736,0,0.6187217
9217,C0002736,1,0.5989039
631,C0002736,0,0.47081113
29110,C0002736,1,0.21590383
88,C0002736,0,0.13734084
