GeneID,diseaseID,label,score
6239,C2936346,1,1.4114424
221037,C2936346,1,1.3306898
374900,C2936346,0,-0.19794294
54931,C2936346,0,-0.7674658
421,C3266101,1,1.4390949
6239,C3266101,1,1.3698857
55174,C3266101,0,-0.34575924
9808,C3266101,0,-1.1368653
5495,C4304537,1,-0.55194473
9808,C4304537,0,-1.2135733
9581,C4749458,1,1.0193043
9270,C4749458,0,-0.6916677
64087,C0268600,1,0.9858517
84525,C0268600,0,-0.4022524
28952,C0796137,1,0.25505587
10569,C0796137,0,-0.6627029
6845,C4510744,1,0.4038091
9808,C4510744,0,-1.4558094
3973,C3489793,1,0.5694111
9270,C3489793,0,-0.82859564
11224,C2931850,1,0.39033657
6210,C2931850,1,0.24870823
6235,C2931850,1,0.14850244
2110,C2931850,0,-0.0035499895
7525,C2931850,0,-0.06498946
80333,C2931850,0,-0.23082507
867,C1563730,1,0.6053745
6947,C1563730,0,-0.2382703
79783,C0270858,1,0.54867667
9808,C0270858,0,-1.1419479
84525,C4049796,0,-0.36516783
8772,C4049796,1,-0.7495745
1781,C4022810,1,0.669002
2806,C4022810,1,0.6130211
10498,C4022810,0,-0.26508853
9808,C4022810,0,-1.8416141
23291,C4021812,1,0.32353365
10569,C4021812,0,-1.9540427
129285,C4018871,1,-0.00041266074
84525,C4018871,0,-0.57703847
23512,C4021790,1,1.5649884
7703,C4021790,1,0.5540683
374900,C4021790,0,-0.01077258
54931,C4021790,0,-1.0712904
8295,C4021821,1,0.8603798
84525,C4021821,0,-1.1369251
84148,C4025846,1,0.548393
9808,C4025846,0,-0.88719076
9586,C0000809,1,0.13446923
84525,C0000809,0,-0.35292962
8629,C0014553,1,0.6759835
9254,C0014553,1,0.5547383
9472,C0014553,0,0.20531742
140886,C0014553,0,-0.69428664
8629,C4553705,1,0.71367306
9472,C4553705,0,0.24513058
51305,C4553705,1,0.22195321
140886,C4553705,0,-0.8265577
1261,C0152200,1,0.69532925
2780,C0152200,1,0.6645488
6947,C0152200,0,-0.14009136
137735,C0152200,0,-0.18818103
10320,C2936664,1,0.50182414
4791,C2936664,1,0.37553093
54931,C2936664,0,-0.36567438
9808,C2936664,0,-0.5729695
359,C0268443,1,0.03350833
9270,C0268443,0,-1.8003103
10908,C0751449,1,0.42670056
10569,C0751449,0,-1.7233952
5873,C0702169,0,1.2777659
635,C0702169,1,1.0043701
2348,C0702169,1,0.82867205
4886,C0702169,1,0.6827846
57822,C0702169,1,0.6395245
24137,C0702169,0,0.3660641
6900,C0702169,0,-0.050749764
1508,C0702169,0,-0.103234194
2290,C0796147,1,0.40222716
10569,C0796147,0,-1.1762702
4644,C3495588,1,0.9492588
84525,C3495588,0,-0.9285101
51715,C1275078,1,0.44674364
9270,C1275078,0,-1.1264145
1947,C0030044,1,1.3267157
60529,C0030044,1,1.0428306
4745,C0030044,1,0.7041825
887,C0030044,0,0.18962
25988,C0030044,0,-0.7090116
9808,C0030044,0,-1.4060847
929,C0001197,0,0.017411161
55630,C0001197,1,0.008004382
130340,C0392439,1,0.39365208
9270,C0392439,0,-1.4294888
9049,C0001206,1,0.17241038
84525,C0001206,0,-0.34432256
658,C2930970,1,0.80883753
51284,C2930970,0,0.020963477
9719,C0265287,1,0.6449817
9270,C0265287,0,-0.81570154
79798,C1857451,1,0.04067203
9270,C1857451,0,-1.1795499
9049,C1306214,1,0.40872005
10569,C1306214,0,-0.85849863
4758,C0751779,1,1.413245
26278,C0751779,1,0.88942474
378884,C0751779,1,0.8352149
107987373,C0751779,0,-0.015834758
113763,C0751779,0,-0.017169656
10225,C0751779,0,-0.3494763
3777,C0751956,1,1.3535854
10594,C0751956,1,0.74220526
463,C0751956,1,0.6295485
287,C0751956,1,0.61335695
5139,C0751956,1,0.5417986
54809,C0751956,0,0.20173898
1048,C0751956,0,0.111480206
1111,C0751956,0,0.05698143
6947,C0751956,0,-0.47424275
94030,C0751956,0,-5.4081764
79783,C0521664,1,0.54117507
9808,C0521664,0,-1.2107906
57091,C0546126,1,2.4606164
7018,C0546126,1,1.9177699
5649,C0546126,1,1.8376907
3635,C0546126,1,1.7924459
3691,C0546126,0,1.6357502
7167,C0546126,1,1.3498211
945,C0546126,1,1.2200109
5819,C0546126,1,1.1912478
5618,C0546126,0,1.0221179
267,C0546126,1,0.79692113
3416,C0546126,1,0.7650494
259249,C0546126,0,0.1381815
112942,C0546126,0,0.043983422
126402,C0546126,0,-0.008068869
25921,C0546126,0,-0.01874737
219927,C0546126,0,-0.43559396
26261,C0546126,0,-0.5271323
51071,C0546126,0,-1.5599084
7171,C0948089,1,0.8696881
3945,C0948089,1,0.67950594
5689,C0948089,1,0.39415163
81027,C0948089,1,0.33917582
374969,C0948089,0,-0.023400828
11177,C0948089,0,-0.89828026
23199,C0948089,0,-0.9126193
23612,C0948089,0,-2.4128797
2057,C0023440,1,1.1546124
8073,C0023440,0,0.24302658
4928,C2930974,1,0.22760385
805,C2930974,0,0.011778709
4928,C2930975,1,0.16141824
805,C2930975,0,0.02646927
4928,C2930977,1,0.16433765
805,C2930977,0,0.012414167
7018,C2609414,1,1.6632961
4878,C2609414,1,1.3048687
3048,C2609414,1,1.0588564
54600,C2609414,1,0.9906519
10457,C2609414,1,0.74648446
2621,C2609414,1,0.6404821
5193,C2609414,0,0.47024024
10276,C2609414,0,0.32205716
10592,C2609414,0,0.20974976
3698,C2609414,0,-0.06647767
83451,C2609414,0,-0.07746316
9678,C2609414,0,-0.49144417
7018,C1565662,1,1.6626908
4878,C1565662,1,1.3040847
3048,C1565662,1,1.0574707
54600,C1565662,1,0.9901335
10457,C1565662,1,0.74777836
2621,C1565662,1,0.64067954
5193,C1565662,0,0.4652808
10276,C1565662,0,0.3188068
10592,C1565662,0,0.20928332
3698,C1565662,0,-0.067413054
83451,C1565662,0,-0.074567944
9678,C1565662,0,-0.4926572
2052,C0242488,1,1.5961559
10498,C0242488,0,-0.36694628
6947,C0242488,0,-0.39272478
7032,C0242488,1,-0.48402867
10320,C0023449,1,0.72706515
929,C0023449,0,0.12077797
2188,C0023465,1,0.7760231
10459,C0023465,1,0.77447194
57697,C0023465,1,0.7341696
18,C0023465,0,0.6146762
51119,C0023465,1,0.33049846
162968,C0023465,0,0.009069767
10475,C0023465,0,-1.8593829
6364,C0023465,0,-1.881052
1269,C1879321,1,1.4099149
2052,C1879321,1,1.3331436
4066,C1879321,1,1.2901946
8028,C1879321,1,1.2775452
11040,C1879321,1,1.2616042
4291,C1879321,1,1.1988351
3205,C1879321,1,1.1497287
822,C1879321,1,1.1491477
1052,C1879321,1,1.0380164
928,C1879321,1,0.9157484
309,C1879321,1,0.8292379
79750,C1879321,0,0.8044043
1512,C1879321,1,0.64801556
4026,C1879321,1,0.63986844
5457,C1879321,1,0.5959907
3516,C1879321,0,0.5676588
785,C1879321,0,0.55242944
79924,C1879321,0,0.48980808
10919,C1879321,1,0.42571968
1514,C1879321,0,0.051476963
825,C1879321,0,0.048048817
11006,C1879321,0,0.012113653
51676,C1879321,0,0.007174995
11127,C1879321,0,-0.0047528194
55798,C1879321,0,-0.03092754
23746,C1879321,0,-0.1538802
219287,C1879321,0,-0.2953277
7153,C1879321,0,-1.5054176
113540,C1879321,0,-1.6192027
6598,C1879321,0,-3.7632987
4928,C2930976,1,0.2170787
805,C2930976,0,0.0053952546
1269,C0026998,1,1.4059857
2052,C0026998,1,1.3295808
4066,C0026998,1,1.2902827
8028,C0026998,1,1.2777324
11040,C0026998,1,1.2614727
4291,C0026998,1,1.1980973
822,C0026998,1,1.1494534
3205,C0026998,1,1.1490551
1052,C0026998,1,1.0380695
928,C0026998,1,0.91400623
309,C0026998,1,0.8278803
79750,C0026998,0,0.8011544
1512,C0026998,1,0.6469069
4026,C0026998,1,0.6413219
5457,C0026998,1,0.5892366
3516,C0026998,0,0.5634175
785,C0026998,0,0.54817003
79924,C0026998,0,0.4912693
10919,C0026998,1,0.42336527
1514,C0026998,0,0.05119794
825,C0026998,0,0.045890886
