GeneID,diseaseID,label,score
7290,C2936346,1,0.85050434
221037,C2936346,1,0.69282633
343099,C2936346,0,0.014088773
90874,C2936346,0,0.0043942253
2548,C3266101,0,0.81676346
7290,C3266101,1,0.77869993
79823,C4304537,1,1.3496044
2548,C4304537,0,0.72958267
9581,C4749458,1,0.65973884
3250,C4749458,0,-1.1453382
341,C0268600,0,0.20386477
64087,C0268600,1,0.08429952
83744,C4510744,0,-7.355694e-05
6845,C4510744,1,-0.096696086
3973,C3489793,1,0.5007861
3250,C3489793,0,-0.9489722
6210,C2931850,1,0.75766766
973,C2931850,0,0.16422546
6232,C2931850,1,0.091171935
6235,C2931850,1,-0.012488468
10446,C2931850,0,-0.020342283
51700,C2931850,0,-0.044557113
2879,C1563730,1,0.54212826
57826,C1563730,0,0.036913693
138050,C0270858,0,0.40830567
9457,C0270858,1,0.004855091
1024,C4049796,1,0.18662171
3250,C4049796,0,-0.56941265
23162,C4022810,1,0.41470063
5515,C4022810,1,0.4108279
9662,C4022810,0,0.056605384
23551,C4022810,0,0.054553322
4018,C4021812,0,0.3134721
23291,C4021812,1,-0.14536616
23512,C4018871,1,0.2755261
3250,C4018871,0,-0.22872004
6505,C4021790,0,0.3924687
26173,C4021790,1,0.3348726
54499,C4021790,1,0.11578862
95681,C4021790,0,0.109002024
8295,C4021821,1,0.38853022
3250,C4021821,0,-0.577998
2548,C4025846,0,0.3774776
84148,C4025846,1,0.11550056
50511,C0000809,1,-0.17655893
3250,C0000809,0,-0.5480847
9254,C0014553,1,0.30424145
57826,C0014553,0,0.04485657
9254,C4553705,1,0.32094494
57826,C4553705,0,0.037741806
6505,C0152200,0,0.7179996
22926,C0152200,1,0.7140295
5149,C0152200,1,0.44360197
54930,C0152200,0,0.019113457
115650,C2936664,1,1.0557772
10382,C2936664,0,0.9121027
29124,C2936664,0,0.09151341
29851,C2936664,1,0.04330821
359,C0268443,1,-0.13085724
4018,C0268443,0,-0.7179875
6342,C0751449,1,0.5826783
3250,C0751449,0,-0.9241161
5652,C0702169,1,0.68556476
2348,C0702169,1,0.6520546
6497,C0702169,1,0.6359703
25796,C0702169,0,0.46725062
11160,C0702169,0,0.3272826
643226,C0702169,0,0.2581655
7546,C0702169,1,0.15551585
9857,C0702169,0,-1.9032933
374654,C0796147,1,0.49775687
341,C0796147,0,0.37950054
4644,C3495588,1,0.27844962
4018,C3495588,0,-0.33312356
51715,C1275078,1,0.35666078
341,C1275078,0,0.23169085
10382,C0030044,0,1.2581311
4091,C0030044,1,0.94062245
4745,C0030044,1,0.66401017
23551,C0030044,0,0.19692059
83744,C0001197,0,-0.03615476
55630,C0001197,1,-0.21019103
130340,C0392439,1,0.36095202
3250,C0392439,0,-0.9036832
8200,C2930970,1,0.6605753
83744,C2930970,0,0.020287637
341,C0265287,0,0.39940986
4054,C0265287,1,0.3715939
2642,C1857451,1,-0.169803
3250,C1857451,0,-0.35820645
9049,C1306214,1,0.6665887
3250,C1306214,0,-0.459066
9570,C0751779,1,1.064251
57465,C0751779,1,0.99880755
5274,C0751779,1,0.8882589
51700,C0751779,0,0.045261838
10446,C0751779,0,-0.013649539
933,C0751779,0,-0.04401804
463,C0751956,1,0.55420625
1482,C0751956,1,0.51052517
3777,C0751956,1,0.44678319
26060,C0751956,0,0.39104074
7941,C0751956,1,0.36925316
10594,C0751956,1,0.33166376
8091,C0751956,0,0.07983977
317649,C0751956,0,0.05423393
199692,C0751956,0,-0.09776179
55957,C0751956,0,-1.1303784
138050,C0521664,0,0.38743004
9457,C0521664,1,-0.020413153
341,C0546126,1,1.4767283
1808,C0546126,1,1.1608137
1965,C0546126,1,1.1356333
9510,C0546126,1,1.0954788
7447,C0546126,1,1.07815
3635,C0546126,1,0.84419805
5502,C0546126,0,0.7343199
6191,C0546126,0,0.6261788
23765,C0546126,0,0.47015476
6517,C0546126,1,0.14899653
