GeneID,diseaseID,label,score
221037,C2936346,1,1.4396536
2253,C2936346,1,0.54644746
598,C2936346,0,-0.07695903
28996,C2936346,0,-2.1136608
6239,C3266101,1,1.8291059
221037,C3266101,1,1.2893903
374403,C3266101,0,-0.08927139
28996,C3266101,0,-1.9595069
6519,C4304537,1,0.25993368
4058,C4304537,0,-0.09363847
6845,C4510744,1,0.2573818
4311,C4510744,0,-0.20115681
1583,C3489793,1,0.256346
2263,C3489793,0,-0.121258005
6154,C2931850,1,0.79950523
27243,C2931850,0,0.32034087
51606,C2931850,0,-0.012251596
6232,C2931850,1,-0.08998369
3640,C1563730,1,0.414321
284,C1563730,0,-0.12197905
1024,C4049796,1,0.43315035
2324,C4049796,0,-0.026808381
2222,C4022810,1,0.58884454
192683,C4022810,1,0.49991983
4208,C4022810,0,0.43354398
57088,C4022810,0,0.2901485
57178,C4021790,1,0.5739234
10297,C4021790,1,0.5320364
374403,C4021790,0,-0.08427632
28996,C4021790,0,-3.1236973
57178,C4021821,1,0.24378547
2324,C4021821,0,-0.04844956
1024,C4025846,1,0.16845989
2324,C4025846,0,0.01483327
2324,C0000809,0,-0.01648689
50511,C0000809,1,-0.018212395
51305,C0014553,1,0.4375538
602,C0014553,0,-0.04459764
51305,C4553705,1,0.3696561
602,C4553705,0,-0.041647173
22926,C0152200,1,0.93198436
238,C0152200,0,-0.054169364
50618,C2936664,0,0.11361488
4791,C2936664,1,0.08760722
115650,C2936664,1,-0.112274215
145258,C2936664,0,-0.55850744
5697,C0702169,1,0.36452138
6497,C0702169,1,0.1952869
5985,C0702169,0,-0.026312966
50856,C0702169,0,-0.056704022
27443,C0702169,1,-0.09316591
100506164,C0702169,0,-0.24255976
4644,C3495588,1,0.11689034
2324,C3495588,0,-0.024963675
4745,C0030044,1,1.1853211
1947,C0030044,1,0.40709022
50618,C0030044,0,0.13717388
145258,C0030044,0,-1.1372862
5698,C0001197,1,0.24914277
2324,C0001197,0,0.0007725361
8200,C2930970,1,0.5462722
238,C2930970,0,-0.10846248
9101,C1306214,1,0.24394485
2324,C1306214,0,-0.03881307
5213,C0751779,0,0.11414787
5274,C0751779,1,0.105444126
7957,C0751779,1,-0.08811678
4063,C0751779,0,-1.0821434
3360,C0751956,1,0.7875829
3777,C0751956,1,0.43308073
10594,C0751956,1,0.18792775
1523,C0751956,0,-0.3077817
4077,C0751956,0,-0.8055639
10036,C0751956,0,-1.0678642
1139,C0546126,1,1.5481887
54209,C0546126,1,1.1954476
7447,C0546126,1,1.0094979
7019,C0546126,1,0.87841904
6517,C0546126,1,0.82928306
2288,C0546126,0,0.8167659
51225,C0546126,1,0.74359643
10481,C0546126,0,0.6942415
23607,C0546126,1,0.6369432
400,C0546126,0,0.08222771
54149,C0546126,0,-0.10521018
10073,C0546126,0,-0.5064821
3934,C0546126,0,-1.119709
55211,C0546126,0,-1.1724527
3945,C0948089,1,0.5681343
5069,C0948089,1,0.37207246
9464,C0948089,0,0.34353042
2923,C0948089,1,0.19979769
56882,C0948089,0,0.14185694
1158,C0948089,1,0.11709961
10067,C0948089,0,-0.13787162
4089,C0948089,0,-1.3608704
7372,C0023440,1,0.3287887
2324,C0023440,0,-0.08275302
3219,C2930974,1,0.28171775
284,C2930974,0,-0.11729048
3219,C2930975,1,0.2574517
284,C2930975,0,-0.10634743
3219,C2930977,1,0.30642474
284,C2930977,0,-0.18820395
3816,C2609414,1,0.8230172
10411,C2609414,1,0.8039551
100506658,C2609414,1,0.6425352
2671,C2609414,1,0.6355928
116085,C2609414,1,0.6267656
9493,C2609414,0,-0.22716714
9118,C2609414,0,-0.35939738
51162,C2609414,0,-0.76332164
84779,C2609414,0,-0.8413
117154,C2609414,0,-1.2925985
3816,C1565662,1,0.82418954
10411,C1565662,1,0.8017218
100506658,C1565662,1,0.64064306
2671,C1565662,1,0.6303439
116085,C1565662,1,0.62773305
9493,C1565662,0,-0.22039676
9118,C1565662,0,-0.36268342
51162,C1565662,0,-0.763734
84779,C1565662,0,-0.83465576
117154,C1565662,0,-1.284047
90,C0242488,1,0.5276991
57088,C0242488,0,0.40047014
7203,C0242488,0,0.14122884
6441,C0242488,1,0.040952828
641,C0023449,1,0.37133414
602,C0023449,0,0.045680158
2178,C0023465,1,1.3421034
55120,C0023465,1,1.170775
2189,C0023465,1,1.1272898
221037,C0023465,0,0.7607727
8660,C0023465,0,0.56128144
3000,C0023465,0,0.36614048
55740,C1879321,1,1.6948608
6455,C1879321,1,1.504123
1269,C1879321,1,1.3146632
4928,C1879321,1,1.2590389
26511,C1879321,1,1.1745124
51341,C1879321,1,1.1156031
55252,C1879321,1,1.0577226
25953,C1879321,0,1.0170838
4330,C1879321,1,0.82837266
4026,C1879321,1,0.81907284
5457,C1879321,1,0.7888081
2969,C1879321,1,0.73406655
